,Date,USDC,WETH,DAI,WBTC,USDT,FRAX,PAX,agEUR,APE,1INCH,BUSD,FEI,HEX,RAI,LOOKS,renBTC,MKR,LINK,ETH2x-FLI,MATIC,TUSD,EURS,CRV,NEXO,FUN,ENS,LUNA,MIM,LUSD
1577836800,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577923200,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578009600,2020-01-03,0.014636302826953777,0.5318999525927691,0.21387913628903277,0.4956194999009091,0.004512764519918624,,0.03116122941560974,,,,0.017093747019396286,,2.543423095159138,,,,0.47770004765946994,0.8066349541515361,,1.3429943833204778,0.00795794853843851,0.19049096526937498,,0.4890606563868372,0.6846111466327632,,,,
1578096000,2020-01-04,0.023696218026452165,0.7223452223664454,0.1921412798654954,0.7593972354173434,0.01827306975491759,,0.022246151347828643,,,,0.01212315352318945,,1.809839176963699,,,,0.6778960685891107,0.764113466915317,,0.9496458982648633,0.035854360852484335,0.2765128466672178,,0.4392894035344682,0.5027361006620494,,,,
1578182400,2020-01-05,0.02728970486732774,0.5939625191655709,0.24843153982847352,0.6207629510946244,0.01863807787085128,,0.02127833713954623,,,,0.013990679712868928,,2.1461429633468314,,,,0.5675937245052474,0.6264478775400231,,0.904364341306856,0.03753008830160914,0.231224569101463,,0.384001014851715,0.6342755689860012,,,,
1578268800,2020-01-06,0.02365707981029464,0.5153354958258757,0.24717477668168367,0.5436364275596278,0.01688202431575992,,0.020994400733628533,,,,0.017893171850851514,,1.8775219829438965,,,,0.49879455363443426,0.5865470569387142,,0.8056656388474731,0.03317736592380878,0.205737600577183,,0.41225489201305043,0.5493674048209526,,,,
1578355200,2020-01-07,0.021416236888160765,0.7888825491199278,0.2615183623023199,0.6338794728927397,0.016437895172215874,,0.018882071095464234,,,,0.017206199542199357,,2.1374755332220214,,,,0.5504929210242532,0.7564311535134177,,0.7664018492315153,0.029940125143972797,0.20348824123934925,,0.49917660137291314,0.5860707260005477,,,,
1578441600,2020-01-08,0.019604021612453348,0.8106338849620817,0.24248635360821022,0.6157307375481132,0.015166409184667148,,0.01727739383912811,,,,0.016564866421024182,,2.3142877898703955,,,,0.5031835593256122,0.8702510680034696,,0.790322117565525,0.029017677069957892,0.1903052552347257,,0.47591651657377815,0.5581944619116138,,,,
1578528000,2020-01-09,0.02357954937640963,0.7896063889228615,0.2252864782836204,0.5925971936847567,0.015319401208036302,,0.01672525884086912,,,,0.015956907482301046,,2.1518739511901397,,,,0.47623772565182393,0.8079594708147496,,0.7448202969425683,0.03055155868123038,0.18274964608478042,,0.4426289001199832,0.5976788819064773,,,,
1578614400,2020-01-10,0.038408757395850625,0.7685166308870189,0.21073623602487745,0.6189086659884908,0.0254523180443481,,0.03039779460354651,,,,0.028019640081088665,,2.016817863288199,,,,0.4963680251394855,0.7818504980560703,,0.7323875297515696,0.03865080583025655,0.17235186767477229,,0.8706123119105708,0.5707125438746037,,,,
1578700800,2020-01-11,0.03967355191549041,0.7877538977300949,0.19890254941693675,0.6108899195526041,0.02410262749738025,,0.034680774626927084,,,,0.027578537518581876,,1.921688215476507,,,,0.4849855135480381,0.7371684311498948,,0.696767087119903,0.041963637847913536,0.16742320989946938,,0.9712351495133852,0.6010704582381362,,,,
1578787200,2020-01-12,0.04710277802485439,0.7503551208238787,0.20637502543680722,0.6106522097728434,0.026699776608306303,,0.05234606734258452,,,,0.03230943012842929,,1.8235165727845761,,,,0.4821604515383027,0.6994180528792688,,0.6678558367814091,0.050336495661785344,0.17209653127372382,,0.9555007681538092,0.5707976459960263,,,,
1578873600,2020-01-13,0.04712772374224392,0.757362647332714,0.19895815763123462,0.5836074148819832,0.02981329560892351,,0.06020781691466046,,,,0.03568116102558841,,1.7389701669249895,,,,0.472471526230841,0.7058947771945236,,0.6381909559914616,0.05127883670946904,0.19338838061740635,,0.9139026638581452,0.5752826376591208,,,,
1578960000,2020-01-14,0.0453435493970642,0.7319268977517471,0.19724868015628438,0.5609616689663783,0.029905427520386718,,0.0578292884641542,,,,0.03512298822088713,,1.6949847161773188,,,,0.4690627587451795,0.7059745612303829,,0.6259727768624573,0.049125658309416675,0.18994078769805697,,0.9882370415383861,0.5508238623859966,,,,
1579046400,2020-01-15,0.04416454430479898,0.8820635991986892,0.19573576500459786,0.6675577875685088,0.028790744950276923,,0.05770441405319024,,,,0.033761436370489506,,1.707891215619171,,,,0.646575537863115,0.7699236641040011,,0.6019011315581905,0.047529878278243766,0.1860409857836108,,0.9497098158704825,0.5300308529233531,,,,
1579132800,2020-01-16,0.04280941996074291,0.8576957208252012,0.19262651630721442,0.6512555912203873,0.027895989322158934,,0.06208549435160106,,,,0.03468312081974926,,1.7497577811652647,,,,0.6359970256890143,0.7460041120148426,,0.5971518270681103,0.04653454364745286,0.1800510360628421,,1.0101811384848003,0.5698361616194322,,,,
1579219200,2020-01-17,0.04135970018352771,0.8351326878890166,0.18636048391461577,0.6437083128453955,0.027444540195959925,,0.059985762945886076,,,,0.034138900720261364,,1.7541578848917436,,,,0.6176463339788969,0.7223837128586706,,0.590933975365734,0.046039843626295644,0.17446650144158454,,0.9759728851357087,0.5528752273145965,,,,
1579305600,2020-01-18,0.04166454040912303,0.8136945331807245,0.18157308606703138,0.6236295429389468,0.028940790370418926,,0.05894329151285417,,,,0.03764148460268834,,1.7360727806673435,,,,0.6258337183224034,0.7680631343758686,,0.8835124888167116,0.0458648670500281,0.18132323583357823,,0.9462043590525934,0.5365904544652004,,,,
