Date(UTC),UnixTimeStamp,Value (Wei),Value (GWei),Value (ETH),ETH Price (USD),Gas Fee USD
8/24/2015,1440374400,92409814705,92.409814705,9.2409814705e-08,1.24,1.145881702342e-07
8/25/2015,1440460800,76432335617,76.432335617,7.6432335617e-08,1.17,8.942583267189e-08
8/26/2015,1440547200,60481160549,60.481160549,6.0481160549e-08,1.16,7.015814623684e-08
8/27/2015,1440633600,59307091958,59.307091958,5.9307091958e-08,1.13,6.701701391253999e-08
8/28/2015,1440720000,92879907335,92.87990733500001,9.287990733500001e-08,1.3,1.2074387953550002e-07
8/29/2015,1440806400,56211090684,56.211090684000006,5.6211090684000005e-08,1.18,6.632908700712e-08
8/30/2015,1440892800,55155494457,55.155494457,5.5155494457e-08,1.32,7.280525268324001e-08
8/31/2015,1440979200,58423521569,58.423521569,5.8423521569000004e-08,1.35,7.887175411815e-08
9/1/2015,1441065600,56671549652,56.671549652,5.6671549652e-08,1.35,7.650659203020001e-08
9/2/2015,1441152000,59243651401,59.243651401,5.9243651401000004e-08,1.29,7.642431030729001e-08
9/3/2015,1441238400,55051483461,55.051483461000004,5.5051483461000004e-08,1.26,6.936486916086e-08
9/4/2015,1441324800,58779015464,58.779015464000004,5.8779015464000004e-08,1.27,7.464934963928e-08
9/5/2015,1441411200,54768144366,54.768144366,5.4768144366e-08,1.37,7.503235778142e-08
9/6/2015,1441497600,55089818552,55.089818552000004,5.5089818552000003e-08,1.3,7.16167641176e-08
9/7/2015,1441584000,53594260637,53.594260637000005,5.3594260637000004e-08,1.24,6.645688318988001e-08
9/8/2015,1441670400,64932639811,64.932639811,6.493263981100001e-08,1.23,7.986714696753001e-08
9/9/2015,1441756800,53779997784,53.779997784,5.3779997784e-08,1.21,6.507379731864e-08
9/10/2015,1441843200,54630657670,54.630657670000005,5.4630657670000005e-08,1.16,6.33715628972e-08
9/11/2015,1441929600,55713802958,55.713802958,5.5713802958e-08,0.98,5.4599526898840004e-08
9/12/2015,1442016000,61830202468,61.830202468,6.183020246800001e-08,1.04,6.430341056672001e-08
9/13/2015,1442102400,52313524792,52.313524792,5.2313524792e-08,0.94,4.9174713304479995e-08
9/14/2015,1442188800,53772389657,53.772389657000005,5.3772389657e-08,0.87,4.6781979001590005e-08
9/15/2015,1442275200,53191101494,53.191101494,5.3191101494e-08,0.94,4.999963540436e-08
9/16/2015,1442361600,111518559318,111.518559318,1.1151855931800001e-07,0.9,1.0036670338620001e-07
9/17/2015,1442448000,55637920883,55.63792088300001,5.5637920883000004e-08,0.89,4.951774958587e-08
9/18/2015,1442534400,55703151966,55.703151966,5.5703151966000006e-08,0.85,4.73476791711e-08
9/19/2015,1442620800,51639660974,51.639660974,5.1639660974000005e-08,0.89,4.5959298266860004e-08
9/20/2015,1442707200,52910345407,52.910345407,5.2910345407e-08,0.94,4.973572468258e-08
9/21/2015,1442793600,51171380285,51.171380285000005,5.1171380285e-08,0.9,4.60542422565e-08
9/22/2015,1442880000,51465441496,51.465441496000004,5.1465441496000004e-08,0.9,4.63188973464e-08
9/23/2015,1442966400,51732832046,51.732832046000006,5.173283204600001e-08,0.9,4.655954884140001e-08
9/24/2015,1443052800,54262646753,54.262646753000006,5.4262646753e-08,0.81,4.3952743869930005e-08
9/25/2015,1443139200,52300197415,52.30019741500001,5.2300197415000006e-08,0.74,3.8702146087100006e-08
9/26/2015,1443225600,55315658061,55.315658061,5.5315658061000005e-08,0.78,4.314621328758001e-08
9/27/2015,1443312000,51025979902,51.025979902,5.1025979902000005e-08,0.72,3.673870552944e-08
9/28/2015,1443398400,52683661382,52.683661382000004,5.2683661382000006e-08,0.59,3.108336021538e-08
9/29/2015,1443484800,55437141860,55.437141860000004,5.5437141860000007e-08,0.68,3.7697256464800005e-08
9/30/2015,1443571200,51461473059,51.46147305900001,5.1461473059e-08,0.72,3.705226060248e-08
10/1/2015,1443657600,51474669294,51.474669294,5.1474669294e-08,0.68,3.5002775119920003e-08
10/2/2015,1443744000,52567714347,52.567714347000006,5.2567714347e-08,0.68,3.5746045755960004e-08
10/3/2015,1443830400,52502578427,52.502578427,5.2502578427000004e-08,0.69,3.622677911463e-08
10/4/2015,1443916800,50733256095,50.733256095,5.0733256095e-08,0.67,3.399128158365e-08
10/5/2015,1444003200,50742818443,50.742818443000004,5.0742818443000006e-08,0.63,3.196797561909e-08
10/6/2015,1444089600,51375494165,51.375494165000006,5.137549416500001e-08,0.66,3.390782614890001e-08
10/7/2015,1444176000,51181314265,51.181314265000005,5.1181314265e-08,0.61,3.122060170165e-08
10/8/2015,1444262400,56971870131,56.971870131,5.6971870131000005e-08,0.62,3.5322559481220004e-08
10/9/2015,1444348800,61962572208,61.962572208000005,6.196257220800001e-08,0.65,4.027567193520001e-08
10/10/2015,1444435200,64893302980,64.89330298,6.489330298e-08,0.63,4.0882780877400004e-08
10/11/2015,1444521600,56318375319,56.318375319000005,5.6318375319000005e-08,0.63,3.5480576450970005e-08
10/12/2015,1444608000,51359902694,51.359902694000006,5.1359902694e-08,0.63,3.235673869722e-08
10/13/2015,1444694400,53219625156,53.219625156000006,5.3219625156e-08,0.6,3.19317750936e-08
10/14/2015,1444780800,57976429615,57.976429615,5.7976429615e-08,0.51,2.956797910365e-08
10/15/2015,1444867200,54823147993,54.823147993000006,5.4823147993e-08,0.56,3.070096287608e-08
10/16/2015,1444953600,53404946237,53.404946237000004,5.3404946237e-08,0.53,2.8304621505610003e-08
10/17/2015,1445040000,53619552703,53.619552703000004,5.3619552703000006e-08,0.55,2.9490753986650007e-08
10/18/2015,1445126400,52006592112,52.006592112,5.2006592112e-08,0.52,2.7043427898240003e-08
10/19/2015,1445212800,52456819761,52.456819761000006,5.2456819761000006e-08,0.49,2.570384168289e-08
10/20/2015,1445299200,53767556518,53.767556518000006,5.3767556518e-08,0.44,2.365772486792e-08
10/21/2015,1445385600,53588794315,53.588794315,5.3588794315000004e-08,0.44,2.3579069498600003e-08
10/22/2015,1445472000,57253941421,57.253941421,5.725394142100001e-08,0.59,3.3779825438390004e-08
10/23/2015,1445558400,51207267003,51.207267003000005,5.1207267003000004e-08,0.52,2.6627778841560003e-08
10/24/2015,1445644800,50749518370,50.749518370000004,5.0749518370000005e-08,0.57,2.89272254709e-08
10/25/2015,1445731200,51635339670,51.63533967,5.163533967e-08,0.65,3.3562970785500005e-08
10/26/2015,1445817600,54585998170,54.58599817,5.4585998170000005e-08,0.74,4.03936386458e-08
10/27/2015,1445904000,53525777571,53.525777571000006,5.3525777571e-08,0.87,4.656742648677e-08
10/28/2015,1445990400,54787998286,54.787998286000004,5.4787998286000006e-08,1.01,5.5335878268860004e-08
10/29/2015,1446076800,52364630378,52.364630378,5.2364630378e-08,1.16,6.074297123848e-08
10/30/2015,1446163200,54017718700,54.0177187,5.40177187e-08,1.04,5.6178427448e-08
10/31/2015,1446249600,53753181787,53.753181787,5.3753181787e-08,0.89,4.7840331790430004e-08
11/1/2015,1446336000,50751088484,50.751088484,5.0751088484e-08,1.05,5.328864290820001e-08
11/2/2015,1446422400,53162663704,53.162663704,5.3162663704000005e-08,0.96,5.103615715584e-08
11/3/2015,1446508800,51578536572,51.578536572000004,5.1578536572000005e-08,1.0,5.1578536572000005e-08
11/4/2015,1446595200,52243136362,52.243136362,5.2243136362e-08,0.87,4.5451528634940004e-08
11/5/2015,1446681600,52990311400,52.9903114,5.2990311400000003e-08,0.89,4.7161377146000004e-08
11/6/2015,1446768000,52184810513,52.184810513,5.2184810513000005e-08,0.92,4.801002567196001e-08
11/7/2015,1446854400,51944373853,51.944373853,5.1944373853000005e-08,0.92,4.778882394476001e-08
11/8/2015,1446940800,52414324288,52.414324288,5.2414324288e-08,1.02,5.3462610773760007e-08
11/9/2015,1447027200,51918274052,51.918274052,5.1918274052000005e-08,1.0,5.1918274052000005e-08
11/10/2015,1447113600,52237284910,52.23728491000001,5.2237284910000004e-08,0.92,4.805830211720001e-08
11/11/2015,1447200000,52560853806,52.560853806000004,5.2560853806000004e-08,0.78,4.0997465968680007e-08
11/12/2015,1447286400,59050838844,59.050838844000005,5.9050838844000005e-08,0.89,5.255524657116e-08
11/13/2015,1447372800,51534479321,51.534479321000006,5.1534479321000004e-08,0.89,4.586568659569e-08
11/14/2015,1447459200,51216461485,51.216461485,5.1216461485000006e-08,0.89,4.558265072165001e-08
11/15/2015,1447545600,51537798825,51.537798825,5.1537798825e-08,0.9,4.6384018942500005e-08
11/16/2015,1447632000,56768038418,56.768038418,5.6768038418e-08,0.94,5.336195611292e-08
11/17/2015,1447718400,56303859554,56.303859554000006,5.6303859554000004e-08,1.0,5.6303859554000004e-08
11/18/2015,1447804800,53515892028,53.515892028,5.3515892028000004e-08,0.99,5.2980733107720006e-08
11/19/2015,1447891200,54119551224,54.119551224000006,5.4119551224000004e-08,0.95,5.14135736628e-08
11/20/2015,1447977600,54384895828,54.384895828000005,5.4384895828e-08,0.93,5.057795312004001e-08
11/21/2015,1448064000,54039631830,54.039631830000005,5.4039631830000006e-08,0.97,5.24184428751e-08
11/22/2015,1448150400,53793371733,53.793371733,5.3793371733000005e-08,0.96,5.164163686368e-08
11/23/2015,1448236800,55629754775,55.629754775,5.5629754775000005e-08,0.94,5.2291969488500004e-08
11/24/2015,1448323200,58042755370,58.04275537,5.804275537e-08,0.91,5.2818907386700006e-08
11/25/2015,1448409600,54235748106,54.235748106,5.4235748106e-08,0.86,4.664274337116e-08
11/26/2015,1448496000,53986356287,53.98635628700001,5.398635628700001e-08,0.88,4.7507993532560007e-08
11/27/2015,1448582400,53456555142,53.456555142000006,5.3456555142000005e-08,0.87,4.6507202973540004e-08
11/28/2015,1448668800,54312682973,54.312682973,5.4312682973000004e-08,0.91,4.942454150543e-08
11/29/2015,1448755200,53321187419,53.321187419000005,5.3321187419e-08,0.87,4.6389433054530004e-08
11/30/2015,1448841600,55199244474,55.199244474000004,5.5199244474e-08,0.88,4.8575335137120004e-08
12/1/2015,1448928000,54837947431,54.837947431,5.483794743100001e-08,0.87,4.770901426497e-08
12/2/2015,1449014400,53588845124,53.588845124,5.3588845124e-08,0.83,4.447874145292e-08
12/3/2015,1449100800,53564860105,53.564860105,5.3564860105e-08,0.82,4.39231852861e-08
12/4/2015,1449187200,53920215595,53.920215595,5.3920215595e-08,0.84,4.52929810998e-08
12/5/2015,1449273600,54430269329,54.430269329000005,5.4430269329000006e-08,0.85,4.6265728929650005e-08
12/6/2015,1449360000,53904812363,53.904812363000005,5.3904812363000004e-08,0.84,4.528004238492e-08
12/7/2015,1449446400,53988885934,53.988885934,5.3988885934000005e-08,0.8,4.3191108747200004e-08
12/8/2015,1449532800,53743612456,53.743612456,5.3743612456000005e-08,0.83,4.4607198338480004e-08
12/9/2015,1449619200,54733915734,54.733915734,5.4733915734e-08,0.79,4.323979342986e-08
12/10/2015,1449705600,54938250098,54.938250098000005,5.4938250098000004e-08,0.84,4.614813008232e-08
12/11/2015,1449792000,58195798149,58.195798149000005,5.8195798149000006e-08,0.91,5.295817631559001e-08
12/12/2015,1449878400,59486449382,59.486449382,5.9486449382e-08,0.97,5.770185590054e-08
12/13/2015,1449964800,56701649126,56.70164912600001,5.6701649126000007e-08,0.96,5.443358316096e-08
12/14/2015,1450051200,53372600387,53.372600387000006,5.3372600387000006e-08,0.99,5.283887438313e-08
12/15/2015,1450137600,62650330558,62.65033055800001,6.2650330558e-08,1.01,6.327683386358001e-08
12/16/2015,1450224000,54026271431,54.026271431000005,5.4026271431000004e-08,0.99,5.3486008716690004e-08
12/17/2015,1450310400,55081281267,55.081281267,5.5081281267e-08,0.94,5.1776404390979996e-08
12/18/2015,1450396800,55034649240,55.03464924,5.503464924e-08,0.91,5.0081530808400007e-08
12/19/2015,1450483200,53891713881,53.891713881,5.3891713881e-08,0.9,4.85025424929e-08
12/20/2015,1450569600,53342677327,53.342677327000004,5.3342677327000004e-08,0.9,4.8008409594300005e-08
12/21/2015,1450656000,53466176225,53.466176225000005,5.3466176225e-08,0.89,4.7584896840250006e-08
12/22/2015,1450742400,53627121090,53.62712109,5.362712109000001e-08,0.87,4.6655595348300005e-08
12/23/2015,1450828800,55663754533,55.663754533,5.5663754533000004e-08,0.85,4.7314191353050003e-08
12/24/2015,1450915200,52792315740,52.79231574000001,5.279231574e-08,0.85,4.4873468379e-08
12/25/2015,1451001600,53550792729,53.550792729,5.3550792729000005e-08,0.87,4.6589189674230006e-08
12/26/2015,1451088000,53675955367,53.675955367,5.3675955367000006e-08,0.85,4.5624562061950004e-08
12/27/2015,1451174400,66846252680,66.84625268,6.684625268e-08,0.85,5.6819314777999995e-08
12/28/2015,1451260800,53108130511,53.108130511000006,5.3108130511000005e-08,0.84,4.461082962924e-08
12/29/2015,1451347200,53729001893,53.729001893,5.3729001893000004e-08,0.87,4.674423164691e-08
12/30/2015,1451433600,56716784472,56.716784472,5.6716784472000006e-08,0.9,5.1045106024800005e-08
12/31/2015,1451520000,57661175081,57.661175081,5.7661175081e-08,0.93,5.362489282533001e-08
1/1/2016,1451606400,54747565393,54.747565393,5.4747565393000006e-08,0.93,5.091523581549001e-08
1/2/2016,1451692800,53323453178,53.323453178,5.3323453178000006e-08,0.93,4.959081145554001e-08
1/3/2016,1451779200,53342341402,53.342341402,5.3342341402000005e-08,0.97,5.1742071159940004e-08
1/4/2016,1451865600,54038066808,54.038066808,5.4038066808000006e-08,0.95,5.1336163467600005e-08
1/5/2016,1451952000,57078526509,57.07852650900001,5.7078526509000004e-08,0.95,5.4224600183550004e-08
1/6/2016,1452038400,53724486418,53.724486418000005,5.3724486418e-08,0.96,5.1575506961279996e-08
1/7/2016,1452124800,53273537581,53.27353758100001,5.3273537581e-08,0.95,5.060986070195e-08
1/8/2016,1452211200,53800517545,53.800517545000005,5.3800517545000005e-08,0.99,5.326251236955e-08
1/9/2016,1452297600,53277018400,53.2770184,5.327701840000001e-08,0.99,5.2744248216000004e-08
1/10/2016,1452384000,53104731714,53.104731714,5.3104731714000006e-08,0.99,5.2573684396860006e-08
1/11/2016,1452470400,53940328769,53.940328769000004,5.3940328769e-08,1.05,5.663734520745e-08
1/12/2016,1452556800,54526276152,54.526276152,5.4526276152000006e-08,1.23,6.706731966696001e-08
1/13/2016,1452643200,58256098368,58.256098368,5.8256098368e-08,1.13,6.582939115584e-08
1/14/2016,1452729600,55250356301,55.250356301000004,5.5250356301e-08,1.16,6.409041330916e-08
1/15/2016,1452816000,57562550443,57.562550443000006,5.7562550443000004e-08,1.22,7.022631154046e-08
1/16/2016,1452902400,55150540726,55.150540726,5.5150540726000007e-08,1.22,6.728365968572001e-08
1/17/2016,1452988800,53477721574,53.477721574,5.3477721574e-08,1.31,7.005581526194001e-08
1/18/2016,1453075200,53945900879,53.945900879,5.3945900879000004e-08,1.47,7.930047429213e-08
1/19/2016,1453161600,53767376718,53.767376718,5.3767376718000006e-08,1.37,7.366130610366001e-08
1/20/2016,1453248000,55721616549,55.721616549000004,5.5721616549e-08,1.53,8.525407331997001e-08
1/21/2016,1453334400,60639283859,60.639283859,6.0639283859e-08,1.54,9.338449714286e-08
1/22/2016,1453420800,56195249052,56.195249052,5.6195249052000006e-08,1.52,8.541677855904e-08
1/23/2016,1453507200,55504259187,55.504259187,5.5504259187000005e-08,2.03,1.1267364614961e-07
1/24/2016,1453593600,58951408559,58.951408559,5.8951408559e-08,2.1,1.2379795797390002e-07
1/25/2016,1453680000,56752420983,56.752420983,5.6752420983000005e-08,2.5,1.4188105245750002e-07
1/26/2016,1453766400,58955359850,58.95535985,5.8955359850000004e-08,2.3,1.35597327655e-07
1/27/2016,1453852800,58687046251,58.687046251000005,5.8687046251000005e-08,2.42,1.4202265192742e-07
1/28/2016,1453939200,56180261528,56.180261528,5.6180261528000004e-08,2.55,1.432596668964e-07
1/29/2016,1454025600,59508641167,59.508641167,5.9508641167000005e-08,2.41,1.4341582521247003e-07
1/30/2016,1454112000,67198755701,67.19875570100001,6.719875570100001e-08,2.43,1.6329297635343003e-07
1/31/2016,1454198400,66544976813,66.544976813,6.654497681300001e-08,2.2,1.4639894898860003e-07
2/1/2016,1454284800,66170097350,66.17009735,6.617009735000001e-08,2.17,1.4358911124950002e-07
2/2/2016,1454371200,65763607541,65.763607541,6.5763607541e-08,2.45,1.6112083847545002e-07
2/3/2016,1454457600,64138762372,64.138762372,6.413876237200001e-08,2.53,1.6227106880116002e-07
2/4/2016,1454544000,73409019027,73.409019027,7.3409019027e-08,2.57,1.8866117889939e-07
2/5/2016,1454630400,68267066894,68.26706689400001,6.826706689400001e-08,2.57,1.7544636191758003e-07
2/6/2016,1454716800,131916789237,131.91678923700002,1.31916789237e-07,2.53,3.3374947676961e-07
2/7/2016,1454803200,81674346130,81.67434613,8.167434613e-08,3.0,2.4502303839000003e-07
2/8/2016,1454889600,80464718771,80.46471877100001,8.046471877100001e-08,3.16,2.5426851131636004e-07
2/9/2016,1454976000,124510154916,124.510154916,1.24510154916e-07,3.76,4.6815818248416e-07
2/10/2016,1455062400,141417210581,141.417210581,1.41417210581e-07,4.35,6.1516486602735e-07
2/11/2016,1455148800,66426480457,66.42648045700001,6.6426480457e-08,6.38,4.2380094531565997e-07
2/12/2016,1455235200,62799761220,62.79976122,6.279976122e-08,5.27,3.309547416294e-07
2/13/2016,1455321600,57729244744,57.729244744000006,5.7729244744000004e-08,5.22,3.0134665756368e-07
2/14/2016,1455408000,53479540613,53.479540613000005,5.3479540613000006e-08,5.2,2.7809361118760006e-07
2/15/2016,1455494400,56788416456,56.788416456,5.6788416456e-08,5.22,2.9643553390031997e-07
2/16/2016,1455580800,55814592783,55.814592783,5.5814592783000005e-08,4.25,2.3721201932775e-07
2/17/2016,1455667200,54601880947,54.601880947000005,5.4601880947000004e-08,3.86,2.1076326045542e-07
2/18/2016,1455753600,54513971078,54.513971078000004,5.4513971078000003e-08,4.36,2.3768091390008002e-07
2/19/2016,1455840000,54608221632,54.608221632,5.4608221632000004e-08,4.45,2.430065862624e-07
2/20/2016,1455926400,53778238540,53.778238540000004,5.3778238540000004e-08,4.37,2.3501090241980004e-07
2/21/2016,1456012800,54255151037,54.255151037000005,5.4255151037000004e-08,4.63,2.5120134930131e-07
2/22/2016,1456099200,59577980579,59.577980579000005,5.9577980579000005e-08,5.6,3.336366912424e-07
2/23/2016,1456185600,61016867321,61.01686732100001,6.1016867321e-08,5.7,3.477961437297e-07
2/24/2016,1456272000,58177356219,58.177356219,5.8177356219000004e-08,6.23,3.6244492924437006e-07
2/25/2016,1456358400,57464169480,57.46416948,5.746416948000001e-08,5.93,3.4076252501640003e-07
2/26/2016,1456444800,54600904591,54.600904591,5.4600904591000003e-08,6.03,3.2924345468373e-07
2/27/2016,1456531200,54108259575,54.108259575000005,5.4108259575e-08,6.31,3.4142311791824997e-07
2/28/2016,1456617600,54072562583,54.072562583,5.4072562583e-08,6.5,3.514716567895e-07
2/29/2016,1456704000,58416492222,58.416492222,5.8416492222000006e-08,6.35,3.7094472560970003e-07
3/1/2016,1456790400,59690933816,59.690933816000005,5.9690933816e-08,7.59,4.5305418766344e-07
3/2/2016,1456876800,67322497890,67.32249789000001,6.732249789e-08,8.7,5.85705731643e-07
3/3/2016,1456963200,56545945782,56.545945782000004,5.6545945782e-08,9.35,5.287045930617e-07
3/4/2016,1457049600,53626100171,53.626100171000004,5.3626100171e-08,9.96,5.3411595770316e-07
3/5/2016,1457136000,47489912177,47.489912177,4.7489912177000004e-08,11.0,5.223890339470001e-07
3/6/2016,1457222400,47260765636,47.260765636,4.7260765636000006e-08,10.98,5.189232066832801e-07
3/7/2016,1457308800,50440843854,50.440843854,5.0440843854000006e-08,9.5,4.79188016613e-07
3/8/2016,1457395200,53596473626,53.596473626000005,5.3596473626000005e-08,9.88,5.295331594248801e-07
3/9/2016,1457481600,38089619702,38.089619702,3.8089619702e-08,11.55,4.3993510755810005e-07
3/10/2016,1457568000,30204433047,30.204433047000002,3.0204433047000005e-08,11.11,3.3557125115217e-07
3/11/2016,1457654400,29035652694,29.035652694000003,2.9035652694000002e-08,11.25,3.2665109280750003e-07
3/12/2016,1457740800,29197411911,29.197411911000003,2.9197411911e-08,13.25,3.8686570782075e-07
3/13/2016,1457827200,30820960382,30.820960382000003,3.0820960382e-08,15.0,4.6231440573000005e-07
3/14/2016,1457913600,28509995013,28.509995013,2.8509995013e-08,12.5,3.563749376625e-07
3/15/2016,1458000000,26342144976,26.342144976,2.6342144976e-08,13.09,3.4481867773584e-07
3/16/2016,1458086400,25523949148,25.523949148000003,2.5523949148000003e-08,12.92,3.2976942299216007e-07
3/17/2016,1458172800,27708932990,27.70893299,2.770893299e-08,11.14,3.0867751350860005e-07
3/18/2016,1458259200,26302902480,26.30290248,2.630290248e-08,10.75,2.8275620166000003e-07
3/19/2016,1458345600,29326753003,29.326753003,2.9326753003e-08,10.55,3.0939724418165004e-07
3/20/2016,1458432000,26655411712,26.655411712000003,2.6655411712000002e-08,10.06,2.6815344182272005e-07
3/21/2016,1458518400,26198708915,26.198708915,2.6198708915e-08,11.97,3.1359854571255e-07
3/22/2016,1458604800,23516912695,23.516912695000002,2.3516912695000003e-08,10.96,2.5774536313720007e-07
3/23/2016,1458691200,24515668491,24.515668491000003,2.4515668491e-08,12.29,3.0129756575439e-07
3/24/2016,1458777600,24817035022,24.817035022000002,2.4817035022e-08,11.13,2.7621359979486005e-07
3/25/2016,1458864000,28125320881,28.125320881,2.8125320881000002e-08,10.69,3.0065968021789e-07
3/26/2016,1458950400,25100050063,25.100050063,2.5100050063e-08,11.0,2.76100550693e-07
3/27/2016,1459036800,23366025518,23.366025518,2.3366025518e-08,10.5,2.45343267939e-07
3/28/2016,1459123200,23293862605,23.293862605,2.3293862605e-08,11.58,2.697429289659e-07
3/29/2016,1459209600,24748798767,24.748798767,2.4748798767e-08,11.73,2.9030340953691e-07
3/30/2016,1459296000,29356903690,29.356903690000003,2.9356903690000002e-08,11.88,3.4876001583720007e-07
3/31/2016,1459382400,23943731847,23.943731847000002,2.3943731847000002e-08,11.41,2.7319798037427005e-07
4/1/2016,1459468800,23089731009,23.089731009,2.3089731009e-08,11.63,2.6853357163467e-07
4/2/2016,1459555200,22939736669,22.939736669000002,2.2939736669000003e-08,11.61,2.6633034272709e-07
4/3/2016,1459641600,22705288437,22.705288437,2.2705288437e-08,11.58,2.6292724010046e-07
4/4/2016,1459728000,23071306359,23.071306359,2.3071306359000002e-08,11.1,2.560915005849e-07
4/5/2016,1459814400,22855001812,22.855001812,2.2855001812e-08,10.39,2.3746346882668003e-07
4/6/2016,1459900800,23774218158,23.774218158,2.3774218158000002e-08,10.79,2.5652381392482e-07
4/7/2016,1459987200,22920002717,22.920002717000003,2.2920002717000003e-08,10.08,2.3103362738736002e-07
4/8/2016,1460073600,23663537901,23.663537901,2.3663537901e-08,9.74,2.3048285915574e-07
4/9/2016,1460160000,23374699345,23.374699345,2.3374699345000003e-08,9.16,2.1411224600020003e-07
4/10/2016,1460246400,23678330657,23.678330657,2.3678330657000002e-08,8.8,2.0836930978160004e-07
4/11/2016,1460332800,23659454582,23.659454582000002,2.3659454582e-08,8.72,2.0631044395504002e-07
4/12/2016,1460419200,23059716953,23.059716953000002,2.3059716953000003e-08,7.54,1.7387026582562002e-07
4/13/2016,1460505600,25246911318,25.246911318000002,2.5246911318e-08,8.02,2.0248022877035998e-07
4/14/2016,1460592000,25758426765,25.758426765000003,2.5758426765e-08,8.48,2.1843145896720003e-07
4/15/2016,1460678400,22848354360,22.848354360000002,2.284835436e-08,8.22,1.8781347283920002e-07
4/16/2016,1460764800,22969314896,22.969314896,2.2969314896e-08,8.48,1.9477979031808002e-07
4/17/2016,1460851200,23167419890,23.16741989,2.3167419890000003e-08,9.45,2.1893211796050002e-07
4/18/2016,1460937600,22692256964,22.692256964000002,2.2692256964000003e-08,8.92,2.0241493211888e-07
4/19/2016,1461024000,22921917181,22.921917181,2.2921917181e-08,8.77,2.0102521367737e-07
4/20/2016,1461110400,23244541703,23.244541703000003,2.3244541703e-08,8.54,1.9850838614361999e-07
4/21/2016,1461196800,24583057704,24.583057704,2.4583057704000003e-08,8.16,2.0059775086464004e-07
4/22/2016,1461283200,23168317793,23.168317793,2.3168317793000002e-08,7.83,1.8140792831919003e-07
4/23/2016,1461369600,23328772911,23.328772911,2.3328772911000002e-08,8.31,1.9386210289041003e-07
4/24/2016,1461456000,22898306186,22.898306186000003,2.2898306186e-08,8.0,1.83186449488e-07
4/25/2016,1461542400,22894325246,22.894325246,2.2894325246e-08,7.43,1.7010483657778e-07
4/26/2016,1461628800,24013247909,24.013247909,2.4013247909000002e-08,7.5,1.800993593175e-07
4/27/2016,1461715200,22769355411,22.769355411000003,2.2769355411e-08,7.77,1.7691789154347e-07
4/28/2016,1461801600,23151110557,23.151110557000003,2.3151110557e-08,7.3,1.690031070661e-07
4/29/2016,1461888000,22517844341,22.517844341,2.2517844341000003e-08,7.52,1.6933418944432002e-07
4/30/2016,1461974400,23589420595,23.589420595,2.3589420595000003e-08,8.83,2.0829458385385002e-07
5/1/2016,1462060800,24074701211,24.074701211,2.4074701211000003e-08,8.76,2.1089438260836002e-07
5/2/2016,1462147200,23735031560,23.735031560000003,2.373503156e-08,10.03,2.380623665468e-07
5/3/2016,1462233600,24296239464,24.296239464000003,2.4296239464e-08,9.37,2.2765576377768e-07
5/4/2016,1462320000,23683442809,23.683442809000002,2.3683442809000003e-08,9.43,2.2333486568887003e-07
5/5/2016,1462406400,24293386757,24.293386757,2.4293386757e-08,9.79,2.3783225635103e-07
