,Source,Target,Volume
0,USDC,WETH,208227776.66372824
1,WETH,USDC,202937706.7553484
2,USDC,USDT,65536225.19273244
3,USDT,USDC,65949850.96123308
4,WBTC,WETH,24737597.678058323
5,WETH,WBTC,28920488.87549363
6,USDC,WETH,20577984.458382588
7,WETH,USDC,33742712.85660167
8,WBTC,WETH,5099345.633791886
9,WETH,WBTC,17029702.141395435
10,WETH,USDT,17489200.611680374
11,USDT,WETH,16741358.172148116
12,WETH,USDT,8102537.378698588
13,USDT,WETH,5151143.315132942
14,DAI,USDC,17879450.20440517
15,USDC,DAI,14848979.728949424
16,WBTC,USDC,9838563.803755082
17,USDC,WBTC,5863797.451580085
18,DAI,WETH,2988482.610387626
19,WETH,DAI,4418088.158366831
20,DAI,WETH,6539587.550098117
21,WETH,DAI,7303432.676403866
22,USDC,USDT,1182869.9739701406
23,USDT,USDC,3636481.741429117
24,HEX,USDC,1858490.8739570004
25,USDC,HEX,1613605.8540000005
26,FRAX,USDC,6062661.275923003
27,USDC,FRAX,3266388.8091820003
28,APE,WETH,593620.5251431288
29,WETH,APE,994265.1031375292
30,WETH,LOOKS,1106173.591386184
31,LOOKS,WETH,926745.5251444972
32,UNI,WETH,1910818.4370452052
33,WETH,UNI,2332577.774087049
34,DAI,USDC,187448.70308851523
35,USDC,DAI,221967.96904848964
36,MATIC,WETH,1265020.679759415
37,WETH,MATIC,1341064.1664316575
38,LINK,WETH,842574.4103675678
39,WETH,LINK,1363447.9121153168
40,LDO,WETH,27852.768341964467
41,WETH,LDO,113561.8448526858
42,agEUR,USDC,861370.2309050001
43,USDC,agEUR,745882.6407750001
44,USDC,WETH,152529.27767285774
45,WETH,USDC,882978.0001324433
46,PAX,WETH,403373.28490349365
47,WETH,PAX,728855.2961017301
48,FUN,WETH,341514.3353744674
49,WETH,FUN,496351.9935211467
50,WETH,ENS,172118.82868481588
51,ENS,WETH,111020.7746431942
52,WETH,BTT,597288.2429726331
53,BTT,WETH,653317.297649095
54,MKR,WETH,291669.0489361656
55,WETH,MKR,365873.4430320632
56,agEUR,WETH,344293.6393367412
57,WETH,agEUR,502107.3469659387
58,WETH,oSQTH,257702.73739923025
59,oSQTH,WETH,358982.8883895547
60,WBTC,renBTC,3602080.6932185963
61,renBTC,WBTC,1699719.4768190782
62,BUSD,USDC,1907045.981183
63,USDC,BUSD,2043682.382535
64,RAI,DAI,1205148.205121613
65,DAI,RAI,227160.7001255839
66,FEI,USDC,602694.961389425
67,USDC,FEI,735361.0499244592
68,AAVE,WETH,294401.80844628485
69,WETH,AAVE,373705.2531344875
70,WBTC,WETH,0.0
71,WETH,WBTC,879.8813100593808
72,FUN,USDC,271243.502243
73,USDC,FUN,189364.512431
74,UNI,USDC,1133190.0777959996
75,USDC,UNI,1117860.878417
76,SHIB,WETH,120677.73065244671
77,WETH,SHIB,137289.92133042397
78,USDD,USDC,1191.109076
79,USDC,USDD,404.437454
80,FRAX,USDC,1583100.9547240003
81,USDC,FRAX,11650.65888
82,TUSD,USDC,187142.27794228363
83,USDC,TUSD,296226.77068600943
84,FUN,USDT,201633.8539446662
85,USDT,FUN,126323.02336547108
86,Metis,WETH,33019.14374009785
87,WETH,Metis,47207.30295173292
88,QNT,WETH,331621.40240781754
89,WETH,QNT,349577.1216541449
90,BIT,WETH,158925.15599661655
91,WETH,BIT,576463.1155981481
92,WETH,CRV,222578.1297059708
93,CRV,WETH,84649.2506185374
94,FUN,DAI,204759.95107764623
95,DAI,FUN,119035.05564908676
96,WBTC,BADGER,30639.456526635568
97,BADGER,WBTC,44350.513642304606
98,SHIT,WETH,611484.4593817397
99,WETH,SHIT,657167.2793580883
