,Source,Target,Volume
0,USDC,WETH,244250169.18144417
1,WETH,USDC,257363823.3986677
2,USDC,WETH,81595115.82861026
3,WETH,USDC,80438886.55160768
4,WETH,USDT,66841321.72809287
5,USDT,WETH,64435746.80937544
6,USDC,USDT,36488018.9398069
7,USDT,USDC,37241765.8997794
8,WBTC,USDC,11465053.03902021
9,USDC,WBTC,11285485.368506951
10,WBTC,WETH,27098469.7593516
11,WETH,WBTC,41081907.26013203
12,DAI,WETH,3013648.6171370395
13,WETH,DAI,3076491.798097524
14,DAI,WETH,31995856.07940546
15,WETH,DAI,33310906.071555857
16,DAI,USDC,23930263.228031587
17,USDC,DAI,28649972.670670576
18,WETH,USDT,16021127.067381218
19,USDT,WETH,16015969.367304703
20,LINK,WETH,5865598.612362962
21,WETH,LINK,13210621.967972986
22,WBTC,WETH,3115317.604720628
23,WETH,WBTC,22923427.59555292
24,FEI,USDC,5256927.094776527
25,USDC,FEI,4856739.362097571
26,UNI,WETH,7687763.00426669
27,WETH,UNI,8136190.621380122
28,DAI,USDT,4613069.53668524
29,USDT,DAI,5651370.581499665
30,USDC,EURS,2774715.757005
31,EURS,USDC,2955810.2955309995
32,CEL,WETH,2565216.9447626527
33,WETH,CEL,2272104.0883747903
34,MATIC,WETH,3347773.0321509656
35,WETH,MATIC,3602590.6962390984
36,HEX,USDC,322711.9162240001
37,USDC,HEX,375792.5217599999
38,SHIB,WETH,979246.9172297342
39,WETH,SHIB,949787.9028549688
40,SHIB,WETH,5960094.108006895
41,WETH,SHIB,5819838.81744833
42,ETH2x-FLI,WETH,3516493.371649532
43,WETH,ETH2x-FLI,3146804.822947936
44,WETH,GTC,4970532.349756653
45,GTC,WETH,4356172.215998614
46,FEI,USDC,11491089.407244898
47,USDC,FEI,6211069.802002957
48,LEASH,WETH,912698.5183244714
49,WETH,LEASH,1020697.0399337223
50,MKR,WETH,1235760.4635406348
51,WETH,MKR,1261097.896617808
52,QNT,WETH,386711.87074051617
53,WETH,QNT,397465.1837951293
54,1INCH,WETH,635433.9661765138
55,WETH,1INCH,477615.6858437902
56,COMP,WETH,79625.69983242701
57,WETH,COMP,107354.80140706756
58,HEX,WETH,693770.5187965422
59,WETH,HEX,935489.5545541348
60,WETH,TRIBE,5537247.922296369
61,TRIBE,WETH,2982659.391619959
62,PERP,WETH,314488.81031580863
63,WETH,PERP,228403.60733707945
64,RAI,DAI,1249275.1330037364
65,DAI,RAI,1209566.8102717826
66,RUNE,WETH,679545.0707156475
67,WETH,RUNE,568550.3719442867
68,WETH,TRU,676198.0905723211
69,TRU,WETH,766133.7049746473
70,WETH,GTC,992553.2377927594
71,GTC,WETH,938542.660189487
72,WDOGE,WETH,12455.107123966523
73,WETH,WDOGE,26373.204148199784
74,UST,USDT,477752.8100103668
75,USDT,UST,1071910.358677535
76,ERN,WETH,193419.1728354856
77,WETH,ERN,299598.0257611893
78,YFI,WETH,276609.3906691419
79,WETH,YFI,447542.1735919672
80,WETH,SLP,599133.0476784705
81,SLP,WETH,591222.0465823885
82,AAVE,WETH,242806.04416572195
83,WETH,AAVE,317130.4400576142
84,USDC,WETH,389946.0496455489
85,WETH,USDC,427940.1004484366
86,USDC,UST,206756.003366
87,UST,USDC,162162.78366699995
88,WOO,WETH,570479.3528292305
89,WETH,WOO,610939.3203369365
90,WETH,CRV,455643.4023159558
91,CRV,WETH,207479.8828867637
92,WETH,TRU,746254.7333823511
93,TRU,WETH,750361.5466236158
94,RAI,USDC,280731.20862299995
95,USDC,RAI,265439.784846
96,wNXM,WETH,273230.38916418905
97,WETH,wNXM,486257.9469030949
98,NEXO,WETH,800938.1157547948
99,WETH,NEXO,721038.047319909
