,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,{'symbol': 'USDC'},328581286.67493993,0.33601747585376396,18149688.697151784,7881614.921000221,10268073.776151564
1,{'symbol': 'WETH'},810831190.626955,0.7243786596790863,86391911.79536842,44622682.11171263,41769229.68365579
2,{'symbol': 'APE'},6781485.44597974,0.48385409007886376,21090337.583586693,10425999.670879684,10664337.91270701
3,{'symbol': 'ELON'},26254255.89278162,0.038745714119441936,1837083.7254812196,834885.5800546352,1002198.1454265844
4,{'symbol': 'QOM'},6604255.26516844,0.027396056720007646,1189414.5814177922,590325.2327569366,599089.3486608557
5,{'symbol': 'SAITAMA'},10131676.042210488,0.019653634256181284,829539.5196851678,423492.9258387328,406046.593846435
6,{'symbol': 'XMON'},11289394.277383704,0.01880546841032608,812463.9872328308,405216.8029102358,407247.1843225951
7,{'symbol': 'DAI'},21817611.353930406,0.05430754739484806,2490974.2927056877,1170209.12476462,1320765.1679410674
8,{'symbol': 'STRONG'},2273836.147963294,0.005067916687759165,200537.44978142797,109202.54432490324,91334.90545652472
9,{'symbol': 'SHIB'},6383245.500851725,0.013459228791778088,523971.0720403644,290017.00684291194,233954.06519745247
10,{'symbol': 'X2Y2'},6497275.5419273535,0.040314579806441604,1446799.3058740809,868691.2116938086,578108.0941802723
11,{'symbol': 'UNI'},29849206.65031895,0.09866011865392328,4125362.7470063306,2125910.2396904365,1999452.507315894
12,{'symbol': 'STARL'},7361864.691794033,0.06031351836847924,2312116.139487419,1299624.691726522,1012491.4477608968
13,{'symbol': 'PAXG'},27824463.99670147,0.030444085108321684,1534478.3317262,656003.5924628838,878474.739263316
14,{'symbol': 'HEX'},2383062.4104147386,0.035792375240291815,1596645.0078543783,771247.5726193842,825397.4352349942
15,{'symbol': 'MOOV'},731156.7459031974,0.009051460831221141,350531.53735205217,195039.2268708747,155492.31048117744
16,{'symbol': 'ALI'},2861976.8236666173,0.0006970160899383629,151548.9404390452,32377.989370817973,119170.95106822724
17,{'symbol': 'AUDIO'},5361178.61842707,0.012723364133572102,526171.8430395874,274160.7294204825,252011.11361910487
18,{'symbol': 'MC'},45800363.23756443,0.010623814113358616,793550.7097531946,228920.0085738873,564630.7011793073
19,{'symbol': 'BOND'},10948432.52629003,0.003217192115051105,210846.0985893209,149445.92184984128,61400.17673947963
20,{'symbol': 'KUMA'},3909517.27570394,0.0009757643264668138,92236.88630493727,21025.59171286648,71211.29459207079
21,{'symbol': 'SAND'},6495000.944746846,0.03783656136013617,1530314.4706787847,815295.3222400203,715019.1484387644
22,{'symbol': 'MPL'},2838990.72916151,0.00178954312028866,196666.03958277384,83128.36527554688,113537.67430722696
23,{'symbol': 'TOKE'},30069079.019537024,0.009352738282257174,324488.2937726547,201531.0984283377,122957.19534431702
24,{'symbol': 'WOO'},6658069.518846352,0.005625932763224872,234388.79799118807,121226.57292865448,113162.2250625336
25,{'symbol': 'KIBA'},1870761.0610745745,0.006464840817206817,330236.1359516005,139303.21064662686,190932.9253049736
26,{'symbol': 'UFO'},9777663.192559538,0.009737510805049076,454675.8526302364,209822.10656126056,244853.74606897583
27,{'symbol': 'VADER'},4281408.117208672,0.005327600817790383,174793.64193638938,114798.1705885898,59995.47134779959
28,{'symbol': 'HIGH'},8368636.446674665,0.01068622842376192,402874.9293654572,230264.900749164,172610.02861629322
29,{'symbol': '10SET'},10748652.82866614,0.005919935490785209,180630.39932810303,127561.69007168229,53068.70925642075
30,{'symbol': 'RAD'},5398450.000182431,0.0019462598401891503,195357.1706942544,90408.21485780845,104948.95583644597
31,{'symbol': 'MRI'},1305378.5530276373,0.0028138647156514857,179283.10579118965,60632.6436023325,118650.46218885714
32,{'symbol': 'WILD'},6519762.745065685,0.01634862370502899,853370.2454648679,352277.16136529035,501093.0840995775
33,{'symbol': 'DEFIT'},927671.404481189,0.0021473283860215203,63196.375594012905,46270.24035754676,16926.13523646614
34,{'symbol': 'FXS'},856601.061343725,0.002186671744493796,109545.04492770958,47118.003869095686,62427.04105861389
35,{'symbol': 'RBN'},2591575.385433669,0.01626159168365485,677782.3307639188,350401.8112446488,327380.51951927005
36,{'symbol': 'KYL'},2737.5376282028537,0.09525323761753283,3080616.7650164114,2052499.388583765,1028117.3764326468
37,{'symbol': 'F9'},1175687.1169673312,0.0005827589713618457,16598.434924938516,12557.184011052628,4041.250913885888
38,{'symbol': 'WBTC'},29132098.39420088,0.004699760499422145,294316.822821775,101269.58193575004,193047.24088602493
39,{'symbol': '$AKC'},1782615.8424126264,0.0018750445673780419,136114.6139522706,40403.11830201056,95711.49565026004
40,{'symbol': 'DOP'},1549387.796483941,0.0033473648223858793,177791.491435671,72128.40658393766,105663.08485173334
41,{'symbol': 'CULT'},7019140.017291916,0.03881102460567092,1486898.4220906883,836292.8784983008,650605.5435923873
42,{'symbol': 'USDT'},169528741.779916,0.29909895515481627,14614001.358903462,6665867.674449949,7948133.6844535135
43,{'symbol': 'FOX'},22372263.678708825,0.001136321150763364,192054.67409343412,24485.240874871262,167569.43321856286
44,{'symbol': 'LOOKS'},789646.6266584108,0.02040492552098825,839047.4421875259,439681.61296616,399365.8292213659
45,{'symbol': 'VEMP'},4842689.768570607,0.0018208858744202011,151005.54423482344,39236.116665502224,111769.4275693212
46,{'symbol': 'SUPER'},14878847.66331023,0.019457311279000414,863084.512180794,419262.5941386527,443821.9180421413
47,{'symbol': 'WRLD'},75998.9386679269,0.03469718392027444,1158466.9030768853,747648.5898347398,410818.3132421455
48,{'symbol': 'FLOKI'},3997401.517842266,0.00515961211714433,294934.39508830546,111178.38071069216,183756.01437761332
