,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,{'symbol': 'USDC'},239974634.8464102,0.6117508681850607,21657857.8443451,13146655.690674204,8511202.153670896
1,{'symbol': 'WETH'},521084106.7067056,0.6319872361019788,61541389.69338508,27554011.21462074,33987378.47876434
2,{'symbol': 'APE'},865272.6046826147,0.008989388067732633,360995.69702462,177787.4118774614,183208.28514715863
3,{'symbol': 'ELON'},15583517.724866351,0.029910792855615542,1223505.6272639628,591560.0048562634,631945.6224076992
4,{'symbol': 'QOM'},3507976.6772745224,0.030224920982999424,1126068.008689993,597772.6665351999,528295.3421547931
5,{'symbol': 'SAITAMA'},5967812.974980153,0.05319509043685915,2207881.7520838603,1052064.6546903506,1155817.0973935097
6,{'symbol': 'XMON'},5963746.981618513,0.00965046435617691,731982.5270659062,190861.83268235976,541120.6943835465
7,{'symbol': 'DAI'},17841191.862375222,0.1524471436989049,5332166.482634559,3015019.81248607,2317146.6701484886
8,{'symbol': 'STRONG'},887857.8716693723,0.0009353528743985484,37585.28574976401,18498.919556980225,19086.366192783786
9,{'symbol': 'SHIB'},1891625.8551994213,0.06960760296694501,2748572.3503108444,1376662.7366893122,1371909.6136215322
10,{'symbol': 'X2Y2'},5398033.442423637,0.012743997697593509,685370.7384860241,252044.1158570376,433326.62262898654
11,{'symbol': 'UNI'},20179707.26572305,0.02177435635778323,986591.9123012736,430641.8226668293,555950.0896344443
12,{'symbol': 'STARL'},4541947.9224401,0.02622117738014234,1032913.4847178918,518588.7212421985,514324.7634756933
13,{'symbol': 'PAXG'},22401992.04113212,0.03583329722153087,940943.0830507623,708692.1961817885,232250.88686897384
14,{'symbol': 'HEX'},1420864.9547357347,0.02172272174918294,864949.4846007316,429620.6204050978,435328.86419563385
15,{'symbol': 'MOOV'},321348.33360180113,0.00043773206437802833,24147.446512344766,8657.235646649786,15490.210865694982
16,{'symbol': 'ALI'},2340070.6380334315,0.00263833559750801,125824.4363740169,53905.692383281465,71918.74399073544
17,{'symbol': 'AUDIO'},3035223.8597134543,0.00456564168278404,222813.78333917772,90296.87140281202,132516.9119363657
18,{'symbol': 'MC'},29075612.117975377,0.0026037078241324184,145197.65397419137,51494.77048378792,93702.88349040346
19,{'symbol': 'BOND'},7802931.618138507,0.02984252913028621,1330359.829952321,609733.7263522452,720626.1036000757
20,{'symbol': 'KUMA'},1508130.23386112,0.002349991277588932,169214.2338986501,46476.897429407225,122737.33646924287
