,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1841623732.4112504,0.7114546909414556,969154310.1466669,515630011.8957478,453524298.2509191
1,WBTC,642092295.8426341,0.10685246551684872,155253398.08583623,77214038.62542313,78039359.46041311
2,WETH,1757197412.141342,0.6844292306875277,1114539422.4884386,533682579.4873386,580856843.0011
3,DAI,676033315.9637105,0.02782139937941616,45672596.9966076,17641279.357003316,28031317.63960429
4,APE,44952396.11377894,0.04161706470400392,52301867.687043905,25234350.343284704,27067517.343759205
5,FRAX,436495310.3558351,0.024728538182708322,26789488.747107632,15650699.764284233,11138788.982823402
6,HEX,55945590.878014505,0.011245510875917165,12045257.102486603,6700106.048755471,5345151.053731132
7,LINK,18972391.18690136,0.0028063197136603403,3138785.202103668,1704918.2824451835,1433866.9196584844
8,agEUR,34445428.69673729,0.002316344101927812,2387949.943164575,1370844.8383702314,1017105.1047943435
9,MKR,12438570.194734111,0.00040349733106260865,692627.7828309238,245135.995481124,447491.78734979976
10,RAI,19601524.159827385,3.431970516653872e-05,1430690.2798259628,512931.7089763004,917758.5708496624
11,FEI,6708544.651975769,0.0026834186736820866,3034891.8488901043,1568325.3430885265,1466566.5058015778
12,PAX,71579623.50714801,0.0006517672867447986,1102404.0001654292,807745.1808464613,294658.8193189679
13,1INCH,4063458.117494188,0.00013792791035879948,177553.5466803999,80612.03399104558,96941.5126893543
14,BUSD,23924949.621494483,7.698179142779485e-05,69014.431041,44992.045273,24022.385768
15,NEXO,7402545.425199836,0.001072272873756918,1779034.7232255936,651435.9776397385,1127598.745585855
16,MATIC,18541945.43424289,0.000984249439804643,1004221.9384993063,597959.2618193497,406262.67667995655
17,TUSD,10008112.770363534,0.0003070209248961317,247956.97901350696,179438.52820860225,68518.45080490473
18,ETH2x-FLI,21834342.73065536,0.00028819179585712053,1150429.254327346,175084.6345894837,975344.6197378624
19,MIM,949134.1772730368,0.00010473685653104744,101850.48472000001,61213.506511,40636.978209
20,sILV2,2236821.4168858216,0.002683536963241782,3089624.1429286147,1630324.3026721952,1459299.8402564195
21,LUSD,2065286.9314376663,0.0011705731026007361,1287357.7067479999,684142.016582,603215.6901659999
22,UNI,19737677.091827523,0.0004702860186034074,491548.63863585895,285712.00465592387,205836.63397993508
23,wstETH,3513513.7929986035,0.00047872408576526835,705920.2195285475,290838.3681642001,415081.8513643474
24,USDT,500672766.1645509,0.0977034553644713,126854996.23852123,59066649.04746112,67788347.19106011
25,LOOKS,27399091.911414716,0.03167418270146305,40257625.27952319,19242958.279617514,21014666.999905672
26,renBTC,10878567.775283337,0.0039433741131454534,27542697.291174993,15345406.717937496,12197290.5732375
27,ENS,8011856.3759801155,0.005579701093187641,7693201.085482094,3389825.599003874,4303375.48647822
28,LUNA,8403205.51250746,0.0006385829025429085,579844.8525775571,387957.1027145511,191887.74986300603
29,EURS,8824899.488186361,0.009888871211775153,11097355.429636002,5779555.567706,5317799.861930001
30,CRV,8285133.013891092,0.0009507348894633777,892700.9253014443,577598.22835383,315102.69694761414
31,oSQTH,11621235.74795552,0.00020297777089468976,549346.1369067323,123314.71387372128,426031.4230330111
