,token,total_tvl
0,{'symbol': 'USDC'},284705015.767288
1,{'symbol': 'WETH'},676111198.8842074
2,{'symbol': 'APE'},4755575.694291844
3,{'symbol': 'ELON'},20796225.640564784
4,{'symbol': 'QOM'},4611436.908468952
5,{'symbol': 'SAITAMA'},7173750.868381712
6,{'symbol': 'XMON'},9722735.950059656
7,{'symbol': 'DAI'},19735779.042822503
8,{'symbol': 'STRONG'},1241261.4324441073
9,{'symbol': 'SHIB'},4996851.916658177
10,{'symbol': 'X2Y2'},6445181.9472868
11,{'symbol': 'UNI'},24429926.011883225
12,{'symbol': 'STARL'},6020821.3843638785
13,{'symbol': 'PAXG'},25022665.878679905
14,{'symbol': 'HEX'},2190818.0957419104
15,{'symbol': 'MOOV'},492307.00918031606
16,{'symbol': 'ALI'},2653164.033638231
17,{'symbol': 'AUDIO'},4105836.1848408906
18,{'symbol': 'MC'},37465118.0737824
19,{'symbol': 'BOND'},9273670.733572893
20,{'symbol': 'KUMA'},3243619.5787179894
21,{'symbol': 'SAND'},5117356.190931856
22,{'symbol': 'MPL'},2187039.451893909
23,{'symbol': 'TOKE'},19748605.864355236
24,{'symbol': 'WOO'},5081680.971923612
25,{'symbol': 'KIBA'},1316531.033446281
26,{'symbol': 'UFO'},7488785.260478429
27,{'symbol': 'VADER'},3529153.3619095557
28,{'symbol': 'HIGH'},6650918.980685517
29,{'symbol': '10SET'},9109251.006614905
30,{'symbol': 'RAD'},4707308.523872057
31,{'symbol': 'MRI'},947799.9999198418
32,{'symbol': 'WILD'},4501465.904719764
33,{'symbol': 'DEFIT'},649312.9536278467
34,{'symbol': 'FXS'},1090150.4598285812
35,{'symbol': 'RBN'},2216257.5101238866
36,{'symbol': 'KYL'},2304.265837608854
37,{'symbol': 'F9'},879607.0946176487
38,{'symbol': 'WBTC'},23232921.868932676
39,{'symbol': '$AKC'},1252736.7881505918
40,{'symbol': 'DOP'},1060888.5930664977
41,{'symbol': 'CULT'},7432549.01935966
42,{'symbol': 'USDT'},152380586.19040272
43,{'symbol': 'FOX'},17742843.938463148
44,{'symbol': 'LOOKS'},559181.2157776299
45,{'symbol': 'VEMP'},3930717.1076606815
46,{'symbol': 'SUPER'},11297971.437213408
47,{'symbol': 'WRLD'},56187.65545846928
48,{'symbol': 'FLOKI'},3167870.057872398
49,{'symbol': 'ARC'},1379424.4516542724
