,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,{'symbol': 'USDC'},326447923.7417654,0.5094881426381139,15373788.556458488,8652873.128141522,6720915.428316966
1,{'symbol': 'WETH'},801213093.1695054,0.6625831692713228,59905217.959334105,27176526.87018295,32728691.08915115
2,{'symbol': 'APE'},6359875.5755974045,0.06853685637004259,2142100.440625403,1042007.4905014774,1100092.950123926
3,{'symbol': 'ELON'},25496945.34222665,0.03943882506006166,1147508.8146551638,599612.4319924952,547896.3826626687
4,{'symbol': 'QOM'},6411650.849135701,0.023924049261574324,742024.4856491495,363731.8641971338,378292.6214520157
5,{'symbol': 'SAITAMA'},10137688.47591131,0.06649681084977106,1864184.0977338362,1010991.4383264302,853192.659407406
6,{'symbol': 'XMON'},11960089.495138168,0.0814492392647212,2224029.8748270953,1238322.2970025726,985707.577824523
7,{'symbol': 'DAI'},21597698.34737753,0.02688604021533045,672829.4073095259,408764.8132420592,264064.5940674666
8,{'symbol': 'STRONG'},1453852.418039778,0.007340078435267099,206257.71824920856,111595.67443714636,94662.0438120622
9,{'symbol': 'SHIB'},6123272.073676196,0.02335500314804801,698094.1747733384,355080.31021377404,343013.86455956433
10,{'symbol': 'X2Y2'},6520211.900091684,0.0564265599302036,1673090.547918097,857887.2919564309,815203.2559616663
11,{'symbol': 'UNI'},28983199.992055003,0.027717196617702805,741958.052611358,421401.3892818792,320556.6633294789
12,{'symbol': 'STARL'},7628404.488126624,0.04056416182261817,1318299.087567818,616721.6108785169,701577.476689301
13,{'symbol': 'PAXG'},27320647.18481845,0.019959953463603894,431605.9290138122,303463.3060326237,128142.62298118851
14,{'symbol': 'HEX'},2506680.7211926966,0.06875368400898771,2056363.1678246362,1045304.0529044667,1011059.1149201696
15,{'symbol': 'MOOV'},662524.0766083521,0.00823066069866051,266372.3931190197,125135.7379666622,141236.6551523575
16,{'symbol': 'ALI'},3060549.604885236,0.01966072393672733,674803.0188269671,388733.9617220563,286069.05710491084
17,{'symbol': 'AUDIO'},5173377.853797183,0.008066248559361628,237443.13262152896,122636.08026783372,114807.05235369524
18,{'symbol': 'MC'},44883215.248497695,0.008655093385646063,392395.84737876075,131588.6461167638,260807.20126199696
19,{'symbol': 'BOND'},10864271.301084043,0.0073959611806041214,327315.33244135056,146233.74498982658,181081.587451524
20,{'symbol': 'KUMA'},3988324.9408761687,0.051045840697375826,1385853.8438117062,776080.9465556423,609772.897256064
21,{'symbol': 'SAND'},6290007.443667853,0.029888992905758714,856877.9449059749,454420.52846998273,402457.41643599217
22,{'symbol': 'MPL'},2725079.572074724,0.005062769442539342,217522.96692855732,100101.62540389605,117421.34152466129
23,{'symbol': 'TOKE'},29053218.69873636,0.003354514947581077,209976.88142523807,51000.7299358201,158976.15148941797
24,{'symbol': 'WOO'},6385805.399508493,0.013915160301495534,357283.8741592564,211560.64099877392,145723.2331604825
25,{'symbol': 'KIBA'},1808386.280085054,0.005674334077835297,166692.40826707176,86270.3503759853,80422.05789108647
26,{'symbol': 'UFO'},9554501.86680873,0.002908269457049963,125942.85705610571,44216.188473554175,81726.66858255153
27,{'symbol': 'VADER'},4657260.629541114,0.029574915617187152,704258.1549386652,449645.4205262966,254612.73441236865
28,{'symbol': 'HIGH'},8260768.789092107,0.015886556621753714,460667.64860347705,241532.97765461783,219134.6709488592
29,{'symbol': '10SET'},10849527.233739212,0.0024679258813302823,59320.130629382526,37521.377409901805,21798.75321948072
