,token,total_tvl
0,{'symbol': 'USDC'},430687442.6144842
1,{'symbol': 'WETH'},742650589.3787025
2,{'symbol': 'DAI'},108039549.51821522
3,{'symbol': 'UNI'},28787218.464108344
4,{'symbol': 'SAITAMA'},9606289.262954706
5,{'symbol': 'X2Y2'},7767518.654448198
6,{'symbol': 'ELON'},24011615.154181097
7,{'symbol': 'HEX'},2777862.990965305
8,{'symbol': 'PAXG'},26892310.02638089
9,{'symbol': 'QOM'},5527150.213038562
10,{'symbol': 'STARL'},7420871.581463146
11,{'symbol': 'SHIB'},5835051.181114256
12,{'symbol': 'MKR'},5497806.368653426
13,{'symbol': 'XMON'},11504111.787546515
14,{'symbol': 'stETH'},2431759.5788526386
15,{'symbol': 'SAND'},5811163.393658154
16,{'symbol': 'ASTO'},19329499.18201667
17,{'symbol': 'BOND'},9921604.646318208
18,{'symbol': 'WBTC'},26384319.784427974
19,{'symbol': 'RBN'},2533058.13292219
20,{'symbol': 'RAD'},4963455.943508278
21,{'symbol': 'WOO'},5999244.615592446
22,{'symbol': 'MC'},42762750.69178388
23,{'symbol': 'REQ'},1914033.333891302
24,{'symbol': 'UFT'},0.0
25,{'symbol': 'TOKE'},24406172.254041467
26,{'symbol': 'LINK'},4562209.298855613
27,{'symbol': 'YFI'},1053066.2922163508
28,{'symbol': 'AUDIO'},4821979.0850039115
29,{'symbol': 'FLX'},10711494.103161035
30,{'symbol': 'UFO'},8671755.330394654
31,{'symbol': 'VADER'},4474753.97108561
32,{'symbol': 'HIGH'},7808073.254340326
33,{'symbol': 'DAO'},2929743.927054425
34,{'symbol': 'BEND'},1990498.8183013129
35,{'symbol': 'WILD'},5389908.396966423
36,{'symbol': 'WOOL'},7944.176993280531
37,{'symbol': 'FEI'},2356443.2889695894
38,{'symbol': 'XCAD'},3789060.687984132
39,{'symbol': 'MPL'},2446707.853732306
40,{'symbol': 'ERN'},5781481.157091469
41,{'symbol': 'USDT'},169481721.08592376
42,{'symbol': 'CAW'},10954367.820513418
43,{'symbol': 'CULT'},8037203.913094214
44,{'symbol': 'LOOKS'},673037.6272598116
45,{'symbol': 'STRNGR'},1902211.20092992
46,{'symbol': 'SUPER'},13203170.553594984
47,{'symbol': 'CRV'},1799035.4717625764
