token,eigenvector_centrality,stable
WETH,0.738957617,0
USDC,0.706651498,1
APE,0.401317283,0
USDT,0.287266275,1
DAI,0.268900956,1
WBTC,0.265428915,0
UST,0.06123857,1
LOOKS,0.053536641,0
FEI,0.047225148,1
UNI,0.032902877,0
AXS,0.032442032,0
Metis,0.031931948,0
XSGD,0.029263928,1
LINK,0.027090231,0
HEX,0.027063164,0
SHIB,0.026645598,0
NEXO,0.021500576,0
MM,0.020339951,0
COMP,0.019272836,0
MATIC,0.015971777,0
ETH2x-FLI,0.015488582,0
SLP,0.014931956,0
MIM,0.013104167,1
FRAX,0.012954801,1
NCR,0.01202758,0
EURS,0.01180567,1
PERP,0.011597793,0
FTM,0.010700588,0
EURT,0.010362623,1
OHM,0.009920601,0
RAI,0.009878634,0
STRONG,0.009785117,0
GALA,0.008780385,0
ICE,0.00827134,0
ENS,0.007751886,0
LEASH,0.006906883,0
DYDX,0.006832914,0
CRV,0.006752744,0
agEUR,0.006617452,1
RBN,0.00645309,0
AAVE,0.0056267,0
SPELL,0.005466709,0
SAND,0.004863303,0
PAX,0.004398975,1
VXV,0.004375068,0
LCX,0.004147101,0
TKING,0.004007385,0
MKR,0.003901189,0
TRU,0.003674218,0
GNO,0.0032816,0
YGG,0.00324098,0
sILV2,0.003230195,0
RARE,0.003216045,0
UBT,0.00320115,0
WRLD,0.003052279,0
QNT,0.003012267,0
MANA,0.002682396,0
RUNE,0.002650139,0
Nvir,0.002611597,0
oneUNI,0.002560458,1
LYXe,0.002548268,0
CEL,0.00252997,0
BTRFLY,0.002452909,0
IMX,0.002452234,0
LUSD,0.00228603,1
BYTES,0.002222509,0
PEOPLE,0.002181094,0
TRIBE,0.002036896,0
sUSD,0.001883464,1
DPI,0.0018409,0
RPL,0.00163609,0
INST,0.001632804,0
LUNA,0.001352678,0
GTC,0.001340193,0
FXS,0.001283693,0
1INCH,0.001275946,0
AGLD,0.001219457,0
OGN,0.001063901,0
FX,0.000960821,0
CVX,0.00093283,0
oSQTH,0.000911685,0
FLOOR,0.000855466,0
WOOL,0.000833393,0
WOO,0.000728056,0
wstETH,0.000713722,0
YFI,0.000656319,0
UNQT,0.000643801,0
SUSHI,0.000604875,0
MCB,0.000524738,0
TUSD,0.000510705,1
ENJ,0.000498796,0
gOHM,0.000472161,0
HDRN,0.000414544,0
renBTC,0.000412392,0
FTX Token,0.000381317,0
rETH,0.000372107,0
WTON,0.000331473,0
ERN,0.000269066,0
XYO,0.000261864,0
STG,0.000231092,0
PILOT,0.000189507,0
BUSD,0.00016658,1
wNXM,0.000152836,0
SHI,0.00011435,0
CNV,5.21E-05,0
aKLIMA,5.10E-05,0
BAT,3.29E-05,0
WDOGE,4.70E-17,0
