,token,total_tvl
0,USDC,1126415286.5442414
1,DAI,344891950.1615516
2,WETH,1793190046.871698
3,WBTC,541963645.3835254
4,FEI,45428784.14870787
5,GALA,12543134.116176464
6,ETH2x-FLI,41979614.53793855
7,FRAX,209242794.05995658
8,SHIB,44664664.6121359
9,SPELL,7599067.971589062
10,SAND,11943199.104293196
11,HEX,32027500.84845107
12,1INCH,46294289.5958282
13,OHM,8125739.993936369
14,LINK,33766430.18899636
15,RBN,39172998.914583646
16,STRONG,1989904.2222958824
17,MATIC,16196672.83176542
18,AXS,15887431.110424036
19,DYDX,6878686.097797131
20,FTM,27546204.043337792
21,Metis,5425004.109296245
22,LUSD,1882043.0344934792
23,PILOT,6848761.234307617
24,BAT,8990505.532388642
25,XYO,4325173.931251934
26,UNI,51144617.61942944
27,RPL,28943609.499763627
28,LCX,11308072.174171114
29,TKING,2033536.1268818192
30,FXS,4456691.867442005
31,USDT,275219045.4329399
32,UST,5678567.404508007
33,ICE,3757856.0224722247
34,NCR,3316088.2420392637
35,ENJ,3639977.4750957144
36,EURS,10529624.939859957
37,SLP,2931866.6128391274
38,EURT,3627120.277082305
