,token,total_tvl
0,USDC,2870849249.997463
1,WBTC,502497954.0840317
2,WETH,1548563120.6550353
3,DAI,1871949882.4998245
4,HEX,15163517.004086936
5,FRAX,125986889.6069102
6,APE,24439090.081431244
7,UNI,22471380.606821336
8,MATIC,14713062.89313639
9,LINK,13245583.432955861
10,LDO,9286850.710708963
11,agEUR,17629665.200622868
12,PAX,18486964.443835422
13,FUN,17449335.03133164
14,MKR,13585198.678646404
15,BUSD,24757983.055318505
16,RAI,3478133.133319527
17,FEI,273812.10064457706
18,AAVE,4474802.482547824
19,SHIB,3896956.46631114
20,USDD,10922589.293280913
21,TUSD,10084620.700911611
22,Metis,4330552.5328161055
23,QNT,2229506.401444621
24,BIT,38595921.50720614
25,SHIT,1435431.2457513367
26,USDT,336964783.1170983
27,LOOKS,16794271.357295852
28,ENS,5428865.301167424
29,BTT,25218870.86542195
30,oSQTH,2622141.945069737
31,renBTC,7621366.406237839
32,CRV,7798422.49350192
33,BADGER,7223174.65104238
