,token,total_tvl
0,USDC,1831989929.4923735
1,WETH,1507665298.010593
2,WBTC,497277616.3707047
3,DAI,492359692.58115524
4,Metis,11531785.292937072
5,FRAX,262067212.52345228
6,FEI,92866222.94713274
7,HDRN,7588376.584388035
8,HEX,40349970.00523898
9,EURT,20342256.176703155
10,MATIC,25253032.05338355
11,oneUNI,4049838.536699461
12,rETH,3833493.0699651977
13,LINK,15859847.340864317
14,UNI,21921140.306772653
15,agEUR,39905664.37945956
16,GNO,19126571.661625553
17,MKR,12774672.163165657
18,STRONG,2017500.9830615583
19,UST,38024701.41090096
20,ETH2x-FLI,18171534.067437857
21,OGN,2303369.715702051
22,GALA,6315377.682340328
23,FTM,12383094.471020969
24,wstETH,898772.2742447498
25,CVX,4670996.992758336
26,USDT,502131987.6177421
27,LOOKS,14875569.743904056
28,WRLD,5654604.098759894
29,EURS,15524228.918874394
30,PAX,38393446.572206594
31,LUNA,7238385.6267862115
32,FLOOR,4120353.874157093
33,ENS,4434644.000272308
