,Source,Target,Volume
0,{'symbol': 'USDC'},{'symbol': 'WETH'},18834196.68576588
1,{'symbol': 'WETH'},{'symbol': 'USDC'},18037505.724480983
2,{'symbol': 'WETH'},{'symbol': 'USDT'},21426238.954316463
3,{'symbol': 'USDT'},{'symbol': 'WETH'},21975172.05069553
4,{'symbol': 'FEI'},{'symbol': 'WETH'},12373841.190462263
5,{'symbol': 'WETH'},{'symbol': 'FEI'},11245375.666971575
6,{'symbol': 'STARL'},{'symbol': 'WETH'},3649791.3885242688
7,{'symbol': 'WETH'},{'symbol': 'STARL'},3685864.004656172
8,{'symbol': 'DAI'},{'symbol': 'WETH'},3783962.637370786
9,{'symbol': 'WETH'},{'symbol': 'DAI'},3570227.812279893
10,{'symbol': 'WISE'},{'symbol': 'WETH'},72650.42904771154
11,{'symbol': 'WETH'},{'symbol': 'WISE'},580.42400802006
12,{'symbol': 'KOKO'},{'symbol': 'WETH'},1002089.1886616442
13,{'symbol': 'WETH'},{'symbol': 'KOKO'},968769.190527436
14,{'symbol': 'SAND'},{'symbol': 'WETH'},2211465.133926401
15,{'symbol': 'WETH'},{'symbol': 'SAND'},2053619.9462120133
16,{'symbol': 'UFO'},{'symbol': 'WETH'},773493.0793368329
17,{'symbol': 'WETH'},{'symbol': 'UFO'},821042.9984858794
18,{'symbol': 'HEX'},{'symbol': 'USDC'},1087301.8200644746
19,{'symbol': 'USDC'},{'symbol': 'HEX'},1386083.5396306715
20,{'symbol': 'UNI'},{'symbol': 'WETH'},1787091.1514848135
21,{'symbol': 'WETH'},{'symbol': 'UNI'},1636824.9594320576
22,{'symbol': 'AUDIO'},{'symbol': 'WETH'},1524729.1443383133
23,{'symbol': 'WETH'},{'symbol': 'AUDIO'},1616587.5737262715
24,{'symbol': 'WBTC'},{'symbol': 'WETH'},1562366.397983624
25,{'symbol': 'WETH'},{'symbol': 'WBTC'},1531800.3609354177
26,{'symbol': 'BFC'},{'symbol': 'WETH'},333085.43584311806
27,{'symbol': 'WETH'},{'symbol': 'BFC'},431170.02800957183
28,{'symbol': 'STRONG'},{'symbol': 'WETH'},1389681.669127207
29,{'symbol': 'WETH'},{'symbol': 'STRONG'},1421440.000944666
30,{'symbol': 'SHIB'},{'symbol': 'WETH'},1822447.1598033332
31,{'symbol': 'WETH'},{'symbol': 'SHIB'},1860537.1824664357
32,{'symbol': 'LINK'},{'symbol': 'WETH'},1597564.581469908
33,{'symbol': 'WETH'},{'symbol': 'LINK'},2342766.5806079125
34,{'symbol': 'WETH'},{'symbol': 'SUPER'},5590801.99641415
35,{'symbol': 'SUPER'},{'symbol': 'WETH'},5393857.917021208
36,{'symbol': 'BOND'},{'symbol': 'USDC'},547106.4594955109
37,{'symbol': 'USDC'},{'symbol': 'BOND'},792767.8351017745
38,{'symbol': 'TORN'},{'symbol': 'WETH'},1072675.5112794647
39,{'symbol': 'WETH'},{'symbol': 'TORN'},818239.8761426924
40,{'symbol': 'WETH'},{'symbol': 'AMP'},1061998.8485052397
41,{'symbol': 'AMP'},{'symbol': 'WETH'},1060039.621070732
42,{'symbol': 'ERN'},{'symbol': 'WETH'},600313.059570456
43,{'symbol': 'WETH'},{'symbol': 'ERN'},682338.1093194768
44,{'symbol': 'HEX'},{'symbol': 'WETH'},701909.0907615507
45,{'symbol': 'WETH'},{'symbol': 'HEX'},761669.6161936844
46,{'symbol': 'CARDS'},{'symbol': 'WETH'},1512388.7626025565
47,{'symbol': 'WETH'},{'symbol': 'CARDS'},1993108.7330804295
48,{'symbol': 'USDC'},{'symbol': 'USDT'},1131673.2754904905
49,{'symbol': 'USDT'},{'symbol': 'USDC'},1153501.043794145
50,{'symbol': 'ALBT'},{'symbol': 'WETH'},855004.3242839908
51,{'symbol': 'WETH'},{'symbol': 'ALBT'},864053.9053783359
52,{'symbol': 'REQ'},{'symbol': 'WETH'},6125469.02953935
53,{'symbol': 'WETH'},{'symbol': 'REQ'},6778058.585968195
54,{'symbol': 'WILD'},{'symbol': 'WETH'},517933.2479836134
55,{'symbol': 'WETH'},{'symbol': 'WILD'},531540.211864551
56,{'symbol': 'WETH'},{'symbol': 'LUNA'},2347644.5659148283
57,{'symbol': 'LUNA'},{'symbol': 'WETH'},2324785.5977446903
58,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},1637448.2660677922
59,{'symbol': 'WETH'},{'symbol': 'SAITAMA'},1525569.1013150054
60,{'symbol': 'PAID'},{'symbol': 'WETH'},375675.8714255308
61,{'symbol': 'WETH'},{'symbol': 'PAID'},391592.5001772
62,{'symbol': 'CGG'},{'symbol': 'WETH'},323166.89711599273
63,{'symbol': 'WETH'},{'symbol': 'CGG'},349197.7800661739
64,{'symbol': 'GERO'},{'symbol': 'WETH'},1038802.99295749
65,{'symbol': 'WETH'},{'symbol': 'GERO'},1228192.6834203035
66,{'symbol': 'FARM'},{'symbol': 'WETH'},8294098.850611015
67,{'symbol': 'WETH'},{'symbol': 'FARM'},8452329.678144995
68,{'symbol': 'RAI'},{'symbol': 'WETH'},871130.8380210131
69,{'symbol': 'WETH'},{'symbol': 'RAI'},718236.7482139834
70,{'symbol': 'RAD'},{'symbol': 'USDC'},329773.0641906489
71,{'symbol': 'USDC'},{'symbol': 'RAD'},463106.91539969295
72,{'symbol': 'WETH'},{'symbol': 'DEXT'},246276.260216802
73,{'symbol': 'DEXT'},{'symbol': 'WETH'},132473.1621482643
74,{'symbol': 'WETH'},{'symbol': 'PUSH'},91837.28950432027
75,{'symbol': 'PUSH'},{'symbol': 'WETH'},138093.04309501997
76,{'symbol': 'FRAX'},{'symbol': 'WETH'},933024.7798377606
77,{'symbol': 'WETH'},{'symbol': 'FRAX'},845356.1260293057
