,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
29,0xdb44a4a457c87225b5ba45f27b7828a4cc03c112,{'symbol': 'RBN'},{'symbol': 'WETH'},418361.139523608,80,1362319.831968111230072789,213.201473500816570226,0.0,0.0,80.0,42.0,205389.96168229394,38.0,212971.17784131411,418361.139523608
30,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,{'symbol': 'DAI'},{'symbol': 'USDC'},354850.69825424586,69,355096.514956171081032016,354617.315277,0.0,0.0,69.0,26.0,210589.23751129056,43.0,144261.46074295536,354850.6982542459
31,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,{'symbol': 'RAD'},{'symbol': 'USDC'},195583.917818046,49,85008.777011087058661172,195543.614559,0.0,0.0,49.0,27.0,100490.51681810104,22.0,95093.40099994495,195583.917818046
32,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,{'symbol': 'HEX'},{'symbol': 'USDC'},367215.2886157041,131,4504943.77285682,367123.366182,0.0,0.0,131.0,54.0,187157.60791927157,77.0,180057.68069643236,367215.28861570393
33,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,{'symbol': 'WOO'},{'symbol': 'WETH'},467981.3344162921,95,2633633.913413040005327619,237.191304344506331829,0.0,0.0,95.0,45.0,224914.09786170008,50.0,243067.23655459203,467981.33441629214
34,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,{'symbol': 'MC'},{'symbol': 'WETH'},233026.8618779007,32,214680.21331077970287072,118.879941891185066369,2.0,4.0,26.0,18.0,215331.0678193733,8.0,17695.794058527375,233026.86187790066
35,0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad,{'symbol': 'REQ'},{'symbol': 'WETH'},17075.15666349005,6,135243.338305978672615043,8.707925536200758316,0.0,0.0,6.0,3.0,9454.281678574123,3.0,7620.8749849159285,17075.156663490052
36,0x7b0db5d2b7720e9a48cffe0362d0a8535a86a763,{'symbol': 'UNDEAD'},{'symbol': 'USDT'},39066.062628170606,11,42113.777429517489951173,39066.061519,0.0,0.0,11.0,10.0,38473.337859879364,1.0,592.7247682912478,39066.06262817061
37,0x99dfde431b40321a35deb6aeb55cf338ddd6eccd,{'symbol': 'UFT'},{'symbol': 'WETH'},101466.54039655603,37,401481.061407368772671753,51.566700875000246477,0.0,0.0,37.0,21.0,49571.915515438064,16.0,51894.62488111797,101466.54039655603
38,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,{'symbol': 'TOKE'},{'symbol': 'WETH'},50050.21097105216,19,12405.437948091946733234,25.620168377815666818,0.0,4.0,15.0,9.0,29161.29130912571,6.0,20888.91966192645,50050.21097105216
39,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},171229.64387653407,64,22860.720776680780484181,86.975429595329704694,0.0,0.0,64.0,33.0,66190.88749370744,31.0,105038.75638282661,171229.64387653407
40,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,{'symbol': 'YFI'},{'symbol': 'WETH'},22891.2589480873,15,2.796231108993409897,11.617971924737352899,0.0,0.0,15.0,7.0,12005.32963254255,8.0,10885.92931554475,22891.2589480873
41,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,{'symbol': 'AUDIO'},{'symbol': 'WETH'},416606.0242450544,95,930626.800807089144623403,211.958626485947140191,0.0,0.0,95.0,44.0,171219.57385392842,51.0,245386.45039112592,416606.02424505434
42,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,{'symbol': 'FLX'},{'symbol': 'WETH'},12383.671227240193,11,235.897655215556910436,6.291835237734416799,0.0,0.0,11.0,2.0,3038.4559317454696,9.0,9345.215295494721,12383.671227240191
43,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,{'symbol': 'UFO'},{'symbol': 'WETH'},178105.47993165368,96,82269216536.141778538003576301,90.392088218734850903,0.0,0.0,96.0,29.0,110567.5899241523,67.0,67537.89000750142,178105.4799316537
44,0x452c60e1e3ae0965cd27db1c7b3a525d197ca0aa,{'symbol': 'VADER'},{'symbol': 'WETH'},260374.63020988405,60,170280777.470406989757941634,132.526062384526758686,0.0,0.0,60.0,15.0,170014.51106787566,45.0,90360.11914200835,260374.63020988402
45,0x3854612b93b140726167cca5418b01e832515d42,{'symbol': 'HIGH'},{'symbol': 'WETH'},201805.75000385504,34,96734.392762473148827252,103.267804670934248204,0.0,0.0,34.0,13.0,72036.35340907847,21.0,129769.3965947766,201805.75000385506
46,0x4cd36d6f32586177e36179a810595a33163a20bf,{'symbol': 'DAO'},{'symbol': 'USDC'},464625.947918342,81,216235.360628123061786226,464423.407019,0.0,0.0,81.0,49.0,236782.723229777,32.0,227843.22468856498,464625.94791834196
47,0x336ef4e633b1117dca08c1a57f4139c62c32c935,{'symbol': 'BEND'},{'symbol': 'WETH'},151155.0839365828,38,6123339.907752269670114054,77.02995956266954203,2.0,1.0,35.0,28.0,124932.9939132372,7.0,26222.090023345645,151155.08393658284
48,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,{'symbol': 'WILD'},{'symbol': 'WETH'},49588.42667877255,23,146126.795016715602303507,25.284386829836160847,0.0,1.0,22.0,11.0,24350.621148340815,11.0,25237.805530431735,49588.42667877255
49,0x5238b47a0acd39fb4049a48658e6fc32307492ed,{'symbol': 'WOOL'},{'symbol': 'WETH'},197642.5725086496,10,120527.219264771142863097,200.204766919899173206,0.0,0.0,10.0,4.0,100917.76444856,6.0,198169.82084535787,299087.58529391786
