,pairAddress,token0,token1,dailyVolumeUSD,createdDate,totalSupply,pooledToken0,pooledToken1,totalLiquidityUSD,txCount,mintsCount,burnsCount,swapsCount
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},14259588.674481528,2020-05-05 21:22:25,0.717015264137350725,60643784.394059,34959.799452143112545535,121255376.0550656201612938383085128,3720323,34121.0,24523.0,3661679.0
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},8915421.736887913,2020-05-19 02:07:09,0.185899117832520191,9448.45120284437207854,16371879.674428,32763024.01408541905641640684905627,4325700,39038.0,28432.0,4258230.0
2,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,{'symbol': 'USDC'},{'symbol': 'CAW'},3751112.345892721,2022-04-17 06:53:12,17000.216889656730319826,5196402.136348,78490691057454.063470524016753723,10390378.67952112018118073190463568,58634,16.0,13.0,58605.0
3,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},1119701.4280241912,2020-05-11 03:30:13,111290.173295375013974499,7993484.346359967161466614,4610.65270202146795826,15987407.20196957722435066584477949,1410539,37271.0,26353.0,1346915.0
4,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1441067.6041500384,2022-02-01 20:00:52,13069227.7293640003745602,1880.162102088011466599,178964724092.185361741867105473,6523239.742693866250894373867615205,129323,148.0,100.0,129075.0
5,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1378299.8000773394,2020-09-17 01:20:37,46767.819129616414628424,1430003.57212653422911299,7470.54182858227891897,25904514.51497031858898325494673644,691825,32382.0,23919.0,635524.0
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},707432.4023273125,2021-05-30 13:24:31,57.796875676366167985,63749892336481.63153856,3.475116840377969067,12050.15973566780118926965386870929,1022174,214.0,142.0,1021818.0
7,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},2929790.0114714336,2022-02-15 04:26:25,122520.348744241821577777,14550674.0098289247644743,1635.647969351642299675,5676282.928209337997352455170328016,100125,38.0,27.0,100060.0
8,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1145358.7492023672,2021-04-23 02:09:59,141928372.36221484468660157,18023694863347.119771744813550026,3879.538909243591647098,13492618.89661950737964986130424546,391685,468.0,367.0,390850.0
9,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},1257768.3709635965,2020-05-18 18:49:49,0.143646926622672883,10652438.73474345,298.785971426509562805,1035769.293268424656566165179524388,506961,2104.0,1575.0,503282.0
