,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},16572525.343401637,1764,13368084.058912,5048.920751557212582971,258972934.6469215330570163515638546,5.0,2.0,1757.0,721.0,5977343.031283042,1036.0,7397363.01820461,13374706.049487652
1,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1486898.422090688,657,1174.450757667457543784,137805953589.659434060943698837,8037203.913094214671709876069588719,1.0,0.0,656.0,420.0,1361107.2091949082,236.0,1777529.547316839,3138636.756511747
2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},13787893.4118867,1514,2595.974607807007319404,6907207.094821,131911211.2753440848146403265535385,0.0,1.0,1513.0,864.0,3798962.4031621683,649.0,3109243.805417537,6908206.208579706
3,0xb011eeaab8bf0c6de75510128da95498e4b7e67f,{'symbol': 'APE'},{'symbol': 'WETH'},21118949.138435688,391,125264.223913035752011265,616.08569848853770103,5854277.726748814068884275255267543,0.0,0.0,391.0,181.0,863090.5222486143,210.0,786512.1713023613,1649602.6935509755
4,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1837083.72548122,230,1482130357249.657809658012947953,460.904059134587598802,24011615.15418109901639235892388425,0.0,0.0,230.0,103.0,708636.5861103398,127.0,520177.8426008489,1228814.4287111887
5,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},1189414.581417792,111,7420032562899.313768777387950891,383.262908519870775629,5527150.213038561807113120352224663,0.0,0.0,111.0,45.0,571702.4003340645,66.0,437592.8355288084,1009295.2358628729
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},829539.5196851678,647,112505161025188.86465526,246.850249484122579843,9606289.262954707876699398952765959,0.0,0.0,647.0,160.0,351477.0183026159,487.0,309151.2167192345,660628.2350218503
7,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},812463.9872328307,29,28.548555989903316836,318.989524333196871136,11504111.78754651783012630187922427,3.0,0.0,26.0,14.0,460698.7315306571,12.0,390423.883607564,851122.6151382211
8,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},2490974.2927056868,227,715772.182349365498824542,279.290376473935520023,20942015.78914257937195429542041721,0.0,3.0,224.0,121.0,303942.6909425133,102.0,412447.2269036205,716389.9178461338
9,0x470e8de2ebaef52014a47cb5e6af86884947f08c,{'symbol': 'WETH'},{'symbol': 'FOX'},192054.6740934341,38,88.769129069151168644,1010714.424188816422843883,20124285.02088164670836154929445658,4.0,2.0,32.0,12.0,99510.88439321016,20.0,136001.1643189452,235512.04871215537
10,0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,{'symbol': 'WETH'},{'symbol': 'LOOKS'},839047.4421875258,288,2968.501057900118006361,1078572.09707232118482374,673037.6272598115708270583829975059,0.0,0.0,288.0,107.0,3891075.1786105516,181.0,3897892.5797671685,7788967.75837772
11,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},200537.44978142795,153,13208.734819024727116742,104.130786466015103555,1502471.077334596980529933423145763,0.0,0.0,153.0,101.0,137043.01335440602,52.0,142568.3215678106,279611.3349222166
12,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},523971.0720403643,302,63201632872.801445574565187172,464.786786243888298468,5835051.18111425627950501327688183,1.0,1.0,300.0,152.0,625542.5758009097,148.0,613923.5610018553,1239466.136802765
13,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},826107.9470167655,159,515334.222957,514720.335113,33781449.12259556521098942171245294,1.0,0.0,158.0,69.0,259284.64922897564,89.0,255706.43009804626,514991.0793270219
14,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},1446799.3058740809,499,18414920.665814027853446364,1845.920624606622530068,7767518.654448198063716917998299825,2.0,0.0,497.0,308.0,2315792.616278396,189.0,2621859.359719481,4937651.975997876
15,0x05be6820730b30086d6355c44c424230aaff41fb,{'symbol': 'WETH'},{'symbol': 'VEMP'},151005.5442348234,12,18.265007683814650836,698533.153280283261883192,4562502.227122159861610312993526288,0.0,0.0,12.0,5.0,23540.110467168462,7.0,25230.330217869996,48770.440685038455
16,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},4125362.747006332,171,286576.472203356187562673,796.819197228401545631,28787218.46410834442299280594683176,0.0,1.0,170.0,95.0,1191388.4084600152,75.0,941242.5454961215,2132630.9539561365
17,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},2312116.139487418,141,101078429943.653351046405911077,320.641569294456869456,7420871.581463146834104143400490706,0.0,0.0,141.0,66.0,488361.25698600133,75.0,367782.26214108366,856143.519127085
