,Source,Target,Volume
0,{'symbol': 'WETH'},{'symbol': 'USDT'},29096034.919757318
1,{'symbol': 'USDT'},{'symbol': 'WETH'},33629195.63703166
2,{'symbol': 'USDC'},{'symbol': 'WETH'},26867929.944331884
3,{'symbol': 'WETH'},{'symbol': 'USDC'},23612889.6803366
4,{'symbol': 'DAI'},{'symbol': 'WETH'},19304053.757994648
5,{'symbol': 'WETH'},{'symbol': 'DAI'},16262205.044733968
6,{'symbol': 'WBTC'},{'symbol': 'WETH'},14901660.510929948
7,{'symbol': 'WETH'},{'symbol': 'WBTC'},10960580.657620702
8,{'symbol': 'UNI'},{'symbol': 'WETH'},5595222.777650808
9,{'symbol': 'WETH'},{'symbol': 'UNI'},6299497.091458965
10,{'symbol': 'YFI'},{'symbol': 'WETH'},5476712.464289007
11,{'symbol': 'WETH'},{'symbol': 'YFI'},5215067.104570173
12,{'symbol': 'KP3R'},{'symbol': 'WETH'},5977340.867906682
13,{'symbol': 'WETH'},{'symbol': 'KP3R'},6322250.950026913
14,{'symbol': 'LINK'},{'symbol': 'WETH'},4080836.079349319
15,{'symbol': 'WETH'},{'symbol': 'LINK'},3828684.355736941
16,{'symbol': 'AAVE'},{'symbol': 'WETH'},1932543.3421565408
17,{'symbol': 'WETH'},{'symbol': 'AAVE'},1812015.333519006
18,{'symbol': 'PICKLE'},{'symbol': 'WETH'},1308687.8147575865
19,{'symbol': 'WETH'},{'symbol': 'PICKLE'},1304577.7132916264
20,{'symbol': 'HEX'},{'symbol': 'WETH'},899452.8438137191
21,{'symbol': 'WETH'},{'symbol': 'HEX'},805708.5445585527
22,{'symbol': 'ESD'},{'symbol': 'USDC'},301005.6311686157
23,{'symbol': 'USDC'},{'symbol': 'ESD'},340105.3696846858
24,{'symbol': 'WETH'},{'symbol': 'AMPL'},515679.49764155765
25,{'symbol': 'AMPL'},{'symbol': 'WETH'},985631.4403983444
26,{'symbol': 'CEL'},{'symbol': 'WETH'},1958760.673035102
27,{'symbol': 'WETH'},{'symbol': 'CEL'},1881222.045559239
28,{'symbol': 'DPI'},{'symbol': 'WETH'},1478566.39772765
29,{'symbol': 'WETH'},{'symbol': 'DPI'},1187880.35336113
30,{'symbol': 'CORE'},{'symbol': 'WETH'},246241.84305956343
31,{'symbol': 'WETH'},{'symbol': 'CORE'},150770.22650852264
32,{'symbol': 'YFL'},{'symbol': 'WETH'},1592495.9738314636
33,{'symbol': 'WETH'},{'symbol': 'YFL'},1637544.2606231146
34,{'symbol': 'FARM'},{'symbol': 'USDC'},844024.5412682833
35,{'symbol': 'USDC'},{'symbol': 'FARM'},493784.9810789653
36,{'symbol': 'SNX'},{'symbol': 'WETH'},987008.8894889136
37,{'symbol': 'WETH'},{'symbol': 'SNX'},976471.1236322164
38,{'symbol': 'WETH'},{'symbol': 'ROOK'},860555.4807620659
39,{'symbol': 'ROOK'},{'symbol': 'WETH'},934090.3461798894
40,{'symbol': 'WBTC'},{'symbol': 'USDC'},594294.6671646835
41,{'symbol': 'USDC'},{'symbol': 'WBTC'},597422.6238277751
42,{'symbol': 'OCEAN'},{'symbol': 'WETH'},426832.8711848353
43,{'symbol': 'WETH'},{'symbol': 'OCEAN'},377461.1548446058
44,{'symbol': 'YFIM'},{'symbol': 'WETH'},747677.9593340693
45,{'symbol': 'WETH'},{'symbol': 'YFIM'},454844.3670295246
46,{'symbol': 'SMARTCREDIT'},{'symbol': 'WETH'},482168.8855786921
47,{'symbol': 'WETH'},{'symbol': 'SMARTCREDIT'},446236.8526480079
48,{'symbol': 'WETH'},{'symbol': 'Yf-DAI'},988004.2777665596
49,{'symbol': 'Yf-DAI'},{'symbol': 'WETH'},976211.654650568
50,{'symbol': 'MKR'},{'symbol': 'WETH'},1289865.506356894
51,{'symbol': 'WETH'},{'symbol': 'MKR'},1282347.460746789
52,{'symbol': 'WETH'},{'symbol': 'CRV'},405268.9177284172
53,{'symbol': 'CRV'},{'symbol': 'WETH'},478836.4196563622
54,{'symbol': 'YAX'},{'symbol': 'WETH'},636823.9066646467
55,{'symbol': 'WETH'},{'symbol': 'YAX'},524766.0404446246
56,{'symbol': 'RSR'},{'symbol': 'WETH'},623839.1064333629
57,{'symbol': 'WETH'},{'symbol': 'RSR'},575532.9451566763
58,{'symbol': 'REN'},{'symbol': 'WETH'},970823.7296689898
59,{'symbol': 'WETH'},{'symbol': 'REN'},903273.5012230788
60,{'symbol': 'STAKE'},{'symbol': 'WETH'},435021.2507067384
61,{'symbol': 'WETH'},{'symbol': 'STAKE'},368542.86896325566
62,{'symbol': 'ORAI'},{'symbol': 'WETH'},530938.2192242815
63,{'symbol': 'WETH'},{'symbol': 'ORAI'},504272.9295135949
64,{'symbol': 'USDC'},{'symbol': 'USDT'},531601.3400820901
65,{'symbol': 'USDT'},{'symbol': 'USDC'},534843.4820762868
66,{'symbol': 'HEGIC'},{'symbol': 'WETH'},527014.7855060223
67,{'symbol': 'WETH'},{'symbol': 'HEGIC'},534085.4739103777
68,{'symbol': 'BID'},{'symbol': 'WETH'},273573.06552917114
69,{'symbol': 'WETH'},{'symbol': 'BID'},258374.95842091367
70,{'symbol': 'BOND'},{'symbol': 'USDC'},1431065.2915539078
71,{'symbol': 'USDC'},{'symbol': 'BOND'},1189562.0565739432
72,{'symbol': 'DIA'},{'symbol': 'WETH'},961040.074083367
73,{'symbol': 'WETH'},{'symbol': 'DIA'},935446.6011041146
74,{'symbol': 'XOR'},{'symbol': 'WETH'},617301.619048447
75,{'symbol': 'WETH'},{'symbol': 'XOR'},669783.520340493
76,{'symbol': 'WETH'},{'symbol': 'SURF'},5057.752977401859
77,{'symbol': 'SURF'},{'symbol': 'WETH'},17334.060514534838
78,{'symbol': 'DAI'},{'symbol': 'USDC'},309131.84551014466
79,{'symbol': 'USDC'},{'symbol': 'DAI'},316907.0674019615
80,{'symbol': 'CVP'},{'symbol': 'WETH'},619827.7234672171
81,{'symbol': 'WETH'},{'symbol': 'CVP'},535948.1441414432
82,{'symbol': 'WETH'},{'symbol': 'renBTC'},478146.5924953312
83,{'symbol': 'renBTC'},{'symbol': 'WETH'},642988.4923057813
84,{'symbol': 'CIBS'},{'symbol': 'WETH'},84575.34066790513
85,{'symbol': 'WETH'},{'symbol': 'CIBS'},59992.98050126335
86,{'symbol': 'LRC'},{'symbol': 'WETH'},267314.41717688256
87,{'symbol': 'WETH'},{'symbol': 'LRC'},203053.22438084203
88,{'symbol': 'SYN'},{'symbol': 'WETH'},268007.98888796155
89,{'symbol': 'WETH'},{'symbol': 'SYN'},220155.93649500256
90,{'symbol': 'STRONG'},{'symbol': 'WETH'},214991.8576326916
91,{'symbol': 'WETH'},{'symbol': 'STRONG'},182226.02586221063
92,{'symbol': 'MTA'},{'symbol': 'WETH'},727435.6637315264
93,{'symbol': 'WETH'},{'symbol': 'MTA'},803011.038121377
94,{'symbol': 'QNT'},{'symbol': 'WETH'},403369.3657284397
95,{'symbol': 'WETH'},{'symbol': 'QNT'},372735.3846446922
96,{'symbol': 'TEND'},{'symbol': 'WETH'},616745.2612492036
97,{'symbol': 'WETH'},{'symbol': 'TEND'},1211906.0566921204
98,{'symbol': 'COMP'},{'symbol': 'WETH'},230317.29554380948
99,{'symbol': 'WETH'},{'symbol': 'COMP'},219744.22304136385
