,Source,Target,Volume
0,{'symbol': 'WETH'},{'symbol': 'AMPL'},19584113.46859552
1,{'symbol': 'AMPL'},{'symbol': 'WETH'},21352486.52203908
2,{'symbol': 'USDC'},{'symbol': 'WETH'},4524072.524553531
3,{'symbol': 'WETH'},{'symbol': 'USDC'},4541191.612573629
4,{'symbol': 'DAI'},{'symbol': 'WETH'},2764950.930157273
5,{'symbol': 'WETH'},{'symbol': 'DAI'},2814162.8019167134
6,{'symbol': 'WETH'},{'symbol': 'DMG'},535809.5590145136
7,{'symbol': 'DMG'},{'symbol': 'WETH'},517142.77119740087
8,{'symbol': 'LEND'},{'symbol': 'WETH'},822274.0258930085
9,{'symbol': 'WETH'},{'symbol': 'LEND'},970408.5813543882
10,{'symbol': 'SNX'},{'symbol': 'WETH'},676985.5204191867
11,{'symbol': 'WETH'},{'symbol': 'SNX'},779637.4798578995
12,{'symbol': 'USDC'},{'symbol': 'USDT'},882200.0198692258
13,{'symbol': 'USDT'},{'symbol': 'USDC'},879612.8750790394
14,{'symbol': 'LINK'},{'symbol': 'WETH'},574674.3027133123
15,{'symbol': 'WETH'},{'symbol': 'LINK'},599069.1150885171
16,{'symbol': 'COMP'},{'symbol': 'WETH'},222307.6944319585
17,{'symbol': 'WETH'},{'symbol': 'COMP'},225555.87142989412
18,{'symbol': 'ALEPH'},{'symbol': 'WETH'},312426.10668320616
19,{'symbol': 'WETH'},{'symbol': 'ALEPH'},404249.1657173866
20,{'symbol': 'RSR'},{'symbol': 'WETH'},287796.5077340277
21,{'symbol': 'WETH'},{'symbol': 'RSR'},311841.533243057
22,{'symbol': 'UBT'},{'symbol': 'WETH'},196210.47469672372
23,{'symbol': 'WETH'},{'symbol': 'UBT'},176806.76587351455
24,{'symbol': 'REN'},{'symbol': 'WETH'},198831.97571642933
25,{'symbol': 'WETH'},{'symbol': 'REN'},232280.41228623112
26,{'symbol': 'WETH'},{'symbol': 'KNC'},180299.1668520303
27,{'symbol': 'KNC'},{'symbol': 'WETH'},155544.79276004998
28,{'symbol': 'XOR'},{'symbol': 'WETH'},233443.59241381087
29,{'symbol': 'WETH'},{'symbol': 'XOR'},214506.9441794866
30,{'symbol': 'HEX'},{'symbol': 'WETH'},331569.3295367647
31,{'symbol': 'WETH'},{'symbol': 'HEX'},328018.4237920809
32,{'symbol': 'WETH'},{'symbol': 'USDT'},350258.1344251418
33,{'symbol': 'USDT'},{'symbol': 'WETH'},345920.42169361806
34,{'symbol': 'WBTC'},{'symbol': 'WETH'},504711.4453013605
35,{'symbol': 'WETH'},{'symbol': 'WBTC'},503423.7685619593
36,{'symbol': 'XIO'},{'symbol': 'WETH'},325081.9654731197
37,{'symbol': 'WETH'},{'symbol': 'XIO'},491098.6156368601
38,{'symbol': 'BAT'},{'symbol': 'WETH'},147665.09519256168
39,{'symbol': 'WETH'},{'symbol': 'BAT'},156951.47927733784
40,{'symbol': 'ANT'},{'symbol': 'WETH'},133851.83349350395
41,{'symbol': 'WETH'},{'symbol': 'ANT'},172339.855525744
42,{'symbol': 'UMA'},{'symbol': 'WETH'},294706.7606015144
43,{'symbol': 'WETH'},{'symbol': 'UMA'},241157.3188037791
44,{'symbol': 'MKR'},{'symbol': 'WETH'},91517.30494162987
45,{'symbol': 'WETH'},{'symbol': 'MKR'},101513.656373499
46,{'symbol': 'LRC'},{'symbol': 'WETH'},72392.43147787519
47,{'symbol': 'WETH'},{'symbol': 'LRC'},100883.80023672436
48,{'symbol': 'CEL'},{'symbol': 'WETH'},92221.70874539138
49,{'symbol': 'WETH'},{'symbol': 'CEL'},89114.759401296
50,{'symbol': 'BNT'},{'symbol': 'WETH'},114827.14489950048
51,{'symbol': 'WETH'},{'symbol': 'BNT'},125873.86551062828
52,{'symbol': 'WETH'},{'symbol': 'PAMP'},166547.18952099257
