,Source,Target,Volume
0,{'symbol': 'WETH'},{'symbol': 'USDT'},85957467.55763818
1,{'symbol': 'USDT'},{'symbol': 'WETH'},76216163.8300707
2,{'symbol': 'USDC'},{'symbol': 'WETH'},56906869.31245641
3,{'symbol': 'WETH'},{'symbol': 'USDC'},64970493.00467223
4,{'symbol': 'DAI'},{'symbol': 'WETH'},40763581.56058922
5,{'symbol': 'WETH'},{'symbol': 'DAI'},47161451.71598951
6,{'symbol': 'SUSHI'},{'symbol': 'WETH'},67163699.08253512
7,{'symbol': 'WETH'},{'symbol': 'SUSHI'},42800033.1790517
8,{'symbol': 'YFI'},{'symbol': 'WETH'},37579393.03059126
9,{'symbol': 'WETH'},{'symbol': 'YFI'},33884635.60117885
10,{'symbol': 'WBTC'},{'symbol': 'WETH'},2255440.753581081
11,{'symbol': 'WETH'},{'symbol': 'WBTC'},2430780.048533818
12,{'symbol': 'WETH'},{'symbol': 'AMPL'},5239148.094190234
13,{'symbol': 'AMPL'},{'symbol': 'WETH'},6318145.914921159
14,{'symbol': 'LINK'},{'symbol': 'WETH'},11448015.386089891
15,{'symbol': 'WETH'},{'symbol': 'LINK'},11183925.80308397
16,{'symbol': 'CREAM'},{'symbol': 'WETH'},1643968.0968820355
17,{'symbol': 'WETH'},{'symbol': 'CREAM'},1596189.717385793
18,{'symbol': 'sUSD'},{'symbol': 'WETH'},8774279.089079892
19,{'symbol': 'WETH'},{'symbol': 'sUSD'},10946002.232146535
20,{'symbol': 'LEND'},{'symbol': 'WETH'},10517454.961585024
21,{'symbol': 'WETH'},{'symbol': 'LEND'},9330202.854120392
22,{'symbol': 'YFV'},{'symbol': 'WETH'},4238850.822512906
23,{'symbol': 'WETH'},{'symbol': 'YFV'},4257374.685023865
24,{'symbol': 'COMP'},{'symbol': 'WETH'},6898722.09574692
25,{'symbol': 'WETH'},{'symbol': 'COMP'},6634061.616092978
26,{'symbol': 'SNX'},{'symbol': 'WETH'},6805239.841708295
27,{'symbol': 'WETH'},{'symbol': 'SNX'},5839837.606666793
