,Source,Target,Volume
0,{'symbol': 'USDC'},{'symbol': 'WETH'},3837854.706825126
1,{'symbol': 'WETH'},{'symbol': 'USDC'},5371159.30343621
2,{'symbol': 'BOND'},{'symbol': 'USDC'},1935563.225185941
3,{'symbol': 'USDC'},{'symbol': 'BOND'},1999659.6385435048
4,{'symbol': 'WETH'},{'symbol': 'USDT'},1651519.455613868
5,{'symbol': 'USDT'},{'symbol': 'WETH'},1244539.267032165
6,{'symbol': 'XMON'},{'symbol': 'WETH'},93909.6526762314
7,{'symbol': 'WETH'},{'symbol': 'XMON'},70701.33270873396
8,{'symbol': 'UNI'},{'symbol': 'WETH'},1362814.8390606106
9,{'symbol': 'WETH'},{'symbol': 'UNI'},1158978.063462407
10,{'symbol': 'DAI'},{'symbol': 'WETH'},268418.97142628144
11,{'symbol': 'WETH'},{'symbol': 'DAI'},463774.274431867
12,{'symbol': 'USDC'},{'symbol': 'TSUKA'},359373.70085860096
13,{'symbol': 'TSUKA'},{'symbol': 'USDC'},354168.3845890464
14,{'symbol': 'WETH'},{'symbol': 'CULT'},383068.4621207246
15,{'symbol': 'CULT'},{'symbol': 'WETH'},424277.8984649701
16,{'symbol': 'WETH'},{'symbol': '$JOY'},911544.2716491251
17,{'symbol': '$JOY'},{'symbol': 'WETH'},909336.3596178824
18,{'symbol': 'RAD'},{'symbol': 'USDC'},1158545.2692423055
19,{'symbol': 'USDC'},{'symbol': 'RAD'},1148322.984524061
20,{'symbol': 'PAXG'},{'symbol': 'WETH'},157098.4027499372
21,{'symbol': 'WETH'},{'symbol': 'PAXG'},409771.9730257021
22,{'symbol': 'X2Y2'},{'symbol': 'WETH'},256344.802473119
23,{'symbol': 'WETH'},{'symbol': 'X2Y2'},308084.3812606778
24,{'symbol': 'MC'},{'symbol': 'WETH'},62783.82313911223
25,{'symbol': 'WETH'},{'symbol': 'MC'},57057.16416686538
26,{'symbol': 'USDC'},{'symbol': 'CAW'},1190257.0487997534
27,{'symbol': 'CAW'},{'symbol': 'USDC'},716963.8300525683
28,{'symbol': 'WETH'},{'symbol': 'SUPER'},156534.01803867784
29,{'symbol': 'SUPER'},{'symbol': 'WETH'},132959.5558245564
30,{'symbol': 'USDC'},{'symbol': 'USDT'},204591.8610790717
31,{'symbol': 'USDT'},{'symbol': 'USDC'},215967.79553332968
32,{'symbol': 'ELON'},{'symbol': 'WETH'},400674.3353706944
33,{'symbol': 'WETH'},{'symbol': 'ELON'},387684.3071972624
34,{'symbol': 'SNX'},{'symbol': 'WETH'},109847.86441021108
35,{'symbol': 'WETH'},{'symbol': 'SNX'},111266.87137628316
36,{'symbol': 'WETH'},{'symbol': 'SAITAMA'},286053.7708170915
37,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},185142.18475521723
38,{'symbol': 'WOO'},{'symbol': 'WETH'},133458.91652205726
39,{'symbol': 'WETH'},{'symbol': 'WOO'},101120.60080377173
40,{'symbol': 'WBTC'},{'symbol': 'WETH'},88803.29951068619
41,{'symbol': 'WETH'},{'symbol': 'WBTC'},157142.2146204067
42,{'symbol': 'SHIB'},{'symbol': 'WETH'},81779.40639770005
43,{'symbol': 'WETH'},{'symbol': 'SHIB'},75448.6379958369
44,{'symbol': 'ERN'},{'symbol': 'WETH'},16328.745465494834
45,{'symbol': 'WETH'},{'symbol': 'ERN'},9387.855156955107
46,{'symbol': 'WETH'},{'symbol': 'AMPL'},129411.05281525056
47,{'symbol': 'AMPL'},{'symbol': 'WETH'},145452.52015886217
48,{'symbol': 'HIGH'},{'symbol': 'WETH'},5344.130268532839
49,{'symbol': 'WETH'},{'symbol': 'HIGH'},24627.11737924904
50,{'symbol': 'MPL'},{'symbol': 'USDC'},420783.2509350198
51,{'symbol': 'USDC'},{'symbol': 'MPL'},441085.8977667899
52,{'symbol': 'WETH'},{'symbol': 'CRV'},27155.645461759348
