,Source,Target,Volume
0,{'symbol': 'WETH'},{'symbol': 'USDT'},32717986.329051424
1,{'symbol': 'USDT'},{'symbol': 'WETH'},28069766.04202711
2,{'symbol': 'USDC'},{'symbol': 'WETH'},19956948.254798
3,{'symbol': 'WETH'},{'symbol': 'USDC'},23125238.09947004
4,{'symbol': 'FEI'},{'symbol': 'WETH'},13431276.969001569
5,{'symbol': 'WETH'},{'symbol': 'FEI'},15702715.640029922
6,{'symbol': 'FNK'},{'symbol': 'USDT'},30962421.01510634
7,{'symbol': 'USDT'},{'symbol': 'FNK'},23759388.24570596
8,{'symbol': 'DAI'},{'symbol': 'WETH'},5362329.166121946
9,{'symbol': 'WETH'},{'symbol': 'DAI'},6537259.77135282
10,{'symbol': 'eMax'},{'symbol': 'WETH'},4699221.362684195
11,{'symbol': 'WETH'},{'symbol': 'eMax'},4464859.446881944
12,{'symbol': 'SHIB'},{'symbol': 'WETH'},4475311.438443535
13,{'symbol': 'WETH'},{'symbol': 'SHIB'},4432858.61469669
14,{'symbol': 'JEJUDOGE'},{'symbol': 'WETH'},2340681.353203709
15,{'symbol': 'WETH'},{'symbol': 'JEJUDOGE'},2335879.0414297944
16,{'symbol': 'LEASH'},{'symbol': 'WETH'},1444103.808375981
17,{'symbol': 'WETH'},{'symbol': 'LEASH'},1440825.8494701358
18,{'symbol': 'WBTC'},{'symbol': 'WETH'},2295131.9791341675
19,{'symbol': 'WETH'},{'symbol': 'WBTC'},2333478.3954054774
20,{'symbol': 'TEND'},{'symbol': 'WETH'},3425998.3882185365
21,{'symbol': 'WETH'},{'symbol': 'TEND'},6831761.306240909
22,{'symbol': 'WOO'},{'symbol': 'WETH'},3088385.6462103687
23,{'symbol': 'WETH'},{'symbol': 'WOO'},2818067.230096995
24,{'symbol': 'WETH'},{'symbol': 'AMP'},2197987.4240449285
25,{'symbol': 'AMP'},{'symbol': 'WETH'},2336895.8010547883
26,{'symbol': 'HEX'},{'symbol': 'USDC'},2566952.8728013374
