,Source,Target,Volume
0,{'symbol': 'USDC'},{'symbol': 'WETH'},22597829.806750994
1,{'symbol': 'WETH'},{'symbol': 'USDC'},19954096.496554505
2,{'symbol': 'WETH'},{'symbol': 'USDT'},17332475.575083278
3,{'symbol': 'USDT'},{'symbol': 'WETH'},19461275.93866734
4,{'symbol': 'FEI'},{'symbol': 'WETH'},6930197.697850659
5,{'symbol': 'WETH'},{'symbol': 'FEI'},4326086.809858834
6,{'symbol': 'STARL'},{'symbol': 'WETH'},13614848.001239432
7,{'symbol': 'WETH'},{'symbol': 'STARL'},12907713.483446324
8,{'symbol': 'HEX'},{'symbol': 'USDC'},3103572.6247477056
9,{'symbol': 'USDC'},{'symbol': 'HEX'},2819159.053440127
10,{'symbol': 'SAND'},{'symbol': 'WETH'},1483506.4478203235
11,{'symbol': 'WETH'},{'symbol': 'SAND'},1239111.4525837642
12,{'symbol': 'DAI'},{'symbol': 'WETH'},4140299.1994677926
13,{'symbol': 'WETH'},{'symbol': 'DAI'},3431757.8456000388
14,{'symbol': 'FNK'},{'symbol': 'USDT'},56735.14253425775
15,{'symbol': 'USDT'},{'symbol': 'FNK'},679.2481957798279
16,{'symbol': 'KOKO'},{'symbol': 'WETH'},4928335.58278427
17,{'symbol': 'WETH'},{'symbol': 'KOKO'},4990221.5746028535
18,{'symbol': 'SHIB'},{'symbol': 'WETH'},1814331.8936887044
19,{'symbol': 'WETH'},{'symbol': 'SHIB'},1777207.3450767267
20,{'symbol': 'BOND'},{'symbol': 'USDC'},1596637.828796875
21,{'symbol': 'USDC'},{'symbol': 'BOND'},1699405.378099774
22,{'symbol': 'WBTC'},{'symbol': 'WETH'},1974188.7663383
23,{'symbol': 'WETH'},{'symbol': 'WBTC'},2482735.4855879345
24,{'symbol': 'UNI'},{'symbol': 'WETH'},1335933.116029147
25,{'symbol': 'WETH'},{'symbol': 'UNI'},2128971.471560855
26,{'symbol': 'HEX'},{'symbol': 'WETH'},1269371.418102719
27,{'symbol': 'WETH'},{'symbol': 'HEX'},1192782.431481966
28,{'symbol': 'WETH'},{'symbol': 'AMPL'},1145799.3616322186
29,{'symbol': 'AMPL'},{'symbol': 'WETH'},1161576.9270084996
30,{'symbol': 'LEASH'},{'symbol': 'WETH'},465879.2849919463
31,{'symbol': 'WETH'},{'symbol': 'LEASH'},449118.5955417382
32,{'symbol': 'WETH'},{'symbol': 'SUPER'},1722094.728242186
33,{'symbol': 'SUPER'},{'symbol': 'WETH'},1667333.5724634607
34,{'symbol': 'FARM'},{'symbol': 'WETH'},15631286.343970688
35,{'symbol': 'WETH'},{'symbol': 'FARM'},16992185.546880428
36,{'symbol': 'LINK'},{'symbol': 'WETH'},2606437.572735791
37,{'symbol': 'WETH'},{'symbol': 'LINK'},3896975.252466708
38,{'symbol': 'TEND'},{'symbol': 'WETH'},610166.955184127
39,{'symbol': 'WETH'},{'symbol': 'TEND'},1217098.3351893737
40,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},7164255.234511632
41,{'symbol': 'WETH'},{'symbol': 'SAITAMA'},7491134.672001702
42,{'symbol': 'STRONG'},{'symbol': 'WETH'},982682.3623852103
43,{'symbol': 'WETH'},{'symbol': 'STRONG'},958534.905815192
44,{'symbol': 'UFO'},{'symbol': 'WETH'},1273715.3740949652
45,{'symbol': 'WETH'},{'symbol': 'UFO'},997614.9171207078
46,{'symbol': 'WETH'},{'symbol': 'AMP'},429180.2572387484
47,{'symbol': 'AMP'},{'symbol': 'WETH'},534469.0178637347
48,{'symbol': 'FRAX'},{'symbol': 'WETH'},1079481.234321962
49,{'symbol': 'WETH'},{'symbol': 'FRAX'},788454.871202046
50,{'symbol': 'DPI'},{'symbol': 'WETH'},403101.5456682221
51,{'symbol': 'WETH'},{'symbol': 'DPI'},431581.3414524373
52,{'symbol': 'USDC'},{'symbol': 'USDT'},947069.8065430096
53,{'symbol': 'USDT'},{'symbol': 'USDC'},879516.7548209475
54,{'symbol': 'WETH'},{'symbol': 'RLY'},82007.46932383353
55,{'symbol': 'RLY'},{'symbol': 'WETH'},251423.96832757303
56,{'symbol': 'AAVE'},{'symbol': 'WETH'},353943.5062432848
57,{'symbol': 'WETH'},{'symbol': 'AAVE'},318880.7908951346
58,{'symbol': 'WETH'},{'symbol': 'TKING'},110974.16120995369
59,{'symbol': 'TKING'},{'symbol': 'WETH'},112853.42801172954
60,{'symbol': 'PERP'},{'symbol': 'WETH'},2225740.389612424
61,{'symbol': 'WETH'},{'symbol': 'PERP'},2279923.272862847
62,{'symbol': 'RAI'},{'symbol': 'WETH'},651037.7565204924
63,{'symbol': 'WETH'},{'symbol': 'RAI'},409827.6666768974
64,{'symbol': 'FEAR'},{'symbol': 'USDT'},421316.4503322516
65,{'symbol': 'USDT'},{'symbol': 'FEAR'},400719.95378391456
66,{'symbol': 'WOO'},{'symbol': 'WETH'},672668.6813277444
67,{'symbol': 'WETH'},{'symbol': 'WOO'},763804.6370115879
68,{'symbol': 'ERN'},{'symbol': 'WETH'},254424.76411538056
69,{'symbol': 'WETH'},{'symbol': 'ERN'},272332.7502165017
70,{'symbol': 'KISHU'},{'symbol': 'WETH'},524174.81896874
71,{'symbol': 'WETH'},{'symbol': 'KISHU'},575436.9732803315
72,{'symbol': 'AUDIO'},{'symbol': 'WETH'},184570.2634540928
73,{'symbol': 'WETH'},{'symbol': 'AUDIO'},140995.49231179047
74,{'symbol': 'WETH'},{'symbol': 'FOX'},340776.1845600113
75,{'symbol': 'FOX'},{'symbol': 'WETH'},470743.8245258837
76,{'symbol': 'CARDS'},{'symbol': 'WETH'},121817.60106353456
77,{'symbol': 'WETH'},{'symbol': 'CARDS'},251686.01250353764
78,{'symbol': 'FEG'},{'symbol': 'WETH'},299054.55829548807
79,{'symbol': 'WETH'},{'symbol': 'FEG'},223580.91987541737
80,{'symbol': 'COMP'},{'symbol': 'WETH'},430138.000852942
81,{'symbol': 'WETH'},{'symbol': 'COMP'},407416.1250182972
82,{'symbol': 'WETH'},{'symbol': 'CUMINU'},94247.70836583244
83,{'symbol': 'CUMINU'},{'symbol': 'WETH'},84320.66375474182
84,{'symbol': 'eRSDL'},{'symbol': 'WETH'},1405680.9040684584
85,{'symbol': 'WETH'},{'symbol': 'eRSDL'},1500855.1367278458
86,{'symbol': 'MKR'},{'symbol': 'WETH'},346547.4957980546
87,{'symbol': 'WETH'},{'symbol': 'MKR'},191595.1685392015
88,{'symbol': 'ETH2x-FLI'},{'symbol': 'WETH'},580652.4591222267
89,{'symbol': 'WETH'},{'symbol': 'ETH2x-FLI'},614864.7960283854
90,{'symbol': 'WETH'},{'symbol': 'MCHC'},3631994.9955742094
91,{'symbol': 'MCHC'},{'symbol': 'WETH'},3626812.733751059
92,{'symbol': 'WDOGE'},{'symbol': 'WETH'},117432.1411613436
93,{'symbol': 'WETH'},{'symbol': 'WDOGE'},5101.826394649162
94,{'symbol': '10SET'},{'symbol': 'WETH'},411138.35421855
95,{'symbol': 'WETH'},{'symbol': '10SET'},604803.3631849841
96,{'symbol': 'ELON'},{'symbol': 'WETH'},54855.76081045184
97,{'symbol': 'WETH'},{'symbol': 'ELON'},54077.82065453869
98,{'symbol': 'WETH'},{'symbol': 'TVK'},186277.38446287852
99,{'symbol': 'TVK'},{'symbol': 'WETH'},196759.35392115545
