,pairAddress,dailyVolumeUSD,token0_symbol,token0_id,dailyVolumeToken0,reserve0,token1_symbol,token1_id,dailyVolumeToken1,reserve1,reserveUSD,totalSupply,dailyTxns
0,0x26b1c843b41ab3ac6146f859d31dcb2031f5992b,18044577.16616131095138411684391161,sILV2,0x7e77dcb127f99ece88230a64db8d595f31f1b068,75.590458431395684271,1.767872165974808497,WETH,0x7e77dcb127f99ece88230a64db8d595f31f1b068,20391.289551617179340048,0.103575127241738334,185.007627282511291050410476253084,0.397489622506046319,66
1,0x9112d1761124d4ec7aca02014d6e215970f87e33,12330161.8603183632501027905931409,SHIT,0x4e4a47cac6a28a62dcc20990ed2cda9bc659469f,1419137291173.507923209293317101,16350613868.3869050774532976,WETH,0x4e4a47cac6a28a62dcc20990ed2cda9bc659469f,13969.023979241586925419,0.519906171224847849,939.5606044999527414057226528192348,76481.596984279553163924,568
2,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,9356068.767914834418701521183459145,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9352341.202544,7278284.442263,CAW,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,70352106872638.631096732439854899,53711361613298.579569450654648315,14562523.79614463010296044124735658,17000.372001445604539439,1130
3,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,7946290.543183526065581561379215337,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,7944060.293021,79053219.45668,WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4416.753923820066502526,43762.070870754729340122,158171118.2947124454132655087211276,0.949291097224270471,2352
4,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,3567514.616175831645067170006679848,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1985.069246836202839412,17150.6216251843007197,USDT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3568632.914985,31025675.01265,61986741.93124518014117041922362383,0.358735792422925442,988
5,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,3406788.640697228554984176713442879,X2Y2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,13267781.010060489687022394,12923069.47957958366364951,WETH,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,1890.06115884505521772,1700.778808333284489473,6150046.731936887471116457848148126,122495.841175114799947429,339
6,0x5fc5b2a2a84e577e8eb3ddd00d6b18cdfc976645,2117245.547362322563131098884959673,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2370.283509828503112744,1.405332611560299561,GIZA,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,29395.18460405,4879.509395835,2540.637390630996495380319988943423,0.000000001693876534,52
7,0xc9919a9eb691f571e41db417f911135b4ac46fe7,2068207.090312683960461532632688075,LSS,0x3b9be07d622accaed78f479bc0edabfd6397e320,39890.453065187663700397,19492.596085670694340666,WETH,0x3b9be07d622accaed78f479bc0edabfd6397e320,2315.4491801142244733,1.743545235299297085,6230.195069012601572355339755270908,134.786530428602600527,5
8,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,1656077.459784708517237385640827616,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,31687521.75123634,9561300.85832576,WETH,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,921.849962520731810018,262.860789083706771544,950046.2579647230507226365979986013,0.141939588833336829,1084
9,0x5281e311734869c64ca60ef047fd87759397efe6,1242412.424525914084718022581442596,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,693.44156563152035369,1590.131078037393753415,CULT,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,84402864787.057603459657130526,194274555743.182871721195811459,5747440.852724872320382470833962709,13027895.889162734975983901,354
10,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,1141946.302832015773314469740411698,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,21761174.39386819,6580678.00712234,USDC,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,1141723.997216,328934.681051,658294.8540617761718797970861978751,0.000007647112982819,283
11,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,1127677.624600125186797023647220326,SAITAMA,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,205004098504744.69545259,621396432191831.238906482,WETH,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,625.000632860529770145,1971.111819425798635669,7124074.173003478151163110000239229,14313.458893646941440285,849
12,0x7ba9b94127d434182287de708643932ec036d365,1020903.380253957921149317802689005,eRSDL,0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,50451718.885052442779591628,12265921.026925799452795658,WETH,0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,568.469556179638284252,114.678912348143895411,414488.9827418657326611333329020109,21179.822885938282064551,466
13,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,1000414.578905017001373359548662319,RAD,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,452539.384559022218196543,939931.639182685426251764,USDC,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,1000185.20555,1995580.757769,4117252.487900125806857966340931903,1.198797283990609674,165
14,0xdd39323c337c33d0285c1d4228a1a46a8502c79f,972807.8660929728883561858897073178,HATI,0x251457b7c5d85251ca1ab384361c821330be2520,92419897650656.793742528860750703,66440650727706.597227107208443003,USDC,0x251457b7c5d85251ca1ab384361c821330be2520,972386.174524,729831.256612,1460602.248501550373469062332659775,6454.97224367901523102,372
