,token0,token1,id,createdAtBlockNumber,createdAtTimestamp,feeTier
3336,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xd0d7a9f2021958e51d60d6966b7bbed9d1cb22b5', 'symbol': 'ENX'}",0x3317814e25b7032fc413973801fdd670670aad20,12857692,1626706449,3000
3337,"{'id': '0x75387e1287dd85482ab66102da9f6577e027f609', 'symbol': 'MAI'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x8d274f951c4330982146e718a1cee58802b1c372,12857831,1626708335,3000
3338,"{'id': '0x03ab458634910aad20ef5f1c8ee96f1d6ac54919', 'symbol': 'RAI'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0xcf6ee29bf91865d09f42497ed140e1cb805f23e7,12858961,1626723750,3000
3339,"{'id': '0x4a6058666cf1057eac3cd3a5a614620547559fc9', 'symbol': 'BBK'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x4376d6b7bf183308d198a6f3b12446e786369ba2,12859350,1626729222,10000
3340,"{'id': '0x383518188c0c6d7730d91b2c03a03c837814a899', 'symbol': 'OHM'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0x788248dddf945542ca202713e6cb74195db07209,12859370,1626729449,3000
3341,"{'id': '0x6589fe1271a0f29346796c6baf0cdf619e25e58e', 'symbol': 'GRAIN'}","{'id': '0xa0246c9032bc3a600820415ae600c6388619a14d', 'symbol': 'FARM'}",0x537189703160c34638bb29d5bb503f391a136c5a,12859728,1626734087,10000
3342,"{'id': '0x3b3f95938958a4029fa8b01873e2721b02950883', 'symbol': 'CSWAP'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x847cc8145ba0d61aea69bc3999103dfd87c8aa8f,12859894,1626736060,3000
3343,"{'id': '0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611', 'symbol': 'MM'}","{'id': '0xecacab6725ac1711d97e55df35d525b863b8b9f7', 'symbol': 'TT'}",0xf60636435f865660636686eccb66df461d903458,12859992,1626737315,10000
3344,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xdb726152680ece3c9291f1016f1d36f3995f6941', 'symbol': 'MEDIA'}",0x58170dceef6d837616e836250a0913c1c88265ea,12860285,1626741293,10000
3345,"{'id': '0x3b3f95938958a4029fa8b01873e2721b02950883', 'symbol': 'CSWAP'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x115b55f97686b424a8b0b877b60b3bb690e5418a,12860304,1626741494,3000
3346,"{'id': '0x34965f73cfa05bf8d8af37cb4af64fa950605ea8', 'symbol': 'COW'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x067ae1e9f52ff5513d2c8b3b63f11b5755f06608,12860546,1626744817,10000
3347,"{'id': '0x383518188c0c6d7730d91b2c03a03c837814a899', 'symbol': 'OHM'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x6934290e0f75f64b83c3f473f65aefe97807103b,12860963,1626750698,10000
3348,"{'id': '0x4b34c0cbeef271f895d339c5f76322d71a60782b', 'symbol': 'YeFiM'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xae4bc5d2f4bd2f9bb5db0c211a3428f41acd9446,12862109,1626766730,10000
3349,"{'id': '0xb622894b0328090ebcc2e0adadbe16895ea0a93d', 'symbol': 'VT'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xa0c5c436e102d0b49c37354c8cea7dd472e7ff9a,12862456,1626771249,10000
3350,"{'id': '0xb622894b0328090ebcc2e0adadbe16895ea0a93d', 'symbol': 'VT'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xcab3118ff619633741937d75534716a7bb610a9a,12862542,1626772361,500
3351,"{'id': '0x056fd409e1d7a124bd7017459dfea2f387b6d5cd', 'symbol': 'GUSD'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0xdcebd5d749e1e2b476f4fcefc20fb1caba793b0c,12862582,1626772904,3000
3352,"{'id': '0x6192483a0d98e4607f5147e1d0c082d152030485', 'symbol': 'KTR'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x0262ba40d36f70172bdb1506597ea6b84489c8d4,12862612,1626773226,10000
3353,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}","{'id': '0xe4ab17630a87d7d0117aa24cf0cb48a32fc1d8ae', 'symbol': 'YEAR'}",0xc004adb4b43f08dac2512166dceb113ae57c45ec,12862777,1626775742,10000
3354,"{'id': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599', 'symbol': 'WBTC'}","{'id': '0xf77ffd549dabc9cb25387f580b894bfec80ff483', 'symbol': 'PRT'}",0xf111f3d26ea52735f2e3efc747a224cb3caadc96,12862808,1626776276,10000
3355,"{'id': '0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9', 'symbol': 'FTX Token'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x0f0ef4198c72d3dda35284192cff32f05274bb11,12863151,1626780613,10000
3356,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}","{'id': '0xf85ba4a69ae05308249f19f5a25e9be765576340', 'symbol': 'ANTd'}",0xaade01fc97afa48edf8dd16c8aad5bb1a222d3ab,12863169,1626780779,3000
3357,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xe692c8d72bd4ac7764090d54842a305546dd1de5', 'symbol': 'aBLOCK'}",0x429dcfc4d21d9d4c0a08c6f9492ab2594e5fb2d2,12863555,1626786158,3000
3358,"{'id': '0x5987368b2c1f299f6f61bffff154084a5c7aff0e', 'symbol': 'BYEBEZOS'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x366f2ec78ae93aeae5d3cf50d2187d8f8a349aa7,12863610,1626786905,3000
3359,"{'id': '0x67abd8d4087b134dc04f1781debe7eb53a4433f0', 'symbol': 'BIOX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x517feba474db020eabecf7084aed4c4a6cd2ccb9,12863748,1626788721,10000
3360,"{'id': '0x2aad9dbc82611485a52325923e1187734e951b78', 'symbol': 'WBYTZ'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x21eff446b501a25f3181d4cda14bd903b097bccb,12864122,1626793624,3000
3361,"{'id': '0x383518188c0c6d7730d91b2c03a03c837814a899', 'symbol': 'OHM'}","{'id': '0x853d955acef822db058eb8505911ed77f175b99e', 'symbol': 'FRAX'}",0x8d5b873d694586da3cdca77bc93d617996b88124,12864173,1626794216,3000
3362,"{'id': '0x6b0f7e547dde2e93db56296e39fbe240df64cd6c', 'symbol': 'PHARMA'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x34d6891adf792b8c917aa57e9ed35cb55ee69bc7,12864506,1626798524,10000
