,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1883258365.5329015,1,0.6704269145737662,968285281.2387147,450646848.58111644,517638432.6575982
1,PAX,10001587.498140104,1,6.988494163448185e-05,618703.8196840347,579441.9545019612,39261.86518207339
2,FRAX,415762215.1613046,1,0.014831684975264986,27554112.542672634,12655339.280898988,14898773.261773648
3,UST,13807634.893048497,1,0.022612049024166265,30812999.806585,14394753.543427998,16418246.263157003
4,USDT,507732522.77231455,1,0.09782594343633971,131372712.81953028,62570966.71597698,68801746.1035533
5,XSGD,2610044.741079329,1,0.00024724453506555147,385085.5627109846,144893.25172174606,240192.31098923853
6,DAI,574700940.7472467,1,0.05147417868948083,74823690.9878765,33363440.703526374,41460250.28435013
7,TUSD,10003027.681056237,1,0.0007870886390767977,725353.1892339918,501057.9520782906,224295.23715570127
8,FEI,79191196.6463033,1,0.001848568671630124,4058766.0872084214,2363502.1726840725,1695263.914524349
9,MKR,18263780.32836307,0,0.004643337869252093,5071702.58033951,2721145.373507336,2350557.2068321747
10,ENS,8443083.135718498,0,0.0010660606896567505,1151963.8415623852,624745.8606764552,527217.98088593
11,renBTC,8872120.986771436,0,3.7005637606596246e-05,677812.104327024,237018.53114683795,440793.573180186
12,LOOKS,30896085.958624057,0,0.03596462733585995,38541981.371029824,21076428.646932267,17465552.72409756
13,GNO,23301423.39466271,0,0.0006191822990579601,1011422.0593645235,362860.7471354469,648561.3122290766
14,CNV,574345.8009594027,0,0.0007074434809693747,823229.8097601687,414584.6392107887,408645.17054938
15,WBTC,610674713.1060413,0,0.06663483785333844,85163584.85457079,41156916.35267407,44006668.501896724
16,STG,4164788.317521122,0,0.009353931508472198,10877641.195873206,5717884.190078212,5159757.0057949945
17,Metis,12551657.727756714,0,0.0016964657181323117,1804922.3045497537,994183.488300205,810738.8162495488
18,FXS,9208375.267936148,0,0.002184283499520101,2497877.4677645704,1280060.4019162285,1217817.0658483417
19,UNI,32511818.69949244,0,0.0028479471803353473,3185720.729601724,1668988.6697844672,1516732.0598172569
20,APE,53745673.777134575,0,0.03419666176390754,40080167.9840327,20230644.517946903,19849523.466085795
21,SHIB,10379998.4922302,0,0.0043318402677622325,5503349.222012117,2538597.757757534,2964751.4642545828
22,NEXO,8594993.90810525,0,0.0005652971133065232,732826.6266817665,331282.2947297017,401544.3319520647
23,MATIC,30521917.51961852,0,0.0019935653620048455,2143871.85959148,1168293.437685516,975578.4219059638
24,ETH2x-FLI,31005944.74938224,0,0.004261564783215238,4018920.3942670957,2497414.062960626,1521506.3313064696
25,SHI,2047150.8661169333,0,0.008998923932940661,10597351.454672987,5273658.931610339,5323692.523062647
26,LINK,23849705.56430784,0,0.0020632083484691255,2164216.5419063075,1209106.4682576149,955110.0736486926
27,WETH,1866196219.5188687,0,0.7282731490599683,1172895409.6020055,626921458.4755532,545973951.1264523
28,HEX,51716998.29104459,0,0.00582882548306729,6907739.879124332,3600594.236824357,3307145.6422999753
29,WRLD,1648946.6065736867,0,0.0008612054948476389,1013192.7961162124,504694.12606437673,508498.6700518356
