,id,token0,token1,createdDate,feeTier,liquidity,volumeUSD,totalValueLockedToken0,totalValueLockedToken1,totalValueLockedUSD,txCount,mintsCount,burnsCount,swapsCount
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,2021-05-05 22:42:11,500,18158014274999002606,241516244089.8739667796734715459896,127320370.288552,83766.654457155961745627,241164402.3698057634823914756169066,2398444,28232.0,29806.0,2340406.0
1,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC,WETH,2021-05-05 21:23:50,500,545488394194789458,32027606234.10208121455613773176072,2282.94047222,26539.426405263213137528,83968015.17928172350424243454204728,295562,5042.0,5450.0,285070.0
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,2021-05-05 00:10:00,3000,13484077345837971024,58119978113.06538717202968288464097,176758240.78623,123041.481107228724479805,343979176.2917866401203251432306239,398061,56549.0,55740.0,285772.0
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,USDT,2021-11-13 17:45:57,100,58288732530293511,21518234196.59096823708796428515202,76905022.664832,64133130.159218,141038152.8240500000000000000000001,153532,943.0,905.0,151684.0
4,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,USDT,2021-05-05 22:46:12,500,817209725988467624,44135573511.14379031765504334899716,7808.404837430689760206,15204025.15091,25796366.78982440192268393326835068,1163224,4175.0,5038.0,1154011.0
5,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,2021-05-05 17:37:08,3000,4798526212040249477,25584799125.73655424095790713618417,51498.40335759602033334,61995701.848344,131854872.0091169972723668316332769,265746,13807.0,20946.0,230993.0
6,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,USDC,2021-11-13 02:45:03,100,3222609574225426196797845,9484859887.969725283114725313243171,272815214.618031971345082484,373348051.768688,646163266.3867199713450824839999999,82456,1183.0,768.0,80505.0
7,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,2022-03-17 11:32:15,3000,250279066300213658765892,4691513055.003167967500479877684593,1793213.79622204868632557,5411.768380559237380723,16416390.34207419352913094062923867,183697,5054.0,5302.0,173341.0
8,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,2021-05-04 21:09:34,3000,853298150978325575,15084452797.76217950042733498539723,6511.36864663,53825.378440211035435859,209295533.5999634719132560927371651,116365,13705.0,16173.0,86487.0
9,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,2021-05-05 20:13:15,3000,21365280609307,10220030139.02044970562736053985234,2013.83569204,39617905.987188,81871004.82131460004562107473834187,117539,5154.0,10386.0,101999.0
10,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,2022-01-10 20:13:27,3000,319834757292701629563662,5423071974.941416692471681281089338,6066.680041975691444503,14768283.769722412880506053,14275302.01927378156495829763905372,278384,3888.0,4202.0,270294.0
11,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,2021-05-04 21:16:08,3000,1928097508436160079024624,11002810916.03241063140264781812917,35240042.814954422519406795,15978.608855631319669331,56915517.82389633192258527259728047,138763,6265.0,6994.0,125504.0
12,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,2021-05-05 19:03:43,500,438201375542151282123351,21182539461.35019086836610513920414,7594937.94803604486146534,2939.621789119420532402,11578453.48875583277258768237434948,450406,1926.0,2264.0,446216.0
13,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,2021-05-04 21:17:58,500,11341685368908752,9300094844.375090443339656340515532,16157477.396645,9413436.503376,25570913.90002100000000000000000001,168801,4183.0,4345.0,160273.0
14,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,2021-05-06 08:52:18,500,23668170653248960896476,2549210639.206415554251595080797099,67419205.192766877024522572,58684003.040952,126070084.4983973735394777677153719,47943,1395.0,7305.0,39243.0
15,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,2021-05-07 23:57:38,500,10779309591689,886779201.5478639056905489312777278,331.99671338,6.1326395,7070356.773855406845184961601953584,9648,202.0,303.0,9143.0
16,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,2022-04-12 06:31:17,100,31656433931065424709884,698008648.360736,1700665.504226260778480863,2050611.097723,3750441.047838657801597857963049251,14076,100.0,103.0,13873.0
17,0xdf50fbde8180c8785842c8e316ebe06f542d3443,FEI,USDC,2021-12-06 20:44:11,100,3517019726759370082940,1154148952.015012560024901805515395,1444664.254178826150395558,469178.233942,1913842.488120826150395557999999999,12829,293.0,227.0,12309.0
18,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,2021-05-05 22:10:59,3000,1084637740182067,3540718660.701056076600388248524395,118704389.15284793,7655057.243964,12248949.86555246815586090641603486,179235,2470.0,3287.0,173478.0
19,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,2021-05-05 18:50:38,3000,134746465960814307873094,3604494939.735142302242026295672627,975230.080080934010492213,3102.388907471416845896,10488368.14481792805725763135330054,101402,5622.0,7359.0,88421.0
20,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,2021-05-05 20:36:24,3000,1672441584161371329,1029955755.222499417621107665158945,17588379.46138775,645.709560153092258776,1555683.644632186746884025760733514,182546,1346.0,1696.0,179504.0
