,token,total_tvl
0,{'symbol': 'WETH'},1912960513.5700362
1,{'symbol': 'USDC'},334921204.2877859
2,{'symbol': 'SHIB'},2494643.305484185
3,{'symbol': 'DAI'},111014321.32231735
4,{'symbol': 'WBTC'},326981622.4283502
5,{'symbol': 'UNI'},189889369.7883918
6,{'symbol': 'TEND'},28544.638092517907
7,{'symbol': 'AKITA'},165327.69053728724
8,{'symbol': 'LINK'},85809599.3870894
9,{'symbol': 'AIOZ'},0.0
10,{'symbol': 'MKR'},35030220.94985468
11,{'symbol': 'CARDS'},2602337.892156499
12,{'symbol': 'ERN'},21043005.126492556
13,{'symbol': 'PAID'},5614692.684559229
14,{'symbol': 'UDT'},1025875.080714875
15,{'symbol': 'MATIC'},6546555.960213694
16,{'symbol': 'PMON'},3868982.089317136
17,{'symbol': 'DPI'},68530749.23968604
18,{'symbol': '⚗️'},11173290.815811975
19,{'symbol': 'WOO'},2219093.2916420954
20,{'symbol': 'BLANK'},3551845.0032020304
21,{'symbol': 'XOR'},20751976.45942675
22,{'symbol': 'SHOPX'},3094096.681522085
23,{'symbol': 'AAVE'},34270521.377735466
24,{'symbol': '10SET'},4485560.482451864
25,{'symbol': 'LEASH'},38750.77511730853
26,{'symbol': 'RAI'},192774432.10759407
27,{'symbol': 'VSP'},12784774.966284432
28,{'symbol': 'eRSDL'},24386229.053245008
29,{'symbol': 'ETH2x-FLI'},6372160.160813654
30,{'symbol': 'CEL'},16171337.624371499
31,{'symbol': 'POLS'},26560245.63845594
32,{'symbol': 'LABS'},3848189.45078618
33,{'symbol': 'RSR'},8373916.232176056
34,{'symbol': 'KYL'},7760746.824469618
35,{'symbol': 'SPI'},10506153.753930371
36,{'symbol': 'HOT'},4699229.293930269
37,{'symbol': 'LPOOL'},22963580.41007885
38,{'symbol': 'STAKE'},9732248.91780533
39,{'symbol': 'XTK'},6366671.644214218
40,{'symbol': 'USDT'},317535761.9332613
41,{'symbol': 'SUPER'},9739203.015441624
42,{'symbol': 'VISR'},4716229.29924434
43,{'symbol': 'VRA'},6823966.93573272
44,{'symbol': 'AMPL'},18385454.597972583
45,{'symbol': 'ID'},2533184.386084562
46,{'symbol': 'CRV'},9952472.807101648
47,{'symbol': 'ROOK'},11209859.705519322
48,{'symbol': 'BONDLY'},4603684.62713764
49,{'symbol': 'RARI'},4728575.265234031
