,token,total_tvl
0,{'symbol': 'WETH'},1095002787.0715697
1,{'symbol': 'USDC'},143016323.99345204
2,{'symbol': 'YFI'},80819762.35606787
3,{'symbol': 'DAI'},128060816.97551847
4,{'symbol': 'LINK'},83775834.38785106
5,{'symbol': 'DIA'},1296324.7101950094
6,{'symbol': 'SNX'},75235400.32575928
7,{'symbol': 'BZRX'},3261423.16305258
8,{'symbol': 'LEND'},61554871.55909204
9,{'symbol': 'COMP'},49983983.52035304
10,{'symbol': 'TRADE'},1998510.3940788591
11,{'symbol': 'MTA'},8097629.929769922
12,{'symbol': 'wNXM'},2266547.0992821488
13,{'symbol': 'UMA'},44569881.081445895
14,{'symbol': 'REN'},2269558.714675504
15,{'symbol': 'ANT'},4528055.077069109
16,{'symbol': 'YFII'},927723.373457463
17,{'symbol': 'STAKE'},2301711.8917741976
18,{'symbol': 'XRT'},895369.3040940813
19,{'symbol': 'BAND'},46397505.47971096
20,{'symbol': 'sUSD'},82113602.04477552
21,{'symbol': 'RSR'},1649726.9093698699
22,{'symbol': 'WBTC'},3594892.652270695
23,{'symbol': 'XOR'},1961530.5024579847
24,{'symbol': 'TRB'},620369.9893202187
25,{'symbol': 'LID'},2152552.4982561413
26,{'symbol': 'AKRO'},748303.4468056166
27,{'symbol': 'TEND'},605068.2796106525
28,{'symbol': 'STA'},746367.7173226136
29,{'symbol': 'RING'},1272639.1110925763
30,{'symbol': 'DEXT'},593321.6417479074
31,{'symbol': 'DEC'},1041745.2565312032
32,{'symbol': 'MKR'},1405347.9625291273
33,{'symbol': 'DOS'},537357.9379887437
34,{'symbol': 'LRC'},6196357.342591554
35,{'symbol': 'ALEPH'},2163312.2927949643
36,{'symbol': 'UBT'},1037082.2034618796
37,{'symbol': 'MINI'},1620497.9142035912
38,{'symbol': 'DF'},2320191.894627387
39,{'symbol': 'KTON'},749981.666041253
40,{'symbol': 'HEX'},4065026.903978968
41,{'symbol': 'BAT'},1575841.8480145163
42,{'symbol': 'USDT'},165945455.09250563
43,{'symbol': 'AMPL'},70447688.93922853
44,{'symbol': 'SWAP'},3294685.5673135375
45,{'symbol': 'RMPL'},2982551.0521026547
46,{'symbol': 'XAMP'},952018.2528821075
47,{'symbol': 'DMG'},2429791.409186069
48,{'symbol': 'HEX2T'},895980.0685608241
49,{'symbol': 'KNC'},1091475.504850624
