,token,total_tvl
0,{'symbol': 'WETH'},1925644907.8345222
1,{'symbol': 'USDC'},330473609.69218653
2,{'symbol': 'DAI'},152262139.50926843
3,{'symbol': 'UNI'},166355708.14781865
4,{'symbol': 'TEND'},38039.27029324028
5,{'symbol': 'WBTC'},329423540.96997356
6,{'symbol': 'LINK'},90960445.23744787
7,{'symbol': 'RAI'},262576564.119419
8,{'symbol': 'KYL'},6950897.979305441
9,{'symbol': 'VSP'},7642923.019375274
10,{'symbol': 'RAMP'},12730766.143015316
11,{'symbol': '⚗️'},7419622.279163643
12,{'symbol': 'POLS'},26173983.804296896
13,{'symbol': 'SPI'},5515412.72614844
14,{'symbol': 'MATIC'},7200451.724394433
15,{'symbol': 'OVR'},855675.9565136576
16,{'symbol': 'NFY'},3949120.171728508
17,{'symbol': 'DOWS'},1897437.2831614984
18,{'symbol': 'eRSDL'},18386820.252686433
19,{'symbol': 'AUDIO'},7946110.191182509
20,{'symbol': 'SAND'},14529982.578364149
21,{'symbol': 'LYXe'},3965600.055524294
22,{'symbol': 'PERP'},14313832.494896159
23,{'symbol': 'DEGO'},12799622.538418496
24,{'symbol': 'UST'},24000490.14695462
25,{'symbol': 'ORN'},23417526.11437913
26,{'symbol': 'MUSE'},6408582.672406053
27,{'symbol': 'DPI'},58529617.08117514
28,{'symbol': 'FARM'},10121699.053426623
29,{'symbol': 'SFI'},6840205.214481404
30,{'symbol': 'PAINT'},1421288.1013339579
31,{'symbol': 'erowan'},1701359.563533546
32,{'symbol': 'AAVE'},31281799.841013785
33,{'symbol': 'OCEAN'},5341815.892468029
34,{'symbol': 'REVV'},3024670.670705988
35,{'symbol': 'RSR'},7966817.337567055
36,{'symbol': 'JUP'},2366385.689864532
37,{'symbol': 'MATTER'},2962518.439631031
38,{'symbol': 'MANA'},6364982.194711313
39,{'symbol': 'USDT'},375609691.65483654
40,{'symbol': 'SUPER'},8389597.130453745
41,{'symbol': 'HOGE'},2786016.9156462806
42,{'symbol': 'B20'},5795253.535666324
43,{'symbol': 'CHAIN'},8954183.031647617
44,{'symbol': 'RLY'},19302074.277214333
45,{'symbol': 'RARI'},4398435.465566472
46,{'symbol': 'BONDLY'},6301937.330455144
47,{'symbol': 'SWAP'},9929658.910109548
48,{'symbol': 'ZERO'},1515856.292565794
49,{'symbol': 'ENJ'},4995613.666868497
