,token,total_tvl
0,{'symbol': 'USDC'},308100083.79932654
1,{'symbol': 'BOND'},5613659.850056653
2,{'symbol': 'WETH'},282915660.2888221
3,{'symbol': 'XMON'},1828568.5817734213
4,{'symbol': 'UNI'},16112585.522209575
5,{'symbol': 'DAI'},182191684.3450621
6,{'symbol': 'RAD'},3620743.9622630966
7,{'symbol': 'PAXG'},16760424.438332548
8,{'symbol': 'X2Y2'},4084398.8696739846
9,{'symbol': 'MC'},18917617.420552146
10,{'symbol': 'ELON'},9585924.404740268
11,{'symbol': 'SNX'},1219165.4776482407
12,{'symbol': 'WOO'},2846445.1679373267
13,{'symbol': 'WBTC'},12217662.733642207
14,{'symbol': 'SHIB'},1270115.8036642023
15,{'symbol': 'ERN'},2260863.229390041
16,{'symbol': 'HIGH'},3366235.1282013445
17,{'symbol': 'MPL'},1319354.654571485
18,{'symbol': 'UFO'},2984338.5996232694
19,{'symbol': 'HEX'},1314483.9280909337
20,{'symbol': 'MUSE'},941445.2917182021
21,{'symbol': 'SAND'},2462305.975367045
22,{'symbol': 'stETH'},4996827.692321384
23,{'symbol': 'REQ'},1080544.873659143
24,{'symbol': 'PERP'},1446473.4325051645
25,{'symbol': 'VOW'},470568.27704174054
26,{'symbol': 'Metis'},493588.13408540987
27,{'symbol': 'WILD'},1919056.1819507608
28,{'symbol': 'ALPHA'},1273017.191032437
29,{'symbol': 'AUDIO'},2039022.2268878904
30,{'symbol': 'DAO'},1526169.9326015457
31,{'symbol': 'PNT'},524024.54314279224
32,{'symbol': 'QOM'},2198843.6836058497
33,{'symbol': 'STARL'},3296526.4160646433
34,{'symbol': 'CVP'},894866.6435057033
35,{'symbol': 'USDI'},3957253.638434424
36,{'symbol': 'USDT'},40981974.031642206
37,{'symbol': 'TSUKA'},500818.6411751408
38,{'symbol': 'CULT'},3971659.7673124378
39,{'symbol': '$JOY'},785547.4410955671
40,{'symbol': 'CAW'},10769266.004318304
41,{'symbol': 'SUPER'},4798422.739247157
42,{'symbol': 'SAITAMA'},4649743.30344159
43,{'symbol': 'AMPL'},2479138.3661199026
44,{'symbol': 'CRV'},497134.00148753566
45,{'symbol': 'RLY'},3494717.0824347776
46,{'symbol': 'MSI'},231313.14736867827
47,{'symbol': 'DEXT'},1606186.8352467893
