,token,total_tvl
0,{'symbol': 'USDC'},286482273.97652924
1,{'symbol': 'WETH'},991695663.3612373
2,{'symbol': 'FEI'},40492022.33947008
3,{'symbol': 'SAITAMA'},18096824.29070916
4,{'symbol': 'VADER'},10654537.761157796
5,{'symbol': 'DAI'},28593704.20146908
6,{'symbol': 'STRONG'},9232916.004799336
7,{'symbol': 'SAND'},42234767.511435986
8,{'symbol': 'TOKE'},102951203.60477248
9,{'symbol': 'HEX'},23329263.740201507
10,{'symbol': 'ELON'},24368653.749925137
11,{'symbol': 'FUSE'},3079437.591227104
12,{'symbol': 'LINK'},14009921.573711151
13,{'symbol': 'RBN'},4185389.035685906
14,{'symbol': 'SHINJA'},38206213.38525105
15,{'symbol': 'UFO'},12632200.094227856
16,{'symbol': 'AVG'},2590427.9027468474
17,{'symbol': 'XMON'},9127949.98906336
18,{'symbol': 'Metis'},1696374.1190415407
19,{'symbol': 'MC'},51509681.57555652
20,{'symbol': 'DEPO'},2841832.2559465175
21,{'symbol': 'UNI'},36415803.49196209
22,{'symbol': 'STARL'},11910238.051794928
23,{'symbol': 'WBTC'},47611652.3147118
24,{'symbol': 'WOO'},9183766.356352404
25,{'symbol': 'REFI'},3898254.1973866248
26,{'symbol': 'SHIB'},3015898.51687658
27,{'symbol': 'FLX'},22402840.67185336
28,{'symbol': 'FTM'},1320878.6286788771
29,{'symbol': 'DG'},4335675.636627295
30,{'symbol': 'SIDUS'},661071.4592785202
31,{'symbol': 'WILD'},7810037.523840038
32,{'symbol': 'BOND'},16320013.624759644
33,{'symbol': 'IMPACTXP'},927383.076588078
34,{'symbol': 'MUTE'},1750460.133070702
35,{'symbol': 'KEEP'},8288091.435318193
36,{'symbol': 'ShibDoge'},5703575.619139714
37,{'symbol': 'VPAD'},3535982.907060531
38,{'symbol': 'PAXG'},23394340.245098162
39,{'symbol': 'USDT'},204896862.08447018
40,{'symbol': 'OCT'},1655922.2108673337
41,{'symbol': 'SUPER'},19864567.787299316
42,{'symbol': 'MCC'},5677061.988367443
43,{'symbol': 'LUNA'},6709573.051375922
44,{'symbol': 'DPX'},1816465.951009824
45,{'symbol': 'CRV'},2161684.960068583
46,{'symbol': 'AMPL'},7146341.313476288
47,{'symbol': 'SAITO'},1737918.7542289074
48,{'symbol': 'REEF'},1063144.2918577031
