,token,total_tvl
0,{'symbol': 'USDC'},259022309.8532862
1,{'symbol': 'WETH'},963170750.5036356
2,{'symbol': 'SAITAMA'},12647187.170684746
3,{'symbol': 'STRONG'},5871990.299820134
4,{'symbol': 'X2Y2'},7147936.756200949
5,{'symbol': 'TERA'},20729657.192484237
6,{'symbol': 'MRI'},3593971.7209943747
7,{'symbol': 'PAXG'},28673233.692269407
8,{'symbol': 'DAI'},25957974.742899075
9,{'symbol': 'ELON'},23874983.851031743
10,{'symbol': 'HEX'},2334245.5995775145
11,{'symbol': 'SAND'},12353809.636034813
12,{'symbol': 'BOND'},11557480.736008946
13,{'symbol': 'HIGH'},8342914.333979667
14,{'symbol': 'TOKE'},121918161.50802124
15,{'symbol': 'XMON'},12211919.577725476
16,{'symbol': 'UNI'},39627948.66019992
17,{'symbol': 'MC'},56594114.34168029
18,{'symbol': 'VADER'},6184133.336822296
19,{'symbol': 'STARL'},10587382.062229894
20,{'symbol': 'RBN'},3105944.799557816
21,{'symbol': 'SHINJA'},25291410.222145647
22,{'symbol': 'SHIB'},4786592.279363641
23,{'symbol': 'ALI'},2433970.0018760194
24,{'symbol': 'Metis'},2027263.6239773943
25,{'symbol': 'ERN'},7427346.719728647
26,{'symbol': 'UFO'},12380102.385999523
27,{'symbol': 'LDO'},145015.3455878003
28,{'symbol': 'WOO'},8644008.399651239
29,{'symbol': 'KUMA'},5735063.843684336
30,{'symbol': 'POLS'},5715207.805503173
31,{'symbol': 'WILD'},9334961.535899254
32,{'symbol': 'BOBA'},2167737.4058550815
33,{'symbol': 'WBTC'},31297706.46405728
34,{'symbol': 'DOP'},1164007.839397024
35,{'symbol': 'AUDIO'},6127737.981885059
36,{'symbol': 'MPL'},2615203.1195545513
37,{'symbol': 'DG'},4883330.122890915
38,{'symbol': 'ShibDoge'},8442237.51613095
39,{'symbol': 'USDT'},209629845.64068282
40,{'symbol': 'CULT'},545578.6761288006
41,{'symbol': 'LOOKS'},719297.6277463905
42,{'symbol': 'WRLD'},68551.38830576834
43,{'symbol': 'SUPER'},20393374.52782321
44,{'symbol': 'BEAN'},9650397.997685537
45,{'symbol': 'FOX'},24226988.99454451
46,{'symbol': 'FLOKI'},5617524.018788048
47,{'symbol': 'AMPL'},6542369.840131569
48,{'symbol': 'CRV'},2024976.7016192288
