,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,442121145.98975086,1,0.43520905089555,35054421.958528236,17085348.27864277,17969073.679885462
1,FEI,377478071.2600227,1,0.18146780139918506,13498389.343334692,6162930.963694398,7335458.379640293
2,FRAX,33531915.920272782,1,0.01890276651287081,1400138.6162880124,641967.5785093876,758171.0377786249
3,USDT,344825369.64904016,1,0.450162635551794,31946091.74604521,15515525.335999396,16430566.410045814
4,DAI,89882733.84517273,1,0.11095000412043862,7436046.594499876,3768036.040243465,3668010.554256411
5,POLS,13771556.768664984,0,0.005200304071465096,361787.16659627797,176610.4770959251,185176.6895003529
6,FARM,2056057.5087187693,0,0.02728566392064378,1856468.2648717822,926663.9136250064,929804.3512467756
7,RAI,54823085.04998919,0,0.01895724138134698,1469685.661888183,643817.6304254114,825868.0314627716
8,RAD,7048693.66079571,0,0.0022412416631224885,338870.4997693346,124268.75472874832,214601.7450405863
9,WOO,11093688.975699876,0,0.01764951722989147,1243558.5978227458,599405.26854724,644153.3292755059
10,DPI,49810739.84071624,0,0.02715911446988973,1909321.644445768,922366.0959268986,986955.5485188696
11,ETH2x-FLI,11498569.999348553,0,0.039166728843576935,2642696.28083013,1330163.5004973789,1312532.7803327509
12,eRSDL,4864916.752631453,0,0.019760025680600837,1350784.784288216,671081.4434924758,679703.34079574
13,PERP,9903156.948091354,0,0.008494086596653915,642860.1407936381,288472.4942452284,354387.64654840966
14,SUPER,22927860.22380193,0,0.03011576625432637,2039614.0743172918,1022778.6247098095,1016835.4496074824
15,CGG,1592073.4558850927,0,0.003317757323636652,232576.42711026815,112676.23888210216,119900.188228166
16,AMP,6413552.111789782,0,0.004666605638644269,341291.9643309703,158485.2418115005,182806.72251946983
17,WBTC,152782719.6710594,0,0.02276219164343713,2089247.2268771138,773039.7051116428,1316207.521765471
18,LUNA,4356537.58978218,0,0.017170155397087824,1047726.4240137992,583125.3893652553,464601.0346485439
19,DEXT,4609921.971857973,0,0.005426285160770682,409025.9110503199,184285.14908594976,224740.76196437012
20,PUSH,4167567.295607873,0,0.00016730597059416165,17306.12808869576,5681.972992654156,11624.155096041606
21,AMPL,10240724.45805764,0,0.019711543818835317,1304773.8725377633,669434.923477641,635338.9490601224
22,RLY,24209960.736558445,0,0.023179759255494963,1459327.124956482,787220.9557023568,672106.1692541253
23,DPX,6891201.494644036,0,0.03470548736555183,2039357.915258272,1178652.747463249,860705.1677950233
24,NTVRK,1002281.6962362616,0,0.008243431049951079,604261.3232764462,279959.8390078411,324301.4842686051
25,GERO,4880017.935751569,0,0.02751026574712496,1946143.6377787422,934291.7436877012,1011851.8940910412
26,SAITAMA,2036746.6103995943,0,0.04116299844567121,2859520.1438507633,1397959.9450884752,1461560.198762288
27,PAID,1446457.8310325844,0,0.010309647337786642,694332.0612381798,350131.78267943766,344200.27855874214
28,BFC,9398102.4904162,0,0.04808472932330567,3141325.7958664317,1633032.7746440417,1508293.0212223902
29,STARL,7724873.314115582,0,0.13817209875939557,8499732.197117552,4692541.041425449,3807191.155692104
30,WISE,323163412.52505976,0,0.00229622923307489,251432.2364843433,77983.54380856905,173448.69267577425
31,KOKO,8429597.404553398,0,0.019733501699834427,1354734.5461984565,670180.647532615,684553.8986658414
32,SAND,29620007.45246396,0,0.033349171234366294,2277871.7144531906,1132590.1257915655,1145281.588661625
33,UFO,6265300.872963727,0,0.07345507838152349,4580561.264067652,2494649.5935235554,2085911.6705440967
34,HEX,19326746.13678184,0,0.0671773834567244,5912339.495654254,3029414.3949303627,2882925.1007238915
35,UNI,123312458.30669264,0,0.02655352127416036,2171372.9292616816,901799.201808012,1269573.7274536698
36,AUDIO,7074925.513619143,0,0.008555176246592073,593895.058018897,290547.1945075373,303347.86351135967
37,STRONG,5492139.700059758,0,0.057180159415622475,3899287.7623559935,1941927.8365330112,1957359.925822982
38,WETH,2147749809.8099427,0,0.7105316902994279,157288823.32677007,79765753.1483176,77523070.17845245
39,SHIB,5360569.946335844,0,0.03524889844707165,2325699.181190891,1197107.8395208537,1128591.3416700377
40,LINK,65083204.39692265,0,0.031223874392036315,1988406.6619416461,1060411.713887937,927994.9480537092
41,BOND,27410395.195927218,0,0.005393869890876958,558306.1728514486,299070.60248662136,259235.57036482732
42,TORN,14594374.86370148,0,0.007965938055828374,593137.6661107992,270535.7419917251,322601.924119074
43,ERN,10131605.101465436,0,0.016370727295283525,1038526.369863228,555975.5580239993,482550.8118392287
44,CARDS,27667602.76767588,0,0.045221132948889076,2972884.179073983,1535780.5534381794,1437103.6256358032
45,ALBT,4748798.042899285,0,0.014525946201632663,998207.5181729408,493323.900619006,504883.6175539348
46,REQ,4453816.882164752,0,0.010218796936258033,837422.2364611553,347046.36064683733,490375.875814318
47,WILD,2097734.818692467,0,0.04986017444477439,3313075.9306780924,1693329.673758227,1619746.2569198655
48,C3,8645438.313326703,0,0.04982757733436846,3306544.4361841073,1692222.624796928,1614321.8113871794
