,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,326381594.56298643,1.0,0.5415279626459306,59760829.069456786,30107207.863423668,29653621.206033118
1,FEI,244709905.68946692,1.0,0.1710338443248184,11336223.767420352,6652281.299195048,4683942.468225302
2,USDT,213036341.1475759,1.0,0.3424524838984159,26390461.34965629,13485879.543011827,12904581.806644466
3,DAI,73294924.21411712,1.0,0.07907531547390587,5890806.881957542,3075597.3733245586,2815209.508632983
4,VEMP,4176020.1577575416,0.0,0.008734843263657789,764737.5227224657,339737.63920009497,424999.8835223707
5,RAI,29058024.42375348,0.0,0.010994943203237318,792290.5234445564,427643.16820068046,364647.355243876
6,DXO,774935.1270587248,0.0,0.01314325763456893,997797.9518236913,511200.85219448095,486597.0996292103
7,TORN,13830760.811648192,0.0,0.018803906480996994,1489802.144511273,731369.1388342226,758433.0056770503
8,STAK,2223324.431506194,0.0,0.006626402135689387,480050.49429591955,257730.80867244583,222319.6856234737
9,eXRD,13235392.299632944,0.0,0.007019147244372962,660932.4452673846,326439.1701989546,334493.27506843006
10,LGCY,3489415.2511070683,0.0,0.013320588829461882,952612.2946829775,518098.0659956883,434514.2286872892
11,PERP,9503270.244305314,0.0,0.0454454668462821,3755884.5907147727,1767580.1560103423,1988304.4347044304
12,STAKE,5002915.443162693,0.0,0.020368089078189433,1647938.4766692738,792207.2886220989,855731.1880471748
13,DPX,17666301.208505817,0.0,0.10903234580410659,9346321.31978926,4240762.042526208,5105559.277263054
14,SUPER,15368915.34382103,0.0,0.012891892275753294,977389.5307423203,501424.11424933735,475965.416492983
15,AUDIO,7550792.202184626,0.0,0.00447344962874429,346967.200716208,173992.7288991458,172974.47181706224
16,WBTC,132638191.3023466,0.0,0.022970555682665112,1843908.3605193528,893429.0087622044,950479.3517571484
17,RLY,26639430.143408608,0.0,0.006141630944203917,378783.478307117,238875.86014317727,139907.61816393974
18,COTI,4651003.316366958,0.0,0.04805494480604377,3881299.5507264575,1869074.579531672,2012224.9711947856
19,LUNA,5604457.353594614,0.0,0.012238623084547212,977241.5023646962,476015.5149095024,501225.98745519377
20,BEAN,2397371.071527136,0.0,0.006377832252965385,651029.7813797852,248062.79946107848,402966.9819187067
21,ZCX,3820250.2376198126,0.0,0.008581856288663764,625154.7374290839,333787.28243421414,291367.45499486977
22,CRV,4670832.424798621,0.0,0.003957251127879841,298139.85828386294,153915.4298854384,144224.4283984245
23,NTVRK,1321650.8741562024,0.0,0.008447319380625573,627035.9468589465,328554.5323844965,298481.41447445005
24,REEF,1401712.366296709,0.0,0.0020314812696803765,163362.38372250105,79013.51287114197,84348.87085135908
25,DBUY,3116923.129824032,0.0,0.013354757458623667,984909.3992996386,519427.0388296273,465482.3604700113
26,ALBT,5321628.779632741,0.0,0.009436097916924619,700221.6710881364,367012.61062061175,333209.0604675246
27,CELL,3080679.5035054544,0.0,0.024481599306381264,1805545.3147288307,952200.3430556946,853344.9716731361
28,HEX,33132844.629365403,0.0,0.2823951429384441,25338891.113318343,12513767.862939063,12825123.25037928
29,KOKO,4544608.587101771,0.0,0.03744280289301646,2876370.186278275,1456320.2882911286,1420049.8979871469
30,STRONG,9036741.18846592,0.0,0.10000214936743106,7869369.09360867,3889536.7799420953,3979832.313666575
31,UNI,89284743.471631,0.0,0.054172133714489784,3824643.521225363,2106999.778137488,1717643.743087875
32,SAITAMA,8914007.648873663,0.0,0.08056564117631279,6289828.880886737,3133562.893768589,3156265.987118148
33,LINK,53546583.218903065,0.0,0.013482318019915177,1225361.3598897988,524388.4471388669,700972.912750932
34,DERC,6535081.659073097,0.0,0.011490698913616402,1011379.5747150044,534397.4257519759,476982.14896302857
35,STARL,6817145.679906035,0.0,0.04569509300352545,3404393.293433983,1777289.2485246072,1627104.044909376
36,SHIB,4135077.990356981,0.0,0.012490141642971382,955485.3395471477,485798.21148169617,469687.1280654515
37,WETH,1338676969.5822835,0.0,0.6475156227534897,157174130.2293379,77069570.04087189,80104560.18846601
38,BOND,25756353.295692272,0.0,0.06817321469523524,5787403.821337953,3170528.678216367,2616875.1431215857
39,SAND,22558508.14990988,0.0,0.015086302704636949,1146056.2349777413,586774.6804863776,559281.5544913638
40,FLOKI,6905968.925775877,0.0,0.019645582310560294,1347212.554338891,764105.7261634229,583106.8281754681
41,CVP,5167649.392904437,0.0,0.011881845738462129,786278.442351299,462138.8270720328,324139.6152792662
42,CARDS,14650380.073675552,0.0,0.01733168634715164,1419063.1299856813,674107.8260026057,744955.3039830754
43,UFO,6636104.376787874,0.0,0.03107977588426579,2475090.524709998,1208833.3318721608,1266257.1928378374
44,WOO,10477287.346443532,0.0,0.059364133309560974,4601309.927938808,2308940.1715611783,2292369.756377629
45,TOKE,65409904.52501265,0.0,0.03100101216935885,3338546.0171100907,1205769.8540570005,2132776.16305309
46,MKR,26591879.15065492,0.0,0.007430600379523396,442350.0077261566,289009.7228512248,153340.2848749318
47,RGT,3170282.382681195,0.0,0.001958027512526585,139083.80964216933,76156.56337673985,62927.24626542948
48,⚗️,26517488.32779947,,0.02647728951249744,1292751.1955017254,1029821.7792664196,262929.4162353059
