,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,444695510.66339535,1,0.5747846056857215,23981952.471058503,13415383.014932856,10566569.456125647
1,USDT,173331567.19310275,1,0.43920398189205573,15124593.49573019,8185449.560171285,6939143.935558905
2,FEI,2437063.978351964,1,0.0025702782437224255,76452.74454191315,46262.0918637042,30190.652678208964
3,DAI,108817305.2047268,1,0.0776955151748477,2638427.4983385075,1408312.7760108141,1230114.7223276931
4,SUPER,14878847.66331023,0,0.0246583276733722,863084.512180794,443821.9180421413,419262.5941386527
5,WILD,6519762.745065685,0,0.027840259708432836,853370.2454648679,501093.0840995775,352277.16136529035
6,YFI,1157025.2287341212,0,0.0013243914410169997,46604.79871496137,23837.54313661321,22767.25557834816
7,AUDIO,5361178.61842707,0,0.014001500070939008,526171.8430395874,252011.11361910487,274160.7294204825
8,FLX,11699653.726366686,0,0.00022310951621158577,4015.718126959765,4015.718126959765,0.0
9,UFO,9777663.192559538,0,0.01360384347230043,454675.8526302364,244853.74606897583,209822.10656126056
10,VADER,4281408.117208672,0,0.003333291870619097,174793.64193638938,59995.47134779959,114798.1705885898
11,HIGH,8368636.446674665,0,0.009590050586295227,402874.9293654572,172610.02861629322,230264.900749164
12,DAO,2926203.7517931666,0,0.004815162758671489,186521.59461631358,97694.42068002648,88827.17393628709
13,BEND,1342290.4897871502,0,0.00804132466955631,304877.07023823436,144734.71947150838,160142.35076672595
14,WOOL,8197.072550086108,0,3.342043768271875e-05,1688.043760959632,601.529955747013,1086.513805212619
15,STRNGR,2418825.8004406714,0,0.030168264052660473,1017552.3037214673,542994.5206832628,474557.7830382045
16,WBTC,29132098.39420088,0,0.010725522847557989,294316.822821775,193047.24088602493,101269.58193575004
17,TOKE,30069079.019537024,0,0.006831385944105398,324488.2937726547,122957.19534431702,201531.0984283377
18,XCAD,3802825.4131867513,0,0.010292106167344646,510592.1368267277,273276.2611089564,237315.8757177713
19,MPL,2838990.72916151,0,0.005596045068130494,196666.03958277384,113537.67430722696,83128.36527554688
20,ERN,6373022.315700666,0,0.00983930613344213,279758.4283067397,177096.34563189602,102662.08267484368
21,CAW,12193171.425563024,0,0.12163999882239777,5415511.361736753,2467943.413765704,2947567.947971049
22,CULT,7019140.017291916,0,0.03614703111280373,1486898.4220906883,650605.5435923873,836292.8784983008
23,LOOKS,789646.6266584108,0,0.022188389257407896,839047.4421875259,399365.8292213659,439681.61296616
24,LINK,5102260.118383586,0,0.012679026633877087,445728.9503912027,228208.09237730168,217520.858013901
25,UFT,1253117.3948377415,0,0.004107625877607306,147310.88694580697,73932.60482818025,73378.28211762672
26,MKR,6145626.251430964,0,0.01354729331555748,426607.13205292047,243835.9074156932,182771.22463722728
27,UNI,29849206.65031895,0,0.11108769776453323,4125362.7470063306,1999452.507315894,2125910.2396904365
28,SAITAMA,10131676.042210488,0,0.022559566246503703,829539.5196851678,406046.593846435,423492.9258387328
29,X2Y2,6497275.5419273535,0,0.03211914111815522,1446799.3058740809,578108.0941802723,868691.2116938086
30,ELON,26254255.89278162,0,0.055681184860338774,1837083.7254812196,1002198.1454265844,834885.5800546352
31,HEX,2648776.941786542,0,0.047107890242671174,1643375.7276007342,850750.1833625728,792625.5442381615
32,PAXG,27824463.99670147,0,0.04880722896492516,1534478.3317262,878474.739263316,656003.5924628838
33,QOM,6604255.26516844,0,0.03328483985214952,1189414.5814177922,599089.3486608557,590325.2327569366
34,STARL,7361864.691794033,0,0.05625307104144542,2312116.139487419,1012491.4477608968,1299624.691726522
35,SHIB,6383245.500851725,0,0.01299826747089241,523971.0720403644,233954.06519745247,290017.00684291194
36,XMON,11289394.277383704,0,0.02262626992236834,812463.9872328308,407247.1843225951,405216.8029102358
37,REQ,2080471.0235131453,0,0.007506457148095565,260920.31720781568,135107.71100533963,125812.60620247605
38,WETH,788371237.667713,0,0.6479161300693153,62960977.22419575,29567869.83471935,33393107.389476404
39,stETH,2651001.061035978,0,0.00802395997063007,292307.4793052692,144422.1745947544,147885.3047105148
40,SAND,6495000.944746846,0,0.039725790318594655,1530314.4706787847,715019.1484387644,815295.3222400203
41,ASTO,16591417.252597667,0,0.006189946818745516,187595.83261351974,125587.2955505981,62008.53706292166
42,BOND,10948432.52629003,0,0.0030262920067884677,210846.0985893209,61400.17673947963,149445.92184984128
43,RBN,2591575.385433669,0,0.01818895326259766,677782.3307639188,327380.51951927005,350401.8112446488
44,RAD,5398450.000182431,0,0.00517272429876268,195357.1706942544,104948.95583644597,90408.21485780845
45,WOO,6658069.518846352,0,0.006287186622394072,234388.79799118807,113162.2250625336,121226.57292865448
46,MC,45800363.23756443,0,0.031370349859114556,793550.7097531946,564630.7011793073,228920.0085738873
47,CRV,1777807.3503848466,0,0.03164315665581007,1145490.4129766508,569540.9139629211,575949.4990137296
