,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,617820651.1412277,1.0,0.480631034216624,45065225.96028365,22417070.43225399,22648155.52802966
1,USDT,533056598.776002,1.0,0.4085053906776797,35314626.5843856,17274760.256574,18039866.327811606
2,DAI,372217766.65796334,1.0,0.17392540129205838,15043484.40971839,7277150.646800932,7766333.76291746
3,STAKE,2142025.431031989,0.0,0.015294018078215994,1261139.5532799773,639911.5524430098,621228.0008369675
4,AMPL,13702479.391717676,0.0,0.01754651418879718,1311529.345074002,734157.4383588163,577371.9067151856
5,COMP,1636046.45008877,0.0,0.0064725448025522245,496623.8151267965,270815.43723016634,225808.37789663012
6,MKR,6024973.381393748,0.0,0.007190126426817986,573448.8106624475,300839.51388811925,272609.2967743283
7,AAVE,6001712.390972233,0.0,0.022050457773820437,1678878.3930066535,922605.3345799632,756273.0584266904
8,WBTC,762498585.5044285,0.0,0.16807110857964191,17604362.126846682,7032203.2746388605,10572158.85220782
9,POLS,1196824.2929587683,0.0,0.021446782990449494,1681001.974365341,897347.1934020206,783654.7809633205
10,HEX,7738085.269450859,0.0,0.035973980721258264,3007937.732829228,1505174.489343913,1502763.2434853152
11,DPI,23228503.566764425,0.0,0.02220873445756208,1351494.6451712972,929227.732820286,422266.9123510112
12,LINK,16999999.538363352,0.0,0.04500925664391866,3697085.3810644913,1883216.24481011,1813869.1362543816
13,FARM,10639679.513547825,0.0,0.011888458895118805,1886911.1297856015,739870.7581418728,1147040.3716437288
14,YFI,9154113.263359336,0.0,0.09634643928236172,7758597.149720177,4031196.982913731,3727400.1668064455
15,WETH,2468547638.0278955,0.0,0.7148974710681875,163656616.17091334,83616591.08729509,80040025.08361827
16,UNI,41422293.489763,0.0,0.06380168476493137,4870879.739346631,2669503.5233781543,2201376.215968477
17,CRV,855222.9602824103,0.0,0.009736589131142734,794725.435693869,407385.1511450583,387340.28454881074
18,CORE,25506166.83444217,,0.0901093540183131,7381381.770919101,3770233.324205777,3611148.4467133246
19,XFI,961293.290679004,,0.0016907894371837235,118581.75524760164,70743.71745012914,47838.0377974725
20,PICKLE,14319096.057740496,,0.017832991753825633,1914279.9780152426,746143.8439220862,1168136.1340931566
21,wANATHA,12092260.87403404,,0.00028186670050761077,23219.203725310974,11793.484026329648,11425.719698981326
22,BID,1035388.1180996654,,0.007676122030630069,644517.1450450043,321173.88251024374,323343.2625347606
23,ESD,1095674.6595107685,,0.0130195703630437,1740968.7502741003,810264.768559842,930703.9817142582
24,CEL,4673840.4851175705,,0.005938464588500049,544919.3208001145,248469.17759091468,296450.1432091998
25,REN,3087632.100464316,,0.008951049837368325,693422.7175114518,374517.68188921,318905.03562224185
26,YELD,465507.1012536954,,0.05527511136228429,4619027.845336959,2312746.2085114494,2306281.636825509
27,TRADE,1310887.175818096,,0.002687375341371033,214535.774601021,112441.5126161798,102094.2619848412
28,SNX,2623594.1510325577,,0.01017458753609404,789950.70153543,425711.28609838267,364239.4154370474
29,YFL,1347002.9564369826,,0.006779398910891854,547309.1576271423,283654.410470352,263654.74715679034
30,LAYER,832610.7878975786,,0.0030858152335339335,257452.78568808507,129112.49395314702,128340.29173493804
31,LEND,900986.2393856628,,0.0021100959884032145,152874.48911800224,88287.7732220089,64586.71589599333
32,RSR,1509612.3994103011,,0.007489074849357633,569822.2352627165,313347.70815004606,256474.52711267045
33,OCEAN,1296274.9598108532,,0.014888375604552754,1209536.8232222938,622939.210463868,586597.6127584258
34,YAX,2073890.229587261,,0.004179246801417964,417175.19508189237,174862.37397267445,242312.8211092179
35,MTA,2404647.063001461,,0.019120084808481732,1467586.0971311936,799996.6450977795,667589.4520334143
36,KIF,850669.036881177,,0.0008465984607797858,39973.17399210548,35422.22407236926,4550.949919736226
37,yyDAI+yUSDC+yUSDT+yTUSD,1930951.8916992336,,0.0016896219200693116,143471.8762626423,70694.8677831959,72777.00847944639
38,RFuel,1373793.1491370026,,0.006182951485705509,554888.8865854671,258698.6666069882,296190.21997847897
39,BMJ,546917.0616622625,,0.006194579732666808,540096.7098812653,259185.19993833,280911.50994293526
40,CIBS,2650491.828019795,,0.020950104019229122,1789470.6387868503,876565.8258167347,912904.8129701156
41,LRC,4197469.826794739,,0.0063866752507027325,456355.22862782585,267222.5999554504,189132.6286723755
42,wNXM,777735.7340244227,,0.0024290890510560567,188520.3689023762,101634.64811759256,86885.72078478365
43,OM,881699.3809161965,,0.0020795405122362026,187816.40754026404,87009.31244802085,100807.0950922432
44,TOMOE,231563.4468322684,,0.0003613565038061937,47661.40218870672,22488.79461915377,25172.607569552947
45,HEX2T,973035.8675263365,,0.015715673711179514,1314961.2631109222,657553.8953058275,657407.3678050947
46,ROT,571269.3958813094,,0.004950428715162454,474177.38421376003,207129.1212144028,267048.2629993572
47,SHROOM,667480.3204678323,,0.004141525392892018,324721.68619246257,173284.085980159,151437.60021230357
48,MEME,834205.0730695748,,0.004933578304725407,363467.7050511372,206424.08920470177,157043.61584643542
49,RMPL,766649.0346379455,,0.0014661118343966579,113533.05693517187,61343.06205248526,52189.99488268662
