,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,279877899.884778,1.0,0.3123717498668088,72417893.08564705,36636934.45557443,35780958.630072616
1,USDT,307214923.197468,1.0,0.4555470075784611,103263550.43238291,52125759.30957948,51137791.12280344
2,DAI,201360225.0550759,1.0,0.20873317611859604,46502602.76014894,23268661.966676034,23233940.79347291
3,CVP,1597076.4008135945,0.0,0.015852682140723075,3613393.0919100167,1762818.4473768463,1850574.6445331704
4,AMPL,51330341.70961746,0.0,0.06115408256872769,13340521.170056794,6800334.727435778,6540186.442621016
5,KEEP,1020547.8423522082,0.0,0.0015791353698264576,348859.1680730247,175599.87238275542,173259.29569026933
6,MKR,1332772.3241229693,0.0,0.0011310994493004963,256574.84381876368,125778.27255632832,130796.57126243536
7,BOOST,2853983.6466291198,0.0,0.009881773912067586,2159301.5555667058,1098853.379533256,1060448.1760334496
8,WBTC,6226987.0503330445,0.0,0.01235494874944572,2781627.7965495074,1373870.4516108502,1407757.344938657
9,TEND,504400.91493322974,0.0,0.008095912585345864,1788827.8344178589,900265.5782226613,888562.2561951976
10,STAKE,2095262.498545778,0.0,0.02024091543381294,4570727.967112112,2250790.0430843243,2319937.9240277875
11,FARM,2994370.5614109966,0.0,0.0051697902454566295,2595786.8886549687,1285018.7846497928,1310768.104005176
12,COMP,47903035.22976339,0.0,0.025588349421795283,5682150.154606964,2845424.7677615974,2836725.3868453675
13,LINK,84860116.67030655,0.0,0.09061475994522618,20813783.780620623,10076362.410984632,10737421.369635992
14,WETH,1649859768.8382735,0.0,0.6982379815515496,480771243.0542069,238458345.06215256,242312897.99205434
15,YFI,170618149.87000778,0.0,0.18743841871723294,39316434.53695287,20843154.447226733,18473280.08972613
16,SUSHI,181054530.7408308,0.0,0.31342301699802666,66079762.70470673,34852643.31247277,31227119.39223396
17,CRV,10151788.888789764,0.0,0.03161166812741929,6939901.408580886,3515217.8812832534,3424683.527297633
18,CREAM,6011785.664731776,,0.01716602950761789,4147123.5726319533,1908862.690592236,2238260.8820397174
19,sUSD,85901530.92094079,,0.07123598977276985,15679203.227154076,7921442.931477296,7757760.295676781
20,LEND,74852117.00041378,,0.06792403952110222,18871830.579983626,7553154.023101575,11318676.556882052
21,YFV,591857.922967467,,0.024978061373397305,5540908.982426986,2777560.7293370897,2763348.253089896
22,SNX,61188785.238828175,,0.03214284264824187,6954503.137399191,3574284.494476566,3380218.642922625
23,YFL,815803.3537931743,,0.020459398479245574,4592660.988557003,2275085.3604009026,2317575.6281561013
24,BAND,50288897.43040515,,0.04489643546636131,9953976.235319834,4992484.17138552,4961492.063934314
25,wNXM,1692229.5732236924,,0.007879728281059466,1712958.3274038602,876225.8809495792,836732.4464542809
26,YFBETA,509307.4790864145,,0.011361512861084444,2624481.114638763,1263400.368709811,1361080.745928952
27,TRADE,3342386.268750068,,0.015266360102548797,3356219.0737090176,1697619.4295814864,1658599.6441275314
28,REN,17833283.841562156,,0.02097395940482415,4775579.978997812,2332304.541600469,2443275.437397342
29,MTA,5083794.297911189,,0.012325033622715632,2533298.537329697,1370543.88915363,1162754.6481760673
30,DIA,1297075.4715728387,,0.00739494176169034,1628700.323152883,822317.6140836049,806382.7090692781
31,OM,1165705.9138729128,,0.014177503364057029,3085663.335956713,1576538.5469822525,1509124.788974461
32,LRC,5378550.3381588375,,0.007030477898898899,1498103.3009453812,781789.2280964475,716314.0728489337
33,XOR,1623676.1302607616,,0.006222684841256368,1378633.2960578795,691962.630235308,686670.6658225716
34,BOT,1142679.5491090997,,0.00716073604336941,1712306.2342649102,796273.9353501046,916032.2989148056
35,RSR,1240508.310076358,,0.005440484808873327,1209260.7954077383,604981.9770951349,604278.8183126034
36,CEL,734810.3418882113,,0.0007772531033617365,181484.26408908953,86430.55457267164,95053.70951641788
37,KIF,363917.1353299527,,0.0006655992444993944,121846.02994897493,74014.64410552848,47831.38584344646
38,LAYER,818602.6848042442,,0.0038015922117308103,832015.7206103124,422737.1003060805,409278.6203042319
39,XRT,816898.6654351973,,0.005231383558042681,1161659.3680326804,581729.9154527122,579929.4525799683
40,YFFS,335303.070101456,,0.0025201918615001292,843788.1071650211,429545.04201221454,414243.0651528066
41,DISTX,753961.0455281218,,0.003061191447103442,655554.5558882023,340404.52625009464,315150.0296381077
42,MEME,319722.37427386147,,0.0010049112760567509,224084.49390479006,111746.14615272007,112338.34775206998
43,SWAP,3627090.432652714,,0.011516317133046072,2637828.13834457,1280614.6056398312,1357213.5327047391
44,FSW,1079217.3447137394,,0.007184929173327976,1580096.296255238,798964.2116965436,781132.0845586942
45,SHROOM,507015.5740207705,,0.005123506109666966,1100165.5056699784,569733.941877735,530431.5637922434
46,HEX2T,753135.3424939093,,0.0028904363995264424,643489.3889722473,321416.56287712173,322072.82609512546
47,XAMP,895670.0863763645,,0.003114070294540303,663589.9566029082,346284.6547299487,317305.30187295954
48,KNC,1146910.072433567,,0.0035246114547799264,792493.6103681934,391936.83675527375,400556.7736129196
