symbol,date,eigencentrality,asset_price,price_volatility,gas_fee,gas_vol,market_cap,aave_deposit,aave_borrow,compound_supply,compound_borrow,volume_gross,volume_in,volume_out,defi_deposit,defi_borrow
USDC,20220517,0.878769,-0.5403910345633177,-0.735647035200022,-0.30335591218166047,0.7920974016437105,0.7644499323152616,0.518329424739723,1.4847708481062107,1.1005323976066417,0.7770504313692809,0.9657364470702272,0.8793333246103315,1.046009878745546,0.865374568028884,1.5017204969693654
USDC,20220524,0.859891,-0.5403911074712396,0.006256622054074004,-1.0445583888294871,0.6185626926347528,0.8060652792666397,1.2564829744715638,1.2340681117935643,0.4844168236861435,0.8392088669307911,0.6674551272724082,0.6996335411858134,0.6303061285189915,1.054808577461895,1.332351738492064
USDC,20220531,0.876787,-0.5403911595322826,-0.34049195810063654,1.3479143010111505,-1.4106600942784646,0.8225964867409167,1.0104503128773044,1.0497298339625174,0.4553706525873764,0.7649917084432725,1.0804543727596303,1.2184902033183234,0.9336857075266908,0.8797005768478009,1.1555999153030951
WETH,20220517,1.0,-0.3707153651764711,0.6651777131172983,-0.30335591218166047,0.7920974016437105,-0.6795101111669235,1.2385725140500679,0.5674503259184257,1.4531066001156976,-0.6788845379071404,1.6471316474709887,1.7798523516501588,1.5017187403308319,1.505789470505409,0.14901092224030177
WETH,20220524,1.0,-0.3749522749760809,1.033659822512475,-1.0445583888294871,0.6185626926347528,-0.690268438227945,1.305302153477655,0.9708770485916233,1.4258169603014295,-0.8088178893157417,1.1487815590300645,1.070636313523928,1.2194384930427729,1.536484064297842,0.40853307902654423
WETH,20220531,1.0,-0.3734717907116508,1.8368125167169753,1.3479143010111505,-1.4106600942784646,-0.6940189905529117,1.3375860400736934,1.0603317126753087,0.9925424696786058,-1.2505959427498754,1.5491710537497942,1.3759390602613961,1.7128468524065252,1.3506766792556864,0.2862608007759969
DAI,20220517,0.499025,-0.5403911203961757,-0.3809953535033235,-0.30335591218166047,0.7920974016437105,-0.8853457078864598,-1.2586296225274327,-0.5903593286912034,0.2449285174421511,1.772442310740638,-1.050898994498529,-1.0625106086677751,-1.0317732509311563,-0.7078258197514394,0.30920624270816605
DAI,20220524,0.465341,-0.5403911308458709,0.4409272068633968,-1.0445583888294871,0.6185626926347528,-0.8803387242529709,-1.1121013851495962,-0.4330233516872966,-0.13617191190333883,0.8078245776538492,-1.095096348324356,-1.0996319641166712,-1.0827910141841097,-0.7938428713314483,0.012461596274602013
DAI,20220531,0.405181,-0.5403912503795235,0.6296137561783532,1.3479143010111505,-1.4106600942784646,-0.8762520391889,-1.4701490640853294,-1.034924336292811,-0.19068009452589255,0.6665230279767839,-1.0793961324544032,-1.1381909912737127,-1.0125089586098668,-1.0545205890768194,-0.5206757327076778
WBTC,20220517,0.46505,1.9653928008483872,0.1890158452125392,-0.30335591218166047,0.7920974016437105,-0.797914967405227,0.034189524239526696,-1.4308050130416814,-1.599464225815341,-1.3757393713767856,-0.4697320838916251,-0.5276271713569294,-0.408057268937849,-0.7416174263017579,-1.720123123087527
WBTC,20220524,0.492901,1.9030147969113713,0.609856002323384,-1.0445583888294871,0.6185626926347528,-0.8131206608053768,-0.381199542040099,-1.449193820991239,-1.6029175485663545,-1.375743398520146,-0.7506615607390856,-0.6697311596052368,-0.8269373924951369,-1.01548526922739,-1.734533151160254
WBTC,20220531,0.487446,2.114252164913269,0.7600149316211502,1.3479143010111505,-1.4106600942784646,-0.7910564350895118,-0.08137202447380121,-1.4160635013384644,-1.6033800165779148,-1.3757430370818282,-0.5132936252773788,-0.4167910369542828,-0.6069423218263315,-0.8192192279881738,-1.708574228966341
USDT,20220517,0.519065,-0.5403911494061986,-1.8055294064466065,-0.30335591218166047,0.7920974016437105,1.6115255023778305,-0.8933728060327556,0.05617707857379254,-0.24627976460553525,0.42411472899281183,-0.6224690656444247,-0.6350806077421283,-0.6053609437774291,-0.7030984459752132,0.22868871549177425
USDT,20220524,0.519065,-0.5403911494061986,-1.8055294064466065,-1.0445583888294871,0.6185626926347528,1.6115255023778305,-0.8933728060327556,0.05617707857379254,-0.24627976460553525,0.42411472899281183,-0.6224690656444247,-0.6350806077421283,-0.6053609437774291,-0.7030984459752132,0.22868871549177425
USDT,20220531,0.520976,-0.5403912298080156,-1.1031412569024501,1.3479143010111505,-1.4106600942784646,1.4916633714977467,-0.6107156935877641,-0.12521268615253672,-0.5315410948181317,0.3892537958512811,-0.8547133308788885,-0.8392406470910829,-0.8642737060320493,-0.6541258407700585,0.0713840131481202
