,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,{'symbol': 'USDC'},279573395.60173017,0.6545826724744213,80860256.90551168,44087487.55898757,36772769.346524104
1,{'symbol': 'WETH'},659008092.9085444,0.6706161393403973,174720803.84074664,83498937.81535484,91221866.02539179
2,{'symbol': 'APE'},4358666.244563856,0.03225688359600515,4297644.417174164,2024589.347208084,2273055.0699660806
3,{'symbol': 'ELON'},19906867.163790397,0.05141877367461199,6667382.918614918,3227277.090122099,3440105.82849282
4,{'symbol': 'QOM'},4808621.688703069,0.021950158377242915,2885677.3373482535,1377692.1967006112,1507985.1406476423
5,{'symbol': 'SAITAMA'},7649430.60301125,0.014870501846489194,2152050.972742133,933340.6166294594,1218710.3561126736
6,{'symbol': 'XMON'},9242411.759520128,0.016505762009306136,2392985.4045713544,1035977.013468581,1357008.3911027736
7,{'symbol': 'DAI'},19305075.210499708,0.06283274354181877,7285676.295409955,3943669.972085525,3342006.32332443
8,{'symbol': 'STRONG'},1236231.8651682176,0.0010812772413828636,153459.16878051602,67865.89838311017,85593.27039740587
9,{'symbol': 'SHIB'},4535035.510259356,0.012968345811723373,1816808.3890712718,813952.615824838,1002855.7732464336
10,{'symbol': 'X2Y2'},6210423.500367935,0.022707820944433826,2979083.8646037816,1425246.5600273577,1553837.304576424
11,{'symbol': 'UNI'},24133713.60682273,0.03670801126602259,4986639.054090759,2303962.4502221765,2682676.603868582
12,{'symbol': 'STARL'},5723740.06796544,0.008490002787901829,1267077.2073141253,532871.3529003671,734205.854413758
13,{'symbol': 'PAXG'},24511262.09899173,0.02127156037346428,2066015.5460273926,1335100.2864995557,730915.2595278368
14,{'symbol': 'HEX'},2065905.2928566064,0.02744281157834325,3472094.4605378327,1722436.1991941845,1749658.2613436482
15,{'symbol': 'MOOV'},491570.5393056401,0.0016113749829030335,226293.73055895243,101137.2538526036,125156.47670634884
16,{'symbol': 'ALI'},2785207.140016873,0.0006350795552143075,244308.05373518827,40836.84376919598,203471.20996599228
17,{'symbol': 'AUDIO'},3975961.081694424,0.004409021684376713,670601.6293056887,276730.3390369683,393871.2902687204
18,{'symbol': 'MC'},36030248.230934896,0.002594192118144651,674413.1901843261,162823.34625956503,511589.84392476105
19,{'symbol': 'BOND'},9603267.582579216,0.03651236495166825,4497021.6384233665,2347815.6884959056,2149205.9499274604
20,{'symbol': 'KUMA'},3259178.749537696,0.0005865644585840221,176436.40086904884,36815.46454311391,139620.93632593495
21,{'symbol': 'SAND'},4980463.8602032205,0.007327343351111951,978779.1538998388,459897.5362218333,518881.6176780055
22,{'symbol': 'MPL'},2304354.1779984366,0.004409618171679646,643551.5338215305,283546.9775088645,360004.55631266604
23,{'symbol': 'TOKE'},19619922.4286052,0.010948140279289168,1627581.8051793007,687155.2893576359,940426.5158216648
24,{'symbol': 'WOO'},4962212.144215657,0.012872286554942458,1736781.0941629019,807923.4981203801,928857.5960425218
25,{'symbol': 'KIBA'},1292455.5548066143,0.0032250768888275037,430953.8611546173,202420.55602221235,228533.3051324049
26,{'symbol': 'UFO'},7170698.551600896,0.0038383261342773557,653296.9749952855,240910.87967129948,412386.095323986
27,{'symbol': 'VADER'},3446484.268104144,0.008320374895379743,1258959.9780227279,522224.7315934011,736735.2464293267
28,{'symbol': 'HIGH'},6655823.927436157,0.00329111017081908,517203.78796660085,206565.10640580632,310638.68156079453
29,{'symbol': '10SET'},8677632.26128367,0.002194714414226377,295157.6885222292,137750.30095458523,157407.387567644
30,{'symbol': 'RAD'},4597282.634649788,0.0008185640183356601,232634.14802403603,52635.24964298297,179998.89838105306
31,{'symbol': 'MRI'},931402.5131279946,0.002913049637514667,438755.7350027436,182836.30055108492,255919.4344516587
32,{'symbol': 'WILD'},4465708.532588072,0.0031145748682627605,421371.9240255603,195484.94449562024,225886.9795299401
33,{'symbol': 'DEFIT'},636200.4222448735,0.0004796968536896897,50552.335527791605,30107.965544124745,20444.36998366686
34,{'symbol': 'FXS'},1048726.897542763,0.005917050583004028,780712.0893696434,371381.1206090885,409330.96876055485
35,{'symbol': 'RBN'},2104493.0199260423,0.004297585716430887,563631.7542861348,269736.1087069531,293895.6455791818
36,{'symbol': 'KYL'},2213.057953089573,1.0061904151701237e-20,39.18168247119676,0.0,39.18168247119676
37,{'symbol': 'F9'},851577.1664007362,0.0006571113336199762,106629.19554488492,41243.30864192574,65385.88690295919
38,{'symbol': 'WBTC'},22701123.223323483,0.023269467166989913,2917671.6234409716,1460498.042263775,1457173.5811771965
39,{'symbol': '$AKC'},1223980.6940324076,0.0007146499339319868,88822.59735517256,44854.69400400684,43967.90335116573
40,{'symbol': 'DOP'},1013882.510495544,0.003382102963604064,467331.8806125181,212276.2296888993,255055.6509236188
41,{'symbol': 'CULT'},6934683.435952186,0.026273485760260645,3384373.6743861428,1649043.9699771432,1735329.7044089993
42,{'symbol': 'USDT'},149340085.8241463,0.32653670288433156,37343320.82131936,20505715.119648665,16837605.701670688
43,{'symbol': 'FOX'},17199081.46084889,0.005515367713132115,621722.142335952,346169.6690168049,275552.4733191471
44,{'symbol': 'LOOKS'},535578.7466183231,0.00571563831920707,736603.5607322003,358739.5669863787,377863.9937458216
45,{'symbol': 'VEMP'},3819605.828204104,0.0008647001629627398,150472.1830009812,54272.5317296395,96199.6512713417
46,{'symbol': 'SUPER'},10761873.699053535,0.005574415171679152,960476.8105088214,349875.75721339736,610601.053295424
47,{'symbol': 'WRLD'},54175.9803938129,0.0003594547627495869,45613.038231073384,22561.02271318399,23052.01551788939
48,{'symbol': 'FLOKI'},2987594.926102269,0.0025379347298748745,385585.8408090248,159292.37561716698,226293.46519185783
49,{'symbol': 'ARC'},1328491.4393100769,0.0013671457016744964,143669.30270322395,85808.3086499498,57860.99405327415
