,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,2067838499.4341416,0.6728185571519255,797791874.5278902,425015712.9584973,372776161.56939286
1,WBTC,536554825.4081446,0.26542445957646166,242392618.60014182,137935935.673842,104456682.92629981
2,WETH,1307817797.1332412,0.6815812938329867,961133190.829315,452656452.350796,508476738.47851896
3,DAI,999550438.5537283,0.02143568100870747,45113681.37743579,11291458.246258428,33822223.13117736
4,APE,26773905.609315597,0.00838712971563563,9773216.435737398,4315066.995347788,5458149.44038961
5,FRAX,231860905.27810505,0.0055170188175364095,7563829.6509899255,3452379.5199140385,4111450.131075887
6,FEI,20346310.753012408,0.0027712388949022323,4447426.893687709,1444240.7684034228,3003186.125284286
7,HEX,19830543.442990664,0.007062691763292888,7544521.727877379,3676370.513363545,3868151.2145138346
8,LINK,13908963.569125824,0.00649936458187861,6216109.463336135,3343619.370395441,2872490.092940694
9,agEUR,26974039.08602799,0.0033018877013528537,3406610.8639352247,1714283.1970919939,1692327.6668432306
10,MKR,14123912.88202342,0.0016904401578566681,1923029.470928146,869652.469114123,1053377.001814023
11,RAI,15226823.792504936,1.1468405378209856e-05,308360.51073422516,187598.49325773463,120762.01747649055
12,PAX,59874583.33217264,0.0019615109297440128,2771318.9950275905,1539127.8260003116,1232191.1690272791
13,1INCH,25811194.33998101,8.241161680788338e-05,6178189.899255548,142468.0753039056,6035721.823951642
14,BUSD,23963430.04006073,0.0001665817966100545,247584.51607100002,86814.68147000003,160769.834601
15,NEXO,4982674.736423717,0.0007023169507035517,656560.1632879653,361309.25276553,295250.91052243527
16,MATIC,11145976.092614768,0.0011552132480348862,1069446.100565529,594303.2344787633,475142.86608676566
17,TUSD,10061220.739226718,0.00024971300034964944,162397.80139453898,130138.79682792592,32259.004566613054
18,ETH2x-FLI,11185549.698650625,0.0013125905566029404,1442176.8480713675,675266.5056969577,766910.3423744098
19,MIM,888287.8792446922,3.872400320836799e-05,149350.601862,20181.148674000004,129169.453188
20,sILV2,3599570.835982316,0.003230134418003793,3219365.3695929125,1661753.218019518,1557612.1515733942
21,LUSD,742392.6328970396,0.00019032413808356402,162102.378947,99188.085133,62914.293814
22,FUN,4895383.605967592,0.000872287065806984,772838.8057392132,448750.9345005456,324087.87123866763
23,USDT,332552968.9351107,0.10757969473677324,123412547.29643314,63773316.46489655,59639230.83153658
24,LOOKS,15103013.026865644,0.006595791838188479,7569237.366597092,3393226.687844776,4176010.678752315
25,renBTC,14705620.899627432,4.1633363423443364e-17,97098.04226846193,0.0,97098.04226846193
26,ENS,4546798.048728949,0.0011677268618986365,1273861.556500041,600740.9040664658,673120.6524335752
27,LUNA,1756382.8738353471,0.000667938767436843,699856.7057821847,343623.283923329,356233.4218588557
28,EURS,9772815.32659708,0.0003432934471521431,2491033.075923,178908.571475,2312124.504448
29,CRV,7758415.7427507,0.0007758325677498232,712599.7842796704,399129.60244520765,313470.1818344628
