,token,total_tvl
0,USDC,1919478746.097311
1,WBTC,555068454.6444278
2,WETH,1436449883.5620773
3,DAI,813238352.475939
4,APE,27431768.89596342
5,FRAX,243347501.6793256
6,FEI,20261658.384999298
7,HEX,37452164.83042077
8,LINK,13145068.437471148
9,agEUR,26671330.55822183
10,MKR,13120218.51855005
11,RAI,16833726.256302115
12,PAX,58901784.03077938
13,1INCH,
14,BUSD,23956341.095700197
15,NEXO,5043948.393465036
16,MATIC,11126022.780514052
17,TUSD,10061091.38343492
18,ETH2x-FLI,11468075.477119008
19,MIM,885900.4948408228
20,sILV2,2698971.983776702
21,LUSD,1408617.0904424272
22,FUN,4894846.936608032
23,USDT,
24,LOOKS,15572819.36681028
25,renBTC,13998176.48597188
26,ENS,4647139.524549333
27,LUNA,5582817.610212857
28,EURS,8693166.405840958
29,CRV,7364158.52052443
