,token,total_tvl
0,{'symbol': 'USDC'},316134646.76398766
1,{'symbol': 'WETH'},778916905.0983603
2,{'symbol': 'APE'},6128109.227799033
3,{'symbol': 'ELON'},24886213.39227832
4,{'symbol': 'QOM'},5915543.839784513
5,{'symbol': 'SAITAMA'},9889762.752963891
6,{'symbol': 'XMON'},11362780.812364027
7,{'symbol': 'DAI'},21295696.295013312
8,{'symbol': 'STRONG'},1522268.546386859
9,{'symbol': 'SHIB'},5980856.714588532
10,{'symbol': 'X2Y2'},7309626.454654265
11,{'symbol': 'UNI'},30106457.103878617
12,{'symbol': 'STARL'},7816171.281426966
13,{'symbol': 'PAXG'},27136390.04725996
14,{'symbol': 'HEX'},2518424.345142794
15,{'symbol': 'MOOV'},614766.7825164888
16,{'symbol': 'ALI'},2884742.772468879
17,{'symbol': 'AUDIO'},5035785.3383632265
18,{'symbol': 'MC'},44237364.731420256
19,{'symbol': 'BOND'},10419578.639913889
20,{'symbol': 'KUMA'},4071749.791841473
21,{'symbol': 'SAND'},6043295.318115805
22,{'symbol': 'MPL'},2547625.1068135006
23,{'symbol': 'TOKE'},25099122.595513202
24,{'symbol': 'WOO'},6202771.73498437
25,{'symbol': 'KIBA'},1766578.4250648215
26,{'symbol': 'UFO'},9034750.59757403
27,{'symbol': 'VADER'},4574256.331856565
28,{'symbol': 'HIGH'},8050876.360626619
29,{'symbol': '10SET'},10529495.844325049
30,{'symbol': 'RAD'},5062092.354589595
31,{'symbol': 'MRI'},1240409.7883339792
32,{'symbol': 'WILD'},5500750.968161343
33,{'symbol': 'DEFIT'},751533.7597187452
34,{'symbol': 'FXS'},1374224.8134388744
35,{'symbol': 'RBN'},2682903.5518146986
36,{'symbol': 'KYL'},2566.312308759808
37,{'symbol': 'F9'},1120071.451733574
38,{'symbol': 'WBTC'},26936661.79277731
39,{'symbol': '$AKC'},1510809.120828048
40,{'symbol': 'DOP'},1362455.5119289863
41,{'symbol': 'CULT'},9049542.504649816
42,{'symbol': 'USDT'},167161413.95326537
43,{'symbol': 'FOX'},20877583.199122287
44,{'symbol': 'LOOKS'},701167.0941076806
45,{'symbol': 'VEMP'},4637409.4513002
46,{'symbol': 'SUPER'},13851695.680286825
47,{'symbol': 'WRLD'},67951.94094311965
48,{'symbol': 'FLOKI'},3776650.2486521695
49,{'symbol': 'ARC'},1518218.5108109296
