,token,total_tvl
0,{'symbol': 'USDC'},204786328.1256073
1,{'symbol': 'WETH'},495397871.5964727
2,{'symbol': 'APE'},869479.0464475799
3,{'symbol': 'ELON'},15981207.838883081
4,{'symbol': 'QOM'},3509370.518491628
5,{'symbol': 'SAITAMA'},6512358.562612622
6,{'symbol': 'XMON'},6518117.905032754
7,{'symbol': 'DAI'},18057660.12651527
8,{'symbol': 'STRONG'},871919.3456847235
9,{'symbol': 'SHIB'},1912677.8080561836
10,{'symbol': 'X2Y2'},5539218.992462582
11,{'symbol': 'UNI'},20892279.19590872
12,{'symbol': 'STARL'},4708359.845898954
13,{'symbol': 'PAXG'},22925106.52548155
14,{'symbol': 'HEX'},1438881.487430422
15,{'symbol': 'MOOV'},345250.34263501584
16,{'symbol': 'ALI'},2477293.4129795018
17,{'symbol': 'AUDIO'},3079608.320378896
18,{'symbol': 'MC'},29773987.374176744
19,{'symbol': 'BOND'},7759576.352753712
20,{'symbol': 'KUMA'},1476559.5479612362
21,{'symbol': 'SAND'},3952055.6399600846
22,{'symbol': 'MPL'},1959213.5459265711
23,{'symbol': 'TOKE'},4578934.716237448
24,{'symbol': 'WOO'},4074554.000765388
25,{'symbol': 'KIBA'},957381.2371289597
26,{'symbol': 'UFO'},5915219.800180439
27,{'symbol': 'VADER'},2194246.6712357625
28,{'symbol': 'HIGH'},5498540.342963523
29,{'symbol': '10SET'},7171184.88160605
30,{'symbol': 'RAD'},3830488.667907055
31,{'symbol': 'MRI'},635776.7470283617
32,{'symbol': 'WILD'},3403335.9372868207
33,{'symbol': 'DEFIT'},517929.1408154322
34,{'symbol': 'FXS'},307926.8162007738
35,{'symbol': 'RBN'},1783874.1224565485
36,{'symbol': 'KYL'},1751.8126418025713
37,{'symbol': 'F9'},709804.5492592549
38,{'symbol': 'WBTC'},20311106.659391
39,{'symbol': '$AKC'},813716.3957554281
40,{'symbol': 'DOP'},706708.4783676891
41,{'symbol': 'CULT'},5330674.868654219
42,{'symbol': 'USDT'},119070682.41512045
43,{'symbol': 'FOX'},14208130.95868476
44,{'symbol': 'LOOKS'},393490.28834662266
45,{'symbol': 'VEMP'},2863396.3623974547
46,{'symbol': 'SUPER'},7817202.6472652415
47,{'symbol': 'WRLD'},44726.3986125861
48,{'symbol': 'FLOKI'},2707541.4659226225
49,{'symbol': 'ARC'},928541.1318345859
