,token,total_tvl
0,{'symbol': 'USDC'},306922603.71167654
1,{'symbol': 'WETH'},739907339.0786294
2,{'symbol': 'APE'},5431908.874660724
3,{'symbol': 'ELON'},22713208.503020555
4,{'symbol': 'QOM'},5614298.43869032
5,{'symbol': 'SAITAMA'},9182926.294884648
6,{'symbol': 'XMON'},11173417.36317787
7,{'symbol': 'DAI'},20454402.699480053
8,{'symbol': 'STRONG'},1421818.85838276
9,{'symbol': 'SHIB'},5517347.219266594
10,{'symbol': 'X2Y2'},7223246.2105452465
11,{'symbol': 'UNI'},28035205.797282193
12,{'symbol': 'STARL'},6859159.063456016
13,{'symbol': 'PAXG'},26115525.260921847
14,{'symbol': 'HEX'},2366479.1405309266
15,{'symbol': 'MOOV'},600030.9696554722
16,{'symbol': 'ALI'},3114220.2938110116
17,{'symbol': 'AUDIO'},4697752.460786332
18,{'symbol': 'MC'},41133503.43930146
19,{'symbol': 'BOND'},9651025.481798535
20,{'symbol': 'KUMA'},3839267.3746539727
21,{'symbol': 'SAND'},5733479.396376008
22,{'symbol': 'MPL'},2456993.64769998
23,{'symbol': 'TOKE'},23079422.063773707
24,{'symbol': 'WOO'},5841329.850562656
25,{'symbol': 'KIBA'},1483502.9223275632
26,{'symbol': 'UFO'},8422636.773067923
27,{'symbol': 'VADER'},4327613.598805272
28,{'symbol': 'HIGH'},7493555.658532824
29,{'symbol': '10SET'},9619839.431370264
30,{'symbol': 'RAD'},4858918.782290172
31,{'symbol': 'MRI'},1181423.3806185036
32,{'symbol': 'WILD'},5065370.07510552
33,{'symbol': 'DEFIT'},688355.7850223639
34,{'symbol': 'FXS'},1255096.7012804083
35,{'symbol': 'RBN'},2420447.2893586727
36,{'symbol': 'KYL'},2374.6508481156434
37,{'symbol': 'F9'},997384.3548049411
38,{'symbol': 'WBTC'},25245504.193026066
39,{'symbol': '$AKC'},1339191.0574811536
40,{'symbol': 'DOP'},1212054.0452771035
41,{'symbol': 'CULT'},8014793.4821764575
42,{'symbol': 'USDT'},162708681.44808683
43,{'symbol': 'FOX'},19409348.177582
44,{'symbol': 'LOOKS'},642807.6781222228
45,{'symbol': 'VEMP'},4410404.887832699
46,{'symbol': 'SUPER'},12722978.93424454
47,{'symbol': 'WRLD'},64170.74725082296
48,{'symbol': 'FLOKI'},3454515.5747338627
49,{'symbol': 'ARC'},1425156.6047037356
