,token,total_tvl
0,{'symbol': 'USDC'},205466942.79613468
1,{'symbol': 'WETH'},499639040.93139446
2,{'symbol': 'APE'},884592.7095302218
3,{'symbol': 'ELON'},16505142.025813088
4,{'symbol': 'QOM'},3382079.8206402366
5,{'symbol': 'SAITAMA'},6668676.346871548
6,{'symbol': 'XMON'},6562638.183581482
7,{'symbol': 'DAI'},18120598.91284689
8,{'symbol': 'STRONG'},879146.6246383331
9,{'symbol': 'SHIB'},1897968.7569756447
10,{'symbol': 'X2Y2'},5774598.15191381
11,{'symbol': 'UNI'},21127519.573527817
12,{'symbol': 'STARL'},4970421.57003909
13,{'symbol': 'PAXG'},23004045.322703056
14,{'symbol': 'HEX'},1459127.1533738845
15,{'symbol': 'MOOV'},337889.72732505534
16,{'symbol': 'ALI'},2648253.531696904
17,{'symbol': 'AUDIO'},3236255.979926199
18,{'symbol': 'MC'},30521053.176492773
19,{'symbol': 'BOND'},7746456.325284746
20,{'symbol': 'KUMA'},1415233.9402918515
21,{'symbol': 'SAND'},4039862.481559848
22,{'symbol': 'MPL'},1966065.3209118969
23,{'symbol': 'TOKE'},4488975.204326504
24,{'symbol': 'WOO'},4141267.94642326
25,{'symbol': 'KIBA'},976057.7441210448
26,{'symbol': 'UFO'},6058953.359517589
27,{'symbol': 'VADER'},2224638.159948438
28,{'symbol': 'HIGH'},5617441.626016088
29,{'symbol': '10SET'},6735004.328713978
30,{'symbol': 'RAD'},3834663.74614439
31,{'symbol': 'MRI'},622721.5829670628
32,{'symbol': 'WILD'},3423731.5748007246
33,{'symbol': 'DEFIT'},556127.9499140106
34,{'symbol': 'FXS'},311816.0308152257
35,{'symbol': 'RBN'},1872663.9759763533
36,{'symbol': 'KYL'},1645.8884264502065
37,{'symbol': 'F9'},737503.8056494726
38,{'symbol': 'WBTC'},20400340.29518188
39,{'symbol': '$AKC'},802926.2650722122
40,{'symbol': 'DOP'},710632.6257118805
41,{'symbol': 'CULT'},6162333.308648305
42,{'symbol': 'USDT'},119279402.30014166
43,{'symbol': 'FOX'},14137824.706501046
44,{'symbol': 'LOOKS'},376827.95225521934
45,{'symbol': 'VEMP'},2920620.7469625333
46,{'symbol': 'SUPER'},7940069.903928291
47,{'symbol': 'WRLD'},44878.7295872206
48,{'symbol': 'FLOKI'},2734158.4563664054
49,{'symbol': 'ARC'},908055.4951582424
