,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1605814725.3348095,0.6365291529947186,757814255.2692037,365475446.1617862,392338809.10741746
1,WBTC,565050157.8293124,0.2344616974586104,257573216.55160132,118478235.14284295,139094981.40875837
2,WETH,1428578196.1110373,0.7047848697972351,995271110.2189047,523564951.0592113,471706159.1596934
3,DAI,543816848.9619522,0.04322592411040139,55044541.997051984,24577434.29348809,30467107.7035639
4,APE,26787648.880224228,0.025964047324604715,23078759.731948573,12092226.134183042,10986533.597765531
5,FRAX,262017831.6468705,0.011926672593746124,11765789.67301036,7905839.516312253,3859950.156698108
6,FEI,17309225.118515532,0.0034396342042476813,3609679.547636304,1770954.658772176,1838724.8888641282
7,HEX,45675490.103411175,0.02149267548394816,20113988.09608528,10739532.405128386,9374455.690956894
8,LINK,15528229.486689692,0.00953573195317542,8849140.607488152,4434155.762177367,4414984.845310784
9,agEUR,25576072.995033875,0.005596197593497699,5115856.702062697,2802878.089461254,2312978.612601443
10,MKR,13485635.666009596,0.004146297377752858,3828485.9201490935,1928045.848975593,1900440.0711735007
11,RAI,11212523.82757068,5.429367957612227e-05,1881265.8399520055,411640.8546500442,1469624.9853019614
12,PAX,60030534.74744591,0.0022911921771397734,6558373.186239364,2484114.600078226,4074258.5861611376
13,1INCH,24850540.646763984,0.00072481138869185,1432752.50639383,1055729.092157742,377023.4142360881
14,BUSD,23958889.81615256,0.00042660578491644834,923778.5309710002,219645.30452799995,704133.2264430003
15,NEXO,5543143.10167816,0.0006150279721056659,667782.8941163603,285990.6129706722,381792.28114568815
16,MATIC,12181887.528306453,0.00265314863701252,2371823.6559226857,1233725.3578949878,1138098.2980276982
17,TUSD,10060536.779409695,0.0002222840695428399,153820.9204646324,114446.76531056316,39374.155154069216
18,ETH2x-FLI,12540011.729549931,0.006986782164837661,5682147.065664919,3248883.310418174,2433263.7552467445
19,MIM,921319.4732305834,0.00023689040287894203,225312.56032699998,121967.086523,103345.473804
20,sILV2,3041696.024601303,0.001982971271401679,1626920.0317724762,922090.0432703304,704829.9885021456
21,LUSD,1528144.2625635753,0.0006493319021244892,595799.439214,334319.66566,261479.773554
22,FUN,4986146.29510086,0.0009959579442237049,1053477.157439122,463124.664047966,590352.493391156
23,USDT,378315777.3766277,0.19883637207538848,204346479.33204812,99614379.87496378,104732099.45708434
24,LOOKS,17275517.36602942,0.013296214447333587,11774592.889475154,6182796.05554109,5591796.833934064
25,renBTC,10386759.92567846,0.005081001822940218,13929879.995807651,7102167.786981194,6827712.208826456
26,ENS,4666657.25592514,0.0028242547422091396,2436720.290031287,1313290.4218069168,1123429.8682243703
27,LUNA,5746963.644358485,0.004600537078713884,4438169.721466808,2139269.234586288,2298900.486880519
28,EURS,8533388.393130546,0.0017419614742117673,1536211.3961320003,896878.7391250001,639332.6570070001
29,CRV,7735224.196155438,0.0004954867653229611,588992.2477392008,230403.44530746152,358588.8024317393
