,token,total_tvl
0,USDC,2067838499.4341419
1,WBTC,536554825.4081446
2,WETH,1307817797.1332412
3,DAI,999550438.5537285
4,APE,26773905.609315593
5,FRAX,231860905.27810505
6,FEI,20346310.753012408
7,HEX,19830543.442990664
8,LINK,13908963.569125824
9,agEUR,26974039.08602799
10,MKR,14123912.88202342
11,RAI,15226823.792504935
12,PAX,59874583.33217264
13,1INCH,25811194.339981012
14,BUSD,23963430.04006073
15,NEXO,4982674.736423717
16,MATIC,11145976.092614768
17,TUSD,10061220.739226718
18,ETH2x-FLI,11185549.698650625
19,MIM,888287.8792446922
20,sILV2,3599570.835982316
21,LUSD,742392.6328970396
22,FUN,4895383.605967592
23,USDT,332552968.9351107
24,LOOKS,15103013.026865643
25,renBTC,14705620.899627432
26,ENS,4546798.048728949
27,LUNA,1756382.8738353471
28,EURS,9772815.326597081
29,CRV,7758415.7427507
