Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2015-10-14,,,,,,,,,,2.956797910365e-08,0.20419273743274743,0,0
2015-10-15,,,,,,,,,,3.070096287608e-08,0.2038612228304548,0,0
2015-10-16,,,,,,,,,,2.8304621505610003e-08,0.15321796776577765,0,0
2015-10-17,,,,,,,,,,2.949075398665001e-08,0.08862871415552351,0,0
2015-10-18,,,,,,,,,,2.7043427898240003e-08,0.08940227785618958,0,0
2015-10-19,,,,,,,,,,2.570384168289e-08,0.08957467900213673,0,0
2015-10-20,,,,,,,,,,2.365772486792e-08,0.08831434364483873,0,0
2015-10-21,,,,,,,,,,2.3579069498600003e-08,0.0878368916146025,0,0
2015-10-22,,,,,,,,,,3.3779825438390004e-08,0.11212248485705952,0,0
2015-10-23,,,,,,,,,,2.6627778841560003e-08,0.11949029929320253,0,0
2015-10-24,,,,,,,,,,2.89272254709e-08,0.1206555585680575,0,0
2015-10-25,,,,,,,,,,3.3562970785500005e-08,0.12222659943326994,0,0
2015-10-26,,,,,,,,,,4.03936386458e-08,0.12543362170464933,0,0
2015-10-27,,,,,,,,,,4.656742648677e-08,0.12441999722597885,0,0
2015-10-28,,,,,,,,,,5.5335878268860004e-08,0.12339123716943241,0,0
2015-10-29,,,,,,,,,,6.074297123848e-08,0.11984384933180574,0,0
2015-10-30,,,,,,,,,,5.6178427448e-08,0.12093468290199502,0,0
2015-10-31,,,,,,,,,,4.7840331790430004e-08,0.12446103450809624,0,0
2015-11-01,,,,,,,,,,5.3288642908200015e-08,0.125719540133113,0,0
2015-11-02,,,,,,,,,,5.103615715584e-08,0.12614197685595285,0,0
2015-11-03,,,,,,,,,,5.157853657200001e-08,0.12534313725918472,0,0
2015-11-04,,,,,,,,,,4.545152863494e-08,0.12723995185283588,0,0
2015-11-05,,,,,,,,,,4.7161377146e-08,0.12702198821549168,0,0
2015-11-06,,,,,,,,,,4.8010025671960014e-08,0.12578844250872045,0,0
2015-11-07,,,,,,,,,,4.7788823944760014e-08,0.12412028386102021,0,0
2015-11-08,,,,,,,,,,5.3462610773760007e-08,0.12352684525084541,0,0
2015-11-09,,,,,,,,,,5.191827405200001e-08,0.12372293014047551,0,0
2015-11-10,,,,,,,,,,4.8058302117200014e-08,0.1215745681849834,0,0
2015-11-11,,,,,,,,,,4.0997465968680007e-08,0.12409522910778141,0,0
2015-11-12,,,,,,,,,,5.255524657116e-08,0.1315276600092646,0,0
2015-11-13,,,,,,,,,,4.586568659569e-08,0.13341122645215467,0,0
2015-11-14,,,,,,,,,,4.5582650721650015e-08,0.13339083199949192,0,0
2015-11-15,,,,,,,,,,4.638401894250001e-08,0.13219292966209314,0,0
2015-11-16,,,,,,,,,,5.336195611292e-08,0.13405335274750604,0,0
2015-11-17,,,,,,,,,,5.6303859554000004e-08,0.13265338329484966,0,0
2015-11-18,,,,,,,,,,5.2980733107720006e-08,0.1328620754596805,0,0
2015-11-19,,,,,,,,,,5.14135736628e-08,0.13173811364716728,0,0
2015-11-20,,,,,,,,,,5.0577953120040013e-08,0.1318594281089216,0,0
2015-11-21,,,,,,,,,,5.24184428751e-08,0.11585254335624057,0,0
2015-11-22,,,,,,,,,,5.164163686368e-08,0.10580819629997876,0,0
2015-11-23,,,,,,,,,,5.2291969488500004e-08,0.10519310379504684,0,0
