,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,2010936250.5764155,1,0.5957795163078149,956427262.5742272,441332907.02599967,515094355.54822755
1,agEUR,27036264.651857316,1,0.0023013839747818145,3373172.980432071,1623908.2894061725,1749264.6910258983
2,LUSD,742266.1843441069,1,0.00016027730292852098,191849.482234,121821.232517,70028.249717
3,TUSD,10061205.87940022,1,0.00010143242162031117,96932.49770857202,77095.27421032985,19837.22349824216
4,BUSD,23963627.32853889,1,7.680492583584842e-05,1144031.8037190002,58376.76675199999,1085655.0369670002
5,USDT,314386181.7526782,1,0.11837904998052051,166795808.81151748,84581143.83675063,82214664.97476685
6,PAX,60303303.47434476,1,0.0015942280797087002,4963169.531910133,1739228.6056903088,3223940.9262198233
7,FEI,4026532.175223664,1,0.0005121976795253429,406567.6664156628,389303.734665039,17263.93175062381
8,MIM,883067.9652045304,1,0.0002504879201706803,251338.15107100003,190387.201483,60950.949588
9,DAI,954411331.9957263,1,0.018244351981386665,36514935.79572272,12827206.550711509,23687729.245011218
10,FRAX,232817536.4572682,1,0.006960479771667199,8889958.862677524,6682608.373500983,2207350.48917654
11,EURS,9787135.024340115,1,0.002939007583394935,2924154.6496389993,2233837.9773309994,690316.672308
12,renBTC,14198364.804969205,0,0.0027110155457822738,3643956.3010376096,3643956.3010376096,0.0
13,sILV2,2890936.2737342776,0,0.003153594831399058,3383387.6528267697,1986401.4139380336,1396986.238888736
14,ENS,4730190.617141258,0,0.0010650413675682355,1118707.7761644318,670853.3567393925,447854.4194250394
15,LUNA,1793766.960970148,0,0.0012847884598883317,1608382.603916048,809268.7075470934,799113.8963689546
16,wstETH,3195920.1187800807,0,8.908814523453425e-05,67442.48744642315,56115.267534407096,11327.219912016057
17,UNI,12487068.891842669,0,0.00258281703075281,3174127.9416067703,1626877.1595983675,1547250.7820084025
18,WBTC,543852653.2330666,0,0.3368956308308124,454982896.30025965,219363425.6791851,235619470.62107456
19,CRV,7940305.13158051,0,0.0001933702561533683,250029.30927772945,121800.98293291654,128228.32634481291
20,LOOKS,16290636.424814695,0,0.004263562204691602,4983815.749420713,2685552.978299051,2298262.7711216616
21,MATIC,11152890.894093176,0,0.002049294242513983,2608469.0881452058,1290819.2708760062,1317649.8172691998
22,ETH2x-FLI,11616181.590707,0,0.002089352445786808,2416439.756140711,1316051.3237791832,1100388.4323615276
23,APE,27982599.761744257,0,0.012928176834990111,14878404.336669017,8150530.422609809,6727873.914059209
24,NEXO,5041944.941776273,0,0.00045753494692996077,813465.2619814596,288194.30335778004,525270.9586236795
25,1INCH,4842132.450577985,0,0.00011068180410193898,89065.03680242607,84125.4098149662,4939.626987459871
26,RAI,14726424.95281682,0,9.010847575001073e-06,288756.0797705609,223652.4870426553,65103.59272790558
27,MKR,14648580.62534958,0,0.0023330387774472936,2453729.9457456614,1469545.6372997805,984184.3084458808
28,WETH,1342160653.312114,0,0.7189114661850733,1314487191.3741245,700070231.7485622,614416959.6255623
29,LINK,13671373.533875495,0,0.0029097304980245935,3496418.842074966,1832794.9798454288,1663623.8622295372
30,HEX,19452741.80515728,0,0.008001440922852349,10887240.235847984,5993351.256440231,4893888.979407754
31,oSQTH,6142816.292127973,0,0.0019564729000356904,1936343.2627517951,1232352.5191846583,703990.7435671368
