,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1475567615.7501893,1,0.7076452849411584,1400459321.4962163,734131674.5044254,666327646.9917909
1,EURT,7718184.978840842,1,0.0008796557305392042,7139258.878038559,3586511.285981563,3552747.592056996
2,PAX,39947138.82060834,1,0.001943807428380194,2952105.6362501257,1541707.9747220615,1410397.6615280642
3,LUSD,2421684.887378578,1,0.0031546926611409894,4978255.392162001,2383488.9041930004,2594766.487969
4,USDT,462288626.35286194,1,0.13113307061807217,227002180.85517415,113223633.60784705,113778547.2473271
5,agEUR,17082509.04936549,1,0.0017880333306820365,2874533.5225,1350926.401327,1523607.121173
6,UST,20808240.503276665,1,0.015864601592304746,25569149.70734494,14014960.458594255,11554189.248750689
7,EURS,13070409.390971055,1,0.0003370832494675395,456574.06952,254679.067407,201895.002113
8,DAI,375922343.3366407,1,0.1433710481088544,225824521.8437128,121796149.02769762,104028372.81601518
9,FRAX,215017266.9156479,1,0.006295040674005318,22291369.252939545,7926475.603594162,14364893.649345381
10,MIM,9775405.04180883,1,0.006579575910857132,9911921.758065,4971116.955701001,4940804.802364
11,FEI,47766154.56530819,1,0.016434102589327423,40424439.36200174,13907826.384831518,26516612.97717022
12,FTM,33282567.05926548,0,0.014345682827741858,20830504.692957923,11408010.782219442,9422493.910738483
13,WOOL,2431770.3615350854,0,0.0006927803962971421,1090157.7568665664,550914.607939419,539243.1489271474
14,ENS,15441052.90304908,0,0.00418977014996694,7479111.492494676,3331799.790903905,4147311.7015907713
15,WRLD,2917584.526841347,0,0.006384867065707359,9525516.19416938,5077390.404015541,4448125.790153838
16,CRV,13047406.68195482,0,0.0037417014901985216,6913013.31937997,2975485.4792611464,3937527.840118824
17,BTRFLY,9493132.435226629,0,0.030591737045793654,49124601.6516487,24327239.78745397,24797361.86419473
18,NEXO,8260233.027958539,0,0.0006438948618578153,1181341.0569507638,512039.7275537794,669301.3293969845
19,WBTC,487621057.1800359,0,0.08359134342295561,129229307.90447518,65187655.58346973,64041652.32100545
20,UNI,38820135.18293674,0,0.002389169662550263,3664768.088014571,1899921.6418069524,1764846.4462076183
21,YFI,10826264.165756969,0,0.0018263748001668806,3096916.2911586426,1452374.464350035,1644541.8268086077
22,gOHM,3635967.490872957,0,0.002317432403660008,3173471.8781593842,1842874.5543498043,1330597.3238095797
23,GALA,9815021.639603416,0,0.0027753427188492623,4728275.451387353,2207015.172520069,2521260.278867285
24,MATIC,44050004.599932656,0,0.009282463825072756,15628086.524036359,7381624.748960176,8246461.775076183
25,CVX,7690980.117666897,0,0.003878293314297447,6920209.722281247,3084106.380810049,3836103.341471199
26,RBN,17930809.101397227,0,0.005216567173184533,8568064.151504427,4148331.959687474,4419732.191816952
27,Metis,9017609.301781168,0,0.011073563875763765,17685240.59086493,8805947.936337732,8879292.654527199
28,SPELL,10229023.147704525,0,0.007925469455596312,13283485.263655521,6302512.197519808,6980973.066135714
29,WETH,1694512058.8296103,0,0.6723307859930615,1488938416.6433,710214841.5516019,778723575.0916982
30,ETH2x-FLI,33014338.39184443,0,0.004736901027472999,11636309.550764423,3766890.614033254,7869418.936731168
31,LINK,24302268.32164215,0,0.014139172908911812,21105157.21094288,11243789.433613298,9861367.77732958
32,STRONG,4044567.047479036,0,0.005683540323374592,8716199.284642532,4519679.548808439,4196519.735834094
33,HEX,32489139.59825704,0,0.006323104021223172,11637841.305345997,4777342.801181998,6860498.504163998
34,RAI,26178039.661412463,0,0.0016837787274835425,6732388.8649425,6279068.987215127,453319.8777273739
