,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,728427694.6197251,1.0,0.4918057147942686,59131963.33531013,32016213.518065006,27115749.817245126
1,USDT,521889838.8984084,1.0,0.4304974640066511,46346461.11302185,24745855.50861159,21600605.604410265
2,DAI,385173218.55877686,1.0,0.2480023606861997,26151945.618064735,14265844.745529743,11886100.872534992
3,STAKE,2097767.415331814,0.0,0.0035883941536797802,460292.9031568378,205663.97069269064,254628.9324641472
4,AMPL,16562664.70386834,0.0,0.02908697539179853,3426266.9434565823,1667080.760451967,1759186.1830046154
5,COMP,1563928.7561224604,0.0,0.002308061644835877,265159.05352353223,132283.43993194454,132875.61359158772
6,TEND,38577.25925101037,0.0,2.521651008211231e-05,2262.7239719812555,1445.2502619285349,817.4737100527208
7,STRONG,913193.1247609054,0.0,0.010809745376041695,1202197.4872526764,619545.9754424948,582651.5118101817
8,WBTC,891206311.5324001,0.0,0.1734991190678934,18250730.554497562,10231191.630694741,8019538.923802819
9,CVP,1933318.6324737887,0.0,0.0008234557600510045,87075.70542298211,47195.25616442694,39880.44925855516
10,BOND,5233116.433677044,0.0,0.007939800060725104,1689119.179509135,625949.7903386811,1063169.389170454
11,FARM,16051836.816308968,0.0,0.011107027184616695,2054209.0526532214,875644.3845340272,1178564.6681191942
12,MKR,6075384.437220345,0.0,0.004751639669074218,544181.986721729,272333.81835731835,271848.1683644107
13,DPI,27579797.374451123,0.0,0.017651391397968494,2038919.2989966865,1011665.6887968406,1027253.610199846
14,HEX,6717038.903699894,0.0,0.02573435383134128,2522588.94085806,1474929.777916645,1047659.1629414152
15,AAVE,9099663.97709712,0.0,0.04429170289151478,4972104.599173725,2538519.20811672,2433585.391057004
16,LINK,25049698.334251743,0.0,0.02859987287765806,3214156.45798965,1639163.136884945,1574993.321104705
17,YFI,10302816.81006928,0.0,0.03964929543692096,4531009.097994755,2272445.886793859,2258563.211200896
18,WETH,2670069453.47786,0.0,0.6764963023507694,207985673.14413148,98448138.14800453,109537534.99612693
19,UNI,44788141.90010574,0.0,0.05568995725674445,6962475.405812177,3191794.7824608875,3770680.6233512894
20,CRV,556651.433162354,0.0,0.004803370163947024,549867.2326343362,275298.6818939887,274568.55074034753
21,KP3R,8504850.067594793,,0.08747014731645243,10157552.169979198,5013233.508846458,5144318.66113274
22,PICKLE,21450717.19373006,,0.0023147840575245314,630228.7486882374,132668.72594763056,497560.0227406068
23,ESD,2177588.090934945,,0.006989154220955202,1105858.8807648858,551003.751453669,554855.1293112166
24,CEL,5283474.681761052,,0.013978231532449058,1635482.6253787614,801143.4856667639,834339.1397119977
25,CORE,27195851.790834084,,0.006309212294030607,907852.8873362478,361603.9924161798,546248.8949200681
26,YFL,2031640.2574880868,,0.005280113687631088,602604.9246606608,302622.59389578504,299982.33076487575
27,SNX,3710244.844624044,,0.013736445638573626,1594592.5599840088,787285.8532935476,807306.706690461
28,OCEAN,2334628.503597992,,0.02357545744245437,2649750.8670326993,1351195.5434270236,1298555.323605676
29,YFIM,5825806.554273133,,0.03325003194105104,4059572.669372742,1905680.7312103296,2153891.9381624125
30,SMARTCREDIT,394409.980126253,,0.04404539451020178,4981775.027697971,2524402.3754761945,2457372.6522217765
31,YAX,1651253.583248884,,0.0030376788066393615,368487.1351502935,174100.4634125385,194386.67173775504
32,RSR,1803552.486139906,,0.005712306584583312,636943.3351906559,327393.146818802,309550.18837185384
33,REN,3777838.1927570687,,0.007030305870616981,727365.8239689218,402932.4981071305,324433.32586179127
34,ORAI,762987.2138454082,,0.006867138247941692,798872.1517018985,393580.7659030554,405291.3857988431
35,HEGIC,902080.3438250242,,0.04340989118139099,4948390.668969828,2487979.359387618,2460411.3095822097
36,BID,1002928.9554451132,,0.0035402210270638152,428324.4625211869,202902.99291928243,225421.4696019045
37,DIA,1665256.7908919223,,0.0026798804340199805,304121.69125469937,153593.7323041886,150527.9589505108
38,XOR,1227841.238890473,,0.0014659296793956846,160177.80914715765,84017.78224713804,76160.02690001963
39,CIBS,3066690.177189147,,0.0035168580795616688,360446.04138365557,201563.97709644228,158882.0642872133
40,LRC,4843342.408491893,,0.004351723753871782,489056.36531067116,249413.1771063072,239643.18820436395
41,SYN,167078.3185684635,,0.0006804549032197708,74711.68522070676,38999.35494265294,35712.330278053814
42,MTA,2385431.796241661,,0.001292459597233084,176799.09741988807,74075.57847407833,102723.51894580974
43,QNT,717949.9630778789,,0.0024642023821772807,277760.83611181664,141232.43568136496,136528.40043045167
44,ROOK,28198.14580291615,,0.0006687372622001726,73556.30534049132,38327.77415301413,35228.53118747719
45,Yf-DAI,1888681.5999207515,,0.005396685648514094,609218.798370423,309303.75859505124,299915.0397753717
46,SURF,2411886.1039385446,,0.001113758097600728,128042.62238656008,63833.54306516863,64209.07932139145
47,renBTC,4939527.520195281,,0.005521198090445974,621262.5415968932,316440.0212550739,304822.5203418194
