,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,92809291.63990384,1.0,0.46298994810082506,51269957.51674809,24997757.978069775,26272199.53867832
1,USDT,96517946.79608735,1.0,0.3973712325680949,39683829.32405853,19693785.306923375,19990044.017135154
2,DAI,51173653.94650555,1.0,0.17454236634301307,17012234.47259231,8424798.770693844,8587435.701898465
3,CVP,777939.1760538804,0.0,0.010833064466562493,1048297.8725235933,515974.9681312328,532322.9043923605
4,AMPL,18795505.58217593,0.0,0.10783622450424458,10629000.836796045,5136200.6266751,5492800.210120946
5,KEEP,1199032.0895616473,0.0,0.005424152524406833,591182.5807486152,258350.43579389376,332832.14495472144
6,MKR,1292432.759131529,0.0,0.0023499691466579323,233017.3519727365,111928.18609164604,121089.16588109046
7,BOOST,3898220.8168646265,0.0,0.00516841399819017,435652.52158890024,246169.70167919536,189482.8199097049
8,WBTC,44776305.906164296,0.0,0.07213779565379116,6889780.964423608,3435897.2872736137,3453883.6771499948
9,TEND,364434.75426819903,0.0,0.0020689567152307794,205965.05818707973,98543.664952901,107421.39323417871
10,STAKE,2396443.6885521226,0.0,0.013049265436520002,1335114.7001108262,621531.8240306675,713582.8760801587
11,FARM,11902331.586790772,0.0,0.049730564602863306,6182026.023744132,3588300.739218475,2593725.284525658
12,COMP,1525601.1065109386,0.0,0.01519133545841368,1443213.4652048736,723557.8495096955,719655.6156951779
13,LINK,20449993.423134957,0.0,0.05359781284830757,5305042.70042046,2552844.567820123,2752198.1326003373
14,WETH,415060346.1988792,0.0,0.7013902130413912,206709469.5983451,103504707.06011763,103204762.53822747
15,YFI,30532102.579894647,0.0,0.2096767145084573,19020292.216551676,9986826.57343149,9033465.643120186
16,SUSHI,1907954.980364196,0.0,0.08011548995370021,7576138.372075144,3815872.0003256486,3760266.371749495
17,CRV,1742318.8990969532,0.0,0.020151946790441924,1933359.4866381774,959829.9848648456,973529.5017733318
18,CREAM,12881589.987354068,,0.1386861309767086,13395885.557186745,6605570.5873278,6790314.969858944
19,sUSD,5729940.041145776,,0.030619615028268887,2920518.8085129056,1458401.2619113417,1462117.546601564
20,LEND,17637456.838843953,,0.0493245296254887,4697481.069127625,2349309.623343848,2348171.445783776
21,YFV,765844.2568865161,,0.05367354335007724,5116185.689773125,2556451.584408804,2559734.105364321
22,SNX,15107437.5676365,,0.04091444574543424,3704950.275439825,1948740.3499506984,1756209.9254891262
23,YFL,845349.9498775618,,0.02936108592301569,2787944.2707549194,1398457.9728282194,1389486.2979267002
24,BAND,736505.7535690995,,0.0073048147392108555,695707.3301026836,347925.70134726673,347781.6287554169
25,wNXM,1829568.2479516072,,0.030888329738801838,2878359.313302935,1471200.0470225688,1407159.2662803666
26,YFBETA,635058.8916669337,,0.027372026055959585,2573292.0509915445,1303719.7660462684,1269572.284945276
27,TRADE,2477800.9907644065,,0.011179373759565573,1011876.738014706,532469.5553251281,479407.18268957775
28,REN,1201990.537557537,,0.007094091457897558,678812.6143473077,337889.027172956,340923.5871743517
29,MTA,4606016.549524156,,0.011187018509264722,1043880.8930135549,532833.6720064733,511047.2210070815
30,DIA,919602.3463088032,,0.00669724259082531,639309.3688088474,318987.25822544144,320322.110583406
31,OM,1135693.4396749723,,0.008217579728691015,795898.8287376151,391400.3698320706,404498.4589055445
32,LRC,5852446.902473872,,0.022957364201811135,2199818.977727678,1093451.0081582998,1106367.9695693783
33,XOR,1645422.441554065,,0.0053191388829002045,463388.86060549587,253348.6737812164,210040.18682427943
34,BOT,1150306.6109113612,,0.020716690578554756,1960638.8784495757,986728.5285754692,973910.3498741066
35,RSR,1071215.4085947834,,0.00498277157087494,487099.4638185767,237327.6195690584,249771.8442495183
36,CEL,1195325.1841020044,,0.012555523290470815,1197737.1678709793,598015.0630200477,599722.1048509317
37,KIF,621811.6595094724,,0.002606568391071054,232671.03757254215,124149.91590477432,108521.12166776782
38,LAYER,626559.3533571531,,0.01091227220186523,1003265.6739731051,519747.60410369607,483518.06986940914
39,XRT,670062.4160950412,,0.0018393038326898598,190511.20330811085,87605.38067368757,102905.82263442328
40,YFFS,223177.52914992985,,0.0018640871288660018,312849.5734987717,156713.63749917693,156135.93599959477
41,DISTX,795274.6893045492,,0.003456384840818718,337854.6631463497,164626.36806006718,173228.29508628254
42,MEME,591918.0997899649,,0.005017110752296781,443566.6271368515,238963.18244182173,204603.44469502976
43,SWAP,2911781.806426828,,0.012160221476343372,1228460.9093803186,579186.9796484248,649273.9297318939
44,FSW,917201.404302652,,0.00550954606827889,541200.654717592,262417.69960590405,278782.95511168806
45,SHROOM,61262.59704004541,,0.0032021058582038277,283952.0722230906,152515.15148269385,131436.92074039677
46,HEX2T,734227.3753333999,,0.0025528900838294316,251365.85631235552,121593.23741792489,129772.61889443063
47,XAMP,892004.9312971041,,0.0012748699627664597,143928.99068759533,60721.59825507041,83207.39243252494
48,KNC,1037855.3391634688,,0.006878354172309559,659930.4953787406,327613.5377766197,332316.95760212094
