,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,387613910.3183268,1.0,0.4045126347992289,57539872.016463324,27534246.297975052,30005625.71848827
1,FEI,294416370.0503831,1.0,0.08289427969951914,12232042.247172397,4335313.036159761,7896729.211012634
2,USDT,298755400.7126955,1.0,0.37831767355783236,43475856.94910864,20401334.309694078,23074522.63941456
3,DAI,86169949.74560754,1.0,0.05939411780145393,7237473.030301727,3106270.9527029675,4131202.07759876
4,KUMA,9442934.183328882,0.0,0.00410144891028761,426289.0378334293,214502.9185652744,211786.11926815487
5,TOKE,190129494.64618328,0.0,0.016803667860462324,3180155.6251959438,878820.1139430836,2301335.51125286
6,KISHU,6074014.642600873,0.0,0.0083225294051646,863435.6031231283,435262.4855999815,428173.1175231468
7,DAO,4215147.192485772,0.0,0.005556427174323957,1098587.4679064571,514168.83268429904,584418.635222158
8,BOND,24725060.85941893,0.0,0.0052662340856676005,1099236.3858370557,487315.5622343645,611920.8236026913
9,LINK,66150442.02905237,0.0,0.013071464229355957,1695032.87348229,683628.4660490481,1011404.4074332418
10,DERC,7688922.210612365,0.0,0.011015013269717782,2022617.4123143866,1019283.8558316854,1003333.5564827012
11,UNI,89936854.72520818,0.0,0.01341465517553871,1577380.371459975,701577.1132689917,875803.2581909833
12,KIBA,3146320.831365756,0.0,0.015810046481913722,1688304.3846738585,826854.4085766368,861449.9760972217
13,GRO,6400593.02176314,0.0,0.0011292605770297519,218927.65888354476,104497.11198787235,114430.5468956724
14,WBTC,174031817.29143265,0.0,0.030648466078142488,3343653.4852032904,1602893.4084295114,1740760.0767737792
15,SUPER,43165215.82127156,0.0,0.02398647879041017,2389157.5348967873,1254476.1178766591,1134681.4170201283
16,ICE,6148298.093322476,0.0,0.017575581657280716,2037129.6526695883,919190.667354838,1117938.9853147503
17,AMPL,14275016.1047235,0.0,0.003373445603114412,452165.38207190984,176428.85314850765,275736.5289234022
18,AMP,8086476.207455058,0.0,0.11166134673743201,11749534.701243129,5839810.586456574,5909724.114786556
19,NTVRK,4153462.2823988576,0.0,0.029547148153202245,3058978.16552852,1545295.248770521,1513682.916757999
20,KEEP,14708022.986677226,0.0,0.018342836415907653,2211164.6302244933,959317.5563173608,1251847.0739071325
21,eXRD,6957167.662565061,0.0,0.004612864244388948,832785.6586871261,426855.41436206055,405930.2443250656
22,AUDIO,10679495.625902211,0.0,0.008291317093111964,956737.2800324002,433630.10344018845,523107.1765922117
23,HEX,24706059.692475133,0.0,0.05609877613091957,8906681.456506625,4242585.483845782,4664095.972660844
24,SAITAMA,28499875.71844693,0.0,0.0727922634881496,7545060.856826482,3806984.631215528,3738076.225610954
25,SAND,73303529.83268623,0.0,0.34301436007428937,34307140.349730805,17939411.88958411,16367728.460146695
26,ELON,37650111.74675504,0.0,0.02619899922216126,3177931.9421146065,1370189.39393515,1807742.5481794567
27,SHIB,10510315.26908358,0.0,0.0186274365850432,2064939.4311431788,974201.9467459768,1090737.484397202
28,STARL,25498325.531223405,0.0,0.0698201654670356,7422641.013797497,3651545.976794669,3771095.037002829
29,UFO,33713604.61565282,0.0,0.05658675108018924,6712523.556596721,2959447.630417072,3753075.926179649
30,FLOKI,16736095.203527397,0.0,0.05459591698622433,5461698.602119068,2855328.395269808,2606370.20684926
31,STRONG,11310357.803541511,0.0,0.04463820387115572,4794397.3208462875,2334546.941657071,2459850.379189217
32,WETH,1876571402.563346,0.0,0.715725206591117,253692451.6226331,133379548.64143963,120312902.98119345
33,WILD,5492225.782633592,0.0,0.029568253919244294,3219365.60095496,1546399.065620029,1672966.5353349308
34,MANA,10835131.361186111,0.0,0.050064270958268625,5122235.256507803,2618326.467374749,2503908.7891330537
35,PYR,4490926.302398494,0.0,0.04637318926828618,4847505.782762437,2425285.468332154,2422220.314430283
36,Mononoke-Inu,1644479.2226965472,0.0,0.006189383381535182,676151.5926790375,323700.4357481108,352451.1569309267
37,WAXE,42005110.83548584,0.0,0.04291355914509196,3890307.9608260784,2244349.2248694813,1645958.7359565971
38,REQ,8374675.419809913,0.0,0.03525535920403187,4114624.039418646,1843830.7070858225,2270793.332332824
39,WOO,14562329.61173114,0.0,0.0348498278658487,3718155.773258958,1822621.7008266512,1895534.072432307
40,POLC,4976301.056847844,0.0,0.01963697440447707,2066687.4695403948,1027000.0708741136,1039687.3986662813
41,VEMP,14601595.28427584,0.0,0.016800387657988566,1828711.304827172,878648.5616405885,950062.7431865836
42,Shiryo-Inu,1432838.3483795084,,0.007199371250392326,810041.242524158,376522.0971473193,433519.1453768387
43,EPIK,2331881.1131339665,,0.015851870026431687,1621954.8077365723,829041.7507964438,792913.0569401284
44,PBR,4148245.363132876,,0.006321177473557411,709218.8962706535,330593.17487683875,378625.72139381466
45,KYL,3456151.969862395,,0.00698538317646667,755733.275388055,365330.6700689364,390402.6053191186
46,DYP,2419707.3687919998,,0.04972286962827733,5224692.176664714,2600471.415833935,2624220.760830779
47,⚗️,27503146.600531727,,0.002561240245204345,349457.74477760785,133951.07918207816,215506.6655955297
48,BEZOGE,6162747.997993352,,0.015330466403578937,1738391.264123194,801772.704832734,936618.55929046
