,token,total_tvl
0,USDC,1142539348.473329
1,DAI,352450696.9925604
2,WETH,1901124881.8909402
3,WBTC,577382509.3950222
4,FEI,39033085.3733449
5,GALA,4644828.008783793
6,ETH2x-FLI,48834535.47551135
7,FRAX,154925825.5517654
8,SHIB,64479530.47546297
9,SPELL,14415483.275161795
10,SAND,4473952.294290643
11,HEX,31925769.105915207
12,1INCH,3052185.8125491873
13,OHM,8032691.738479109
14,LINK,41196059.745599695
15,RBN,42709589.4528043
16,STRONG,2156175.175645516
17,MATIC,21516078.784151547
18,AXS,21020837.99398241
19,DYDX,10476315.666351035
20,FTM,29638843.313087724
21,Metis,4564724.558170899
22,LUSD,173788.5748699904
23,PILOT,16232963.931665365
24,BAT,6505982.676816498
25,XYO,4846675.456419336
26,UNI,69999967.46265486
27,RPL,38483823.90469675
28,LCX,17967000.2201156
29,TKING,5006900.0638153935
30,FXS,5270395.964754409
31,USDT,350561283.54173225
32,UST,5443694.341403559
33,ICE,8446140.947759219
34,NCR,251254.68536698126
35,ENJ,3956985.7505141194
36,EURS,13244318.50947034
37,SLP,3995530.4805557407
38,EURT,3532387.8526701834
