,token,total_tvl
0,USDC,841625124.6030208
1,WETH,1154777729.63745
2,WBTC,366373018.48902076
3,AGLD,19843845.317031898
4,DAI,158999359.99078125
5,HEX,38981160.90724092
6,FEI,7397746.831181038
7,UNI,64447569.98390005
8,AXS,14602943.092087207
9,LINK,44820822.61555329
10,ETH2x-FLI,22402022.108290076
11,FTM,14041783.157604571
12,EURT,6760097.833660581
13,QNT,4713457.323494721
14,DPI,16143805.251988782
15,PERP,13723051.52138722
16,GALA,2259764.1194567475
17,MATIC,9943386.231160592
18,VXV,4858717.118097798
19,XYO,2576871.5888512703
20,RARE,3331276.62525286
21,FRAX,99812389.73773816
22,SUSHI,2723190.5807831744
23,COMP,17619830.774143577
24,SHIB,2925235.267047115
25,FTX Token,5347203.131592806
26,PAX,81700197.33035985
27,Metis,2330849.087485353
28,CEL,5539289.785766906
29,LYXe,3874694.81001326
30,RAI,4040110.1267438415
31,MCB,3260715.61520336
32,RUNE,4631367.13248845
33,USDT,340505403.2878034
34,UST,4160747.085934058
35,SLP,2160461.9897409882
36,EURS,16792124.84847115
37,renBTC,13996971.758502916
