,token,total_tvl
0,USDC,1672618957.9953012
1,WETH,1337892574.4956374
2,WBTC,455278219.84603196
3,DAI,538432301.0815835
4,FEI,58327018.22736404
5,Metis,8394684.852325384
6,FRAX,275350325.24692833
7,STRONG,5787528.44935724
8,MATIC,25625357.96208028
9,EURT,22947689.644857515
10,HEX,52756582.78857977
11,LINK,16622426.032014852
12,GALA,5502571.6069746455
13,agEUR,44532381.39114624
14,UST,31089164.417668533
15,ETH2x-FLI,18028732.1629924
16,PAX,75228280.86580643
17,Nvir,3013213.78919302
18,FTM,28367003.809317376
19,RAI,22504994.298386127
20,SAND,11789611.506269705
21,FXS,5042633.586917304
22,SHIB,5295991.562639982
23,MKR,14163047.040571712
24,oneUNI,2023780.4634961365
25,USDT,433630653.5772544
26,LOOKS,16012368.862746593
27,WRLD,1788675.0321953103
28,BTRFLY,4423088.915803725
29,NCR,1851572.8678219884
30,EURS,13115357.720477065
