,pairAddress,token0,token1,dailyVolumeUSD,createdDate,totalSupply,pooledToken0,pooledToken1,totalLiquidityUSD,txCount,mintsCount,burnsCount,swapsCount
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},14259588.674481528,2020-05-05 21:22:25,0.798559552598660555,55884221.802273,45694.109347304886382758,111766631.8170906895492319948427994,3601884,33960.0,24354.0,3543570.0
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},8915421.736887913,2020-05-19 02:07:09,0.192938956020004627,11478.61805995706495958,14045782.361387,28075207.14847158604931903562713265,4263365,39000.0,28344.0,4196021.0
2,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,{'symbol': 'USDC'},{'symbol': 'CAW'},3751112.345892721,2022-04-17 06:53:12,17000.216889656730319826,5343497.081035,75484364722752.905228071170295628,10686984.24887091685212923718505513,53770,16.0,13.0,53741.0
3,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},1119701.4280241912,2020-05-11 03:30:13,112482.711408429960216712,6710305.015610226628917332,5493.752043956895804853,13434895.42523481265480826318020618,1394575,37255.0,26294.0,1331026.0
4,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1441067.6041500384,2022-02-01 20:00:52,13134508.551738063695086907,1625.642910211028562495,198561715826.226880992073776769,3976262.16450894273044695323905543,113058,131.0,80.0,112847.0
5,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1378299.8000773394,2020-09-17 01:20:37,47596.559488902076523489,1518082.635756234717278061,7157.412775688694586906,17503354.97256230249581469186677377,684122,32366.0,23850.0,627906.0
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},707432.4023273125,2021-05-30 13:24:31,87.899064537275417404,75321232395496.955229771,3.194459182030906055,7812.497288922505689504915075340382,1012397,212.0,136.0,1012049.0
7,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},2929790.0114714336,2022-02-15 04:26:25,122511.126380591678266996,11820035.161662828610338314,1945.905292777930795473,4758609.150798406723226255656111328,93134,37.0,27.0,93070.0
8,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1145358.7492023672,2021-04-23 02:09:59,141935243.012693451154683541,14723724882812.839939335854880448,4691.452052882994964757,11473331.13444471406233449990175956,384485,468.0,365.0,383652.0
9,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},1257768.3709635965,2020-05-18 18:49:49,0.144150120983796922,8573761.92670242,345.640859929274341626,845293.0979281376109689129192522258,496465,2097.0,1565.0,492803.0
10,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},472792.3120585916,2020-05-18 22:23:57,0.000006102772619755,7513381.294108,7523569.905336,15036747.03021399674950393688125469,415598,5847.0,4407.0,405344.0
11,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,{'symbol': 'PAXG'},{'symbol': 'WETH'},826884.0032818473,2020-05-21 00:27:50,4883.160421576635281518,4958.823400057032810154,7398.909565185031150441,18088275.25843253609268870459342218,35462,350.0,216.0,34896.0
12,0xec54859519293b8784bc5bf28144166f313618af,{'symbol': 'DAI'},{'symbol': 'O'},882879.8896446851,2022-05-17 18:17:23,325808749.640185294185952083,1481864.046260789956338366,78503505581.272626859120894658,2965108.304351871841094078508973054,7792,1.0,0.0,7791.0
13,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},1114783.1698691847,2022-03-17 05:45:18,139547708.508189323870899468,23836191801422.682102244120178473,1081.62579242367294172,2645616.505049656638441028668486747,30517,40.0,24.0,30453.0
14,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},584836.6511413673,2021-07-01 03:51:52,12281085.902347474679329479,444817640456.189781947362200527,1498.428773845499854167,3662203.620839703885989650424440045,189809,211.0,148.0,189450.0
15,0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,{'symbol': 'WETH'},{'symbol': 'LOOKS'},977645.7860566797,2022-01-10 08:26:42,2784.819924863521185726,115.356711543142799047,394458.367349353269327249,281806.962439581242670313917315067,181949,2071.0,1427.0,178451.0
16,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},598766.959574306,2020-07-31 21:42:11,643088.564401950332070869,64345988227.910977385518020183,599.156026950077023434,1464872.747687762818074118108938893,1312128,3516.0,2687.0,1305925.0
17,0x453a43e2bf3080f7a23c9bb034ccdd869e306102,{'symbol': 'WETH'},{'symbol': 'STRNGR'},191076.33152498445,2022-04-05 23:04:50,3559.404582147258913611,244.137370902566698815,68259.128418136891683688,597153.8133956227180283054214534399,89016,172.0,59.0,88785.0
18,0xc2adda861f89bbb333c90c492cb837741916a225,{'symbol': 'MKR'},{'symbol': 'WETH'},150723.82396461995,2020-05-18 18:52:35,590.679710935603324404,845.926961623818053112,714.762109255901276419,1736458.970184359736978321069447889,133622,1880.0,1520.0,130222.0
