,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},16572525.343401637,3742,74324581.852926,31716.190194112136794755,228550430.6932584458748725316790892,4.0,15.0,3723.0,1486.0,33597041.860988095,2237.0,40746525.81414766,74343567.67513576
1,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1486898.422090688,691,1436.008234779459237881,166115618707.277484875730672889,6934683.435952185486431774018437886,0.0,0.0,691.0,464.0,1649043.9699771432,227.0,1735329.7044089993,3384373.6743861428
2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},13787893.4118867,2771,15539.509092718719511007,36432864.165959,117607232.450918912905274075863923,1.0,7.0,2763.0,1531.0,20054822.393529594,1232.0,16389324.571417948,36444146.964947544
3,0xb011eeaab8bf0c6de75510128da95498e4b7e67f,{'symbol': 'APE'},{'symbol': 'WETH'},21118949.138435688,670,441075.807311703197298257,1827.12879936118524006,4358666.24456385556772221384331937,0.0,0.0,670.0,342.0,2273055.0699660806,328.0,2024589.3472080838,4297644.417174164
4,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1837083.72548122,447,9490621959664.312545867206286999,2760.062055394435746127,19906867.16379039256676505064970666,0.0,0.0,447.0,205.0,3440105.82849282,242.0,3227277.090122099,6667382.918614918
5,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},1189414.581417792,232,22252096406936.238785457699268375,1218.4955371462717748,4808621.688703069546344299999902575,0.0,0.0,232.0,125.0,1507985.1406476425,107.0,1377692.1967006112,2885677.3373482535
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},829539.5196851678,1008,460630065641806.831064972,904.064148902704767161,7649430.603011250374404237131433371,0.0,0.0,1008.0,228.0,1218710.3561126736,780.0,933340.6166294594,2152050.972742133
7,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},812463.9872328307,92,91.215745739209269486,995.274009963065772874,9242411.759520126861203896289860666,0.0,0.0,92.0,52.0,1357008.3911027736,40.0,1035977.013468581,2392985.4045713544
8,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},2490974.2927056868,618,7239752.315436389850016825,3083.185522216388003039,19305075.21049970764338779544933408,3.0,0.0,615.0,296.0,3342006.32332443,319.0,3943669.9720855244,7285676.295409954
9,0x470e8de2ebaef52014a47cb5e6af86884947f08c,{'symbol': 'WETH'},{'symbol': 'FOX'},192054.6740934341,72,266.31155874719467415,2974176.575285358722648731,17199081.46084889055591570455709715,8.0,5.0,59.0,34.0,346169.66901680495,25.0,275552.4733191471,621722.142335952
10,0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,{'symbol': 'WETH'},{'symbol': 'LOOKS'},839047.4421875258,452,310.38519014477985645,671980.984246798721154835,535578.7466183231735548116541264472,0.0,0.0,452.0,158.0,358739.5669863787,294.0,377863.9937458216,736603.5607322003
11,0xc0bf97bffa94a50502265c579a3b7086d081664b,{'symbol': 'STRONG'},{'symbol': 'WETH'},200537.44978142795,96,8186.065980010831742637,63.160850648338893138,1236231.865168217676114455581636069,0.0,0.0,96.0,68.0,85593.27039740587,28.0,67865.89838311017,153459.16878051602
12,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},523971.0720403643,421,114204265542.049961315212007077,770.040370847484562114,4535035.510259356127450200693333158,0.0,2.0,419.0,205.0,1002855.7732464337,214.0,813952.615824838,1816808.3890712718
13,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},826107.9470167655,243,898797.668293,899601.45999,31732853.37322738528698824029135537,0.0,1.0,242.0,131.0,450892.7261190621,111.0,448281.1302527383,899173.8563718004
14,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},1446799.3058740809,345,13233724.086383827464249575,1253.2427622462101867,6210423.500367934208271362015151107,0.0,0.0,345.0,227.0,1553837.304576424,118.0,1425246.5600273577,2979083.8646037816
15,0x05be6820730b30086d6355c44c424230aaff41fb,{'symbol': 'WETH'},{'symbol': 'VEMP'},151005.5442348234,39,63.179760563567360861,2358065.05487473315465645,3819605.828204103835564573945249708,0.0,0.0,39.0,15.0,54272.5317296395,24.0,96199.6512713417,150472.1830009812
16,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},4125362.747006332,197,773104.753005307282088019,2143.58460994726307814,24133713.6068227288135334322358921,0.0,2.0,195.0,100.0,2682676.603868582,95.0,2303962.4502221765,4986639.054090759
17,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},2312116.139487418,182,200179081038.536244836661927912,531.15290547035734642,5723740.067965439158939186271727212,0.0,0.0,182.0,81.0,734205.854413758,101.0,532871.3529003671,1267077.2073141253
