,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},7647618.859660115,3560,7652290.083735,6005.967654045746817057,88601690.36987533027872132464618931,2.0,4.0,3553.0,1657.0,4497759.003162402,1896.0,3149858.9782281336,7647617.981390536
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},2781267.8471392477,1830,2188.091230406952985022,2781753.802954,30579582.22025452157510773114016084,2.0,3.0,1825.0,865.0,1153962.7087502256,960.0,1627305.1383890244,2781267.84713925
2,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,{'symbol': 'PAXG'},{'symbol': 'WETH'},626138.9657404225,121,358.602282602781442827,494.086232121995852335,5917321.74284814748200143114765873,0.0,1.0,120.0,56.0,412134.181972054,64.0,214004.78376836848,626138.9657404225
3,0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,{'symbol': 'WETH'},{'symbol': 'RGT'},2305222.4805329167,4,3646.059455612785994468,3021.875194118491288506,583.2815964949144456357898202246982,0.0,0.0,4.0,2.0,2310071.72786549,2.0,1157761.368432464,3467833.096297954
4,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},754034.9816876192,311,753878.022839414591913577,594.056664054369743708,13702316.33512412455791055230530995,1.0,1.0,309.0,155.0,482239.2545704567,154.0,271795.7271171628,754034.9816876195
5,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},678098.5987450505,1322,118376.059132977504206429,536.447395621485674631,9978717.201446331019731796514730869,1.0,2.0,1316.0,96.0,330651.8873632931,1220.0,347427.8757600214,678079.7631233145
6,0x67cea36eeb36ace126a3ca6e21405258130cf33c,{'symbol': 'USDC'},{'symbol': 'TSUKA'},709243.281242201,289,709215.958108,7740949.054936956,2112626.838586161713474750501366643,0.0,0.0,289.0,150.0,370755.03850799694,139.0,338488.24273420393,709243.2812422009
7,0xf04543fbf20daee9b0357db966428ef2a4ae0f5a,{'symbol': 'FTX Token'},{'symbol': 'WETH'},0.0,5,217.984035853738386888,0.242567469984346438,4208.980368618278028153366244997823,0.0,0.0,5.0,3.0,154.913306027015,2.0,155.85224774244085,310.7655537694559
8,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},686722.670668777,286,2176774652650.699881405333685393,535.563221348251256914,11124127.34567331380678255363512239,0.0,0.0,286.0,126.0,256990.10974606755,160.0,429732.56092270947,686722.6706687771
9,0x9112d1761124d4ec7aca02014d6e215970f87e33,{'symbol': 'SHIT'},{'symbol': 'WETH'},2302392.3848146154,5,22930496389.231417263314564351,3626.68032892523164808,156.3122608440788544104847886353602,0.0,0.0,5.0,2.0,1151278.4199038292,3.0,2302409.344429353,3453687.764333182
10,0xd17e88b13e53029f356d46aba44b5640b35c8e9c,{'symbol': 'WETH'},{'symbol': 'WCI'},176318.922897707,336,138.568373635921988135,68775709.47171917,524385.9956118832120273501914807828,15.0,0.0,321.0,142.0,63871.12451768497,179.0,112447.79838002208,176318.92289770706
11,0xa40bb1c47f6dd27142a2bd7c93bfa98db9d1f5c5,{'symbol': 'MASK'},{'symbol': 'USDC'},413366.187875677,243,118440.085539337598563292,413371.906518,1243793.473344564641175060441579813,0.0,0.0,243.0,102.0,175133.09176764885,141.0,238233.0961080282,413366.187875677
12,0xf2f98cbd5d84640a2c5cfda5c996cd830067bc95,{'symbol': 'RAD'},{'symbol': 'WETH'},0.0,1,33.143727607558120976,0.04386616838769916,5267.847829350861657314911921285012,0.0,0.0,1.0,1.0,55.39243708824901,0.0,0.0,55.39243708824901
13,0x1f1838c3b8d9480779557876f868e36a9bc52ccb,{'symbol': 'CWEB'},{'symbol': 'WETH'},1461273.292220899,4,89753.208073778056433626,2301.113058176311245907,1888.687291177039323843004078711856,0.0,0.0,4.0,1.0,731092.1573617974,3.0,1461394.8278204624,2192486.9851822597
14,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,{'symbol': 'LINK'},{'symbol': 'WETH'},86689.22741899814,80,11548.7761074448419888,68.149359198357703449,2187503.603241270647394317639936326,0.0,1.0,79.0,36.0,47780.86511478526,43.0,38908.36230421289,86689.22741899814
15,0xe0a97733f90d089df8eee74a8723d96196fc4931,{'symbol': 'BLXM'},{'symbol': 'WETH'},1494270.1357769351,12,14400.978227588887394516,2301.215167607288040746,2167.076359987288348549667046512764,0.0,0.0,12.0,5.0,748157.5755977728,7.0,1494898.5586631133,2243056.1342608863
16,0xebd54ad6c1d4b079bdc20ecf36dd29d1d76c9977,{'symbol': 'WETH'},{'symbol': 'URUS'},5647237.93848625,174,4379.504214156193609777,50109.2818375924140566,1584464.472542656421808563764216125,1.0,0.0,173.0,93.0,2823369.5623777052,80.0,2823868.3761085444,5647237.93848625
17,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},493490.0539116104,132,122624.978967600962444301,493466.868031,3295261.813166912294957858504763382,0.0,1.0,131.0,62.0,224696.86367589593,69.0,268793.1902357144,493490.0539116104
