,token,total_tvl,stable,eigenvector_centrality,betweenness_centrality,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,2870849249.997463,1.0,0.698045494666895,0.3620580808080808,36,18,18,604673590.3725746,304933657.5977194,299739932.7748552
1,agEUR,17629665.200622868,1.0,0.001857321423851436,0.0,4,2,2,1334396.521754698,676202.856935349,658193.6648193488
2,TUSD,10084620.700911611,1.0,4.748355610467903e-05,0.0,2,1,1,405348.40171851584,17255.228549127834,388093.173169388
3,USDT,336964783.1170983,1.0,0.12811248273346212,0.0,10,5,5,94341461.93998593,46943622.7879622,47397839.152023725
4,FEI,273812.10064457706,1.0,0.0008662969608069929,0.0,2,1,1,697796.9586360455,314806.9200465395,382990.038589506
5,PAX,18486964.443835422,1.0,0.00189310813143755,0.0,2,1,1,1349612.3256543628,692138.4686457583,657473.8570086044
6,BUSD,24757983.055318505,1.0,1.0194244309593159e-06,0.0,2,1,1,11481.268345999999,370.452489,11110.815857
7,DAI,1871949882.4998243,1.0,0.04861110507486975,0.06060606060606061,12,6,6,33451446.363352705,18041751.819255464,15409694.544097241
8,FRAX,125986889.6069102,1.0,0.006888101524438332,0.0,4,2,2,4525593.890655,2503093.1931890002,2022500.697466
9,UNI,22471380.606821336,0.0,0.006832710321169343,0.0,4,2,2,5656909.109384339,2497824.999872437,3159084.109511902
10,renBTC,7621366.406237839,0.0,0.0001221228044829845,0.0,2,1,1,371344.652429467,281334.1531482372,90010.49928122982
11,oSQTH,2622141.945069737,0.0,0.0019611691215979,0.0,2,1,1,1516235.7883794233,717022.2186660931,799213.5697133302
12,ENS,5428865.301167424,0.0,0.0023577447591129146,0.0,2,1,1,1771325.9835995291,862014.070897668,909311.9127018612
13,LOOKS,16794271.357295852,0.0,0.004008736103788435,0.0,2,1,1,3222888.6561728325,1465632.322847894,1757256.3333249383
14,WBTC,502497954.0840317,0.0,0.11011222025368654,0.11931818181818182,12,6,6,87790375.87340674,40523055.5678976,47267320.305509135
15,QNT,2229506.401444621,0.0,0.0003805754479282582,0.0,2,1,1,296857.8539828261,139142.02963844436,157715.82434438175
16,Metis,4330552.5328161055,0.0,0.0009783436046811934,0.0,2,1,1,723897.5437012267,357691.7943082281,366205.7493929986
17,SHIB,3896956.46631114,0.0,0.0015330312048267012,0.0,2,1,1,1132932.283233987,560490.8947748201,572441.3884591669
18,MATIC,14713062.89313639,0.0,0.007090968396937404,0.0,2,1,1,5060480.116673259,2592525.976709475,2467954.139963784
19,APE,24439090.081431244,0.0,0.00991823608314948,0.0,2,1,1,6925417.516482697,3626202.127738706,3299215.388743991
20,AAVE,4474802.482547824,0.0,0.003957823488800766,0.0,2,1,1,2777706.0844834233,1447018.1830705071,1330687.901412916
21,HEX,15163517.004086936,0.0,0.0077352276862992925,0.0,2,1,1,6553603.7048659995,2810933.5642989995,3742670.140567
22,RAI,3478133.133319527,0.0,7.2798519630788874e-06,0.0,2,1,1,118116.91453898122,37988.16030399137,80128.75423498986
23,MKR,13585198.678646404,0.0,0.0035111885001961685,0.0,2,1,1,2663713.925786156,1283724.152516849,1379989.773269307
24,WETH,1548563120.6550353,0.0,0.6938149302053295,0.7995580808080809,60,30,30,650535031.416219,325677815.3858446,324857216.03037435
25,LINK,13245583.43295586,0.0,0.0053059523681135475,0.0,2,1,1,4048702.0504569616,1939907.0162911403,2108795.034165821
26,CRV,7798422.49350192,0.0,0.0008440833803208951,0.0,2,1,1,711320.2352836148,308604.9700821979,402715.2652014169
27,LDO,9286850.710708965,,0.0015021940290130956,0.0,2,1,1,1556436.6906626693,549216.5278802057,1007220.1627824636
28,FUN,17449335.03133164,,0.0033988297823917936,0.0012626262626262625,8,4,4,3458497.356254814,1705413.419644323,1753083.9366104912
29,USDD,10922589.293280913,,0.005421906805495994,0.0,2,1,1,3761618.352492,1970287.164147,1791331.188345
30,BIT,38595921.50720614,,0.0003526727052057591,0.0,2,1,1,317162.073909964,128940.51959350715,188221.55431645687
31,SHIT,1435431.245751337,,0.0002980365232570034,0.0,2,1,1,202057.82646740496,108965.00806375954,93092.81840364543
32,BTT,25218870.86542195,,0.0036266993303076802,0.0,2,1,1,2060842.638984756,1325956.01858811,734886.6203966459
33,BADGER,7223174.65104238,,5.9697873377748264e-05,0.0,2,1,1,332060.2863488818,137525.9168226552,194534.36952622657
