,token,total_tvl,stable,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,1934608490.705775,1,0.7036402425969341,825389393.683491,439996060.2437671,385393333.43972397
1,PAX,10022257.81833576,1,6.761432728144696e-06,196495.24348681065,26250.278412243788,170244.96507456686
2,FRAX,431695275.8191277,1,0.012816151421905165,20254346.158396333,7663472.672733294,12590873.485663041
3,UST,17873674.690754913,1,0.039967841309824954,40119923.774358004,19513053.577357,20606870.197001003
4,USDT,517549426.9456903,1,0.18868609836211556,180485607.52701387,97954433.43832289,82531174.08869098
5,XSGD,2405203.8572201566,1,0.00032976273007458303,237089.4440270738,170190.6057756144,66898.8382514594
6,DAI,588111780.3665992,1,0.08848507673223531,80910246.50879176,47604989.13874878,33305257.370042983
7,TUSD,10003484.571266323,1,-4.380803951002743e-17,72116.38940121898,0.0,72116.38940121898
8,FEI,77377526.35791016,1,0.00821462018317198,9931163.389748462,5630944.040483721,4300219.349264741
9,MKR,16590125.528811472,0,0.005523320980565166,5480047.432417804,2850586.976165784,2629460.45625202
10,ENS,6695304.64386282,0,0.0004003235622518618,451038.6393630929,206607.0642685212,244431.5750945717
11,renBTC,7765293.489398702,0,1.3047175621223102e-05,708941.1953291825,37456.79726673307,671484.3980624495
12,LOOKS,26325371.62459539,0,0.01628010500845223,17614492.344961967,8402165.195722016,9212327.149239952
13,GNO,30650206.51924164,0,0.0010653444475650497,1182346.792785138,549824.4657598409,632522.327025297
14,CNV,583094.5974762624,0,0.00033531831923853375,309643.221843102,173057.8463671401,136585.37547596192
15,WBTC,518276941.05044335,0,0.11966057410415726,129337029.96837041,62394148.553333186,66942881.415037215
16,STG,3045178.844733848,0,0.0023139578736232906,2464636.8460230576,1159338.6188746076,1305298.22714845
17,Metis,9263010.022227038,0,0.0007996903388035049,1182751.7777238595,412720.33126089687,770031.4464629628
18,FXS,8393046.23043962,0,0.0010098513577822823,1282584.2133356724,521184.4718940974,761399.7414415749
19,UNI,26038389.41755625,0,0.004790820352996884,4531673.664900887,2472543.2672583587,2059130.3976425284
20,APE,62224514.87701532,0,0.04232091461706646,48204074.18825938,21651156.42563627,26552917.762623113
21,SHIB,9779527.519391472,0,0.004835999944316356,5156255.330370089,2495860.4626661143,2660394.8677039742
22,NEXO,7836500.6460137265,0,0.0008691572821618588,771794.3615308142,448572.23353270575,323222.12799810845
23,MATIC,24529573.99916752,0,0.0023959835903803466,2641492.827870113,1236567.5726392823,1404925.2552308303
24,ETH2x-FLI,24687170.83425292,0,0.0006894191787860106,1373528.3720087612,355809.3652498754,1017719.0067588858
25,SHI,1121808.0376903163,0,0.0015005115436805274,1679779.6628802079,774414.2842780767,905365.3786021312
26,LINK,20783542.510507207,0,0.0050478178789048365,5234979.809466465,2605179.7377509465,2629800.071715519
27,WETH,1759179459.9675446,0,0.6656274139680766,1019675783.2982774,475838764.8954518,543837018.4028256
28,HEX,46253413.5773785,0,0.008558195238596413,8020501.274695469,4298391.161220079,3722110.1134753902
29,WRLD,1470122.9482006012,0,0.0011238934866928953,1147813.37455799,580041.6356458376,567771.7389121525
