,token,total_tvl,stable,eigenvector_centrality,betweenness_centrality,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree
0,USDC,2889163814.524906,1.0,0.6879877209127295,0.5511363636363636,36,18,18,686121351.8451815,345014111.83276176,341107240.01241964
1,agEUR,17657649.550751302,1.0,0.001108187554819035,0.23863636363636365,4,2,2,897900.9269597909,462820.675750492,435080.25120929885
2,TUSD,10084594.960755143,1.0,7.714647125468623e-05,0.0,2,1,1,606611.3306260817,31998.76565427337,574612.5649718083
3,USDT,335310463.3942563,1.0,0.18385681353494676,0.0,10,5,5,147106297.87401444,76786946.64048842,70319351.23352602
4,FEI,273726.1764099731,1.0,0.0005005847164733632,0.0,2,1,1,468935.09141613764,207632.21923245123,261302.8721836864
5,PAX,18494820.50984184,1.0,0.0021636754852595095,0.0,2,1,1,1671857.5222534402,910207.4867971578,761650.0354562824
6,BUSD,24757984.281345185,1.0,3.1890271738770375e-07,0.0,2,1,1,465.73935500000005,132.274272,333.46508300000005
7,DAI,1883595926.608927,1.0,0.022036630014644634,0.06060606060606061,12,6,6,18152195.62036869,9757833.559070501,8394362.061298188
8,FRAX,125986792.58099814,1.0,0.006218802860352027,0.0,4,2,2,4313415.781634001,2579431.2058920003,1733984.5757420002
9,UNI,22088602.82036139,0.0,0.00591490467962411,0.0,4,2,2,5240999.307690276,2487740.4240040286,2753258.8836862477
10,renBTC,7880864.699072119,0.0,4.36376820685973e-05,0.0,2,1,1,875819.0483114605,69791.34777919542,806027.7005322651
11,oSQTH,2639555.2563983896,0.0,0.0017454625863971927,0.0,2,1,1,1638644.2521834553,734275.1373238551,904369.1148596002
12,ENS,5484743.05558603,0.0,0.0020187875062053075,0.0,2,1,1,1639223.0759540205,849256.5150916113,789966.5608624092
13,LOOKS,17195173.107118946,0.0,0.0049071413604655,0.0,2,1,1,4093588.57723321,2064319.180716722,2029269.396516488
14,WBTC,500756198.36294776,0.0,0.17842591623412943,0.11931818181818182,12,6,6,140015238.64972073,76450508.73457001,63564729.91515071
15,QNT,2271394.198594751,0.0,0.00043176265071961483,0.0,2,1,1,353398.3339731399,181632.4120145324,171765.9219586075
16,Metis,4367159.578638375,0.0,0.0005263918884108655,0.0,2,1,1,511177.36031004495,221440.7109961741,289736.6493138708
17,SHIB,3889181.855000952,0.0,0.0011108956161259302,0.0,2,1,1,895944.0797568912,467327.70867748687,428616.3710794044
18,MATIC,14413072.795712825,0.0,0.0028309199086120353,0.0,2,1,1,2102224.9086556938,1190901.5528882835,911323.3557674102
19,APE,24315490.31321637,0.0,0.006629550140638388,0.0,2,1,1,5383944.9930429105,2788896.1229242,2595048.870118711
20,AAVE,4348176.960514193,0.0,0.0008852399851376587,0.0,2,1,1,714098.4724406113,372399.6817331514,341698.79070746
21,HEX,15049808.242700776,0.0,0.012283230150795984,0.0,2,1,1,9416857.385645002,5094830.608334002,4322026.777311001
22,RAI,3568684.032414244,0.0,2.139284387577414e-06,0.0,2,1,1,267896.90131698165,27702.64193438561,240194.25938259604
23,MKR,13755680.5140355,0.0,0.001536986351704741,0.0,2,1,1,1416210.0913530693,646574.0791341349,769636.0122189344
24,WETH,1554316835.260432,0.0,0.6783433442059378,0.8465909090909091,60,30,30,742028647.2003627,358558590.0113096,383470057.1890531
25,LINK,13381612.431405133,0.0,0.006443467977874584,0.0,2,1,1,5498557.265110413,2710615.7251192,2787941.539991212
26,CRV,7853989.418593334,0.0,0.0004844919686558951,0.0,2,1,1,623203.4121382528,203814.39830881715,419389.0138294356
27,LDO,9673798.132807884,,0.004610407443208952,0.0,2,1,1,3938922.302046759,1939490.1872222663,1999432.114824493
28,FUN,17467270.718668927,,0.0033760494907163325,0.032196969696969696,8,4,4,3795627.527691445,1908947.5146493204,1886680.0130421245
29,USDD,10918367.423420347,,0.0003429081564109379,0.0,2,1,1,413868.430023,142231.233127,271637.19689599995
30,BIT,39395452.46725621,,0.000944584532512669,0.0,2,1,1,422522.92514374724,397364.53976723336,25158.38537651388
31,SHIT,1364256.3382317435,,0.00010370141937576883,0.0,2,1,1,89703.62290875,43624.75285708407,46078.87005166593
32,BTT,24878779.87893848,,0.002065308668594179,0.0,2,1,1,1321367.5392509084,868826.8760765799,452540.6631743284
33,BADGER,7423195.07194087,,0.0002142318953272152,0.0,2,1,1,992973.9970934766,342628.93910519214,650345.0579882845
